[GNV | EN | OT | Isaiah | Chapter 14 | Verse 1] For the Lord wil haue compassion of Iaakob, and wil yet chuse Israel, and cause them to rest in their owne lande: and the stranger shall ioyne him selfe vnto them, and they shall cleaue to the house of Iaakob.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 2] And the people shall receiue them and bring them to their owne place, and the house of Israel shall possesse them in the land of the Lord, for seruants and handmaids: and they shall take them prisoners, whose captiues they were, and haue rule ouer their oppressours.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 3] And in that day when the Lord shall giue thee rest from thy sorrow, and from thy feare, and from the sore bodage, wherein thou didest serue,
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 4] Then shalt thou take vp this prouerbe against the King of Babel, and say, Howe hath the oppressor ceased? and the gold thirsty Babel rested?
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 5] The Lord hath broken the rodde of the wicked, and the scepter of the rulers:
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 6] Which smote the people in anger with a continuall plague, and ruled the nations in wrath: if any were persecuted, he did not let.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 7] The whole worlde is at rest and is quiet: they sing for ioye.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 8] Also the firre trees reioyced of thee, and the cedars of Lebanon, saying, Since thou art laid downe, no hewer came vp against vs.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 9] Hel beneath is mooued for thee to meete thee at thy comming, raising vp the deade for thee, euen all the princes of the earth, and hath raised from their thrones all the Kinges of the nations.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 10] All they shall crie, and saie vnto thee, Art thou become weake also as we? art thou become like vnto vs?
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 11] Thy pompe is brought downe to ye graue, and the sounde of thy violes: the worme is spred vnder thee, and the wormes couer thee.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 12] How art thou fallen from heauen, O Lucifer, sonne of the morning? and cutte downe to the grounde, which didest cast lottes vpon the nations?
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 13] Yet thou saidest in thine heart, I will ascende into heauen, and exalt my throne aboue beside the starres of God: I will sitte also vpon the mount of the Congregation in the sides of the North.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 14] I wil ascend aboue ye height of the cloudes, and I will be like the most high.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 15] But thou shalt bee brought downe to the graue, to the sides of the pit.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 16] They that see thee, shall looke vpon thee and consider thee, saying, Is this the man that made the earth to tremble, and that did shake the kingdomes?
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 17] He made the worlde as a wildernesse, and destroied the cities thereof, and opened not the house of his prisoners.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 18] All the Kings of the nations, euen they all sleepe in glorie, euery one in his owne house.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 19] But thou art cast out of thy graue like an abominable branch: like the raiment of those that are slaine, and thrust thorowe with a sword, which goe downe to the stones of the pit, as a carkeise troden vnder feete.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 20] Thou shalt not be ioyned with them in the graue, because thou hast destroied thine owne lande, and slaine thy people: the seede of the wicked shall not be renoumed for euer.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 21] Prepare a slaughter for his children, for the iniquitie of their fathers: let them not rise vp nor possesse the land, nor fil the face of the world with enemies.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 22] For I wil rise vp against them (sayth the Lord of hostes) and will cut off from Babel the name and the remnant and the sonne, and the nephew, sayth the Lord:
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 23] And I wil make it a possession to ye hedgehogge, and pooles of water, and I will sweepe it with the besome of destruction, sayeth the Lord of hostes.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 24] The Lord of hostes hath sworne, saying, Surely like as I haue purposed, so shall it come to passe, and as I haue consulted, it shall stand:
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 25] That I will breake to pieces Asshur in my land, and vpon my mountaines will I treade him vnder foote: so that his yoke shall depart from them, and his burden shall be taken from off their shoulder.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 26] This is the counsell that is consulted vpon the whole worlde, and this is the hande stretched out ouer all the nations,
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 27] Because the Lord of hostes hath determined it, and who shall disanull it? and his hande is stretched out, and who shall turne it away?
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 28] In the yeere that King Ahaz died, was this burden.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 29] Reioyce not, (thou whole Palestina) because the rod of him that did beat thee, is broken for out of the serpents roote shall come forth a cockatrise, and the fruit therof shalbe a firy flying serpent.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 30] For the first borne of the poore shall be fed, and the needie shall lie downe in safetie: and I will kill thy roote with famine, and it shall slay thy remnant.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 31] Howle, O gate, crie, O citie: thou whole lande of Palestina art dissolued, for there shall come from the North a smoke, and none shalbe alone, at his time appointed.
[GNV | EN | OT | Isaiah | Chapter 14 | Verse 32] What shall then one answere the messengers of the Gentiles? That the Lord hath stablished Zion, and the poore of his people shall trust in it.
