[DARBY | EN | NT | Colossians | Chapter 1 | Verse 1] Paul, apostle of Christ Jesus, by God's will, and Timotheus the brother,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 2] to the holy and faithful brethren in Christ which [are] in Colosse. Grace to you and peace from God our Father [and Lord Jesus Christ].
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 3] We give thanks to the God and Father of our Lord Jesus Christ continually [when] praying for you,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 4] having heard of your faith in Christ Jesus, and the love which ye have towards all the saints,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 5] on account of the hope which [is] laid up for you in the heavens; of which ye heard before in the word of the truth of the glad tidings,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 6] which are come to you, as [they are] in all the world, [and] are bearing fruit and growing, even as also among you, from the day ye heard [them] and knew indeed the grace of God, in truth:
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 7] even as ye learned from Epaphras our beloved fellow-bondman, who is a faithful minister of Christ for you,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 8] who has also manifested to us your love in [the] Spirit.
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 9] For this reason we also, from the day we heard [of your faith and love], do not cease praying and asking for you, to the end that ye may be filled with the full knowledge of his will, in all wisdom and spiritual understanding,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 10] [so as] to walk worthily of the Lord unto all well-pleasing, bearing fruit in every good work, and growing by the true knowledge of God;
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 11] strengthened with all power according to the might of his glory unto all endurance and longsuffering with joy;
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 12] giving thanks to the Father, who has made us fit for sharing the portion of the saints in light,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 13] who has delivered us from the authority of darkness, and translated [us] into the kingdom of the Son of his love:
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 14] in whom we have redemption, the forgiveness of sins;
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 15] who is image of the invisible God, firstborn of all creation;
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 16] because by him were created all things, the things in the heavens and the things upon the earth, the visible and the invisible, whether thrones, or lordships, or principalities, or authorities: all things have been created by him and for him.
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 17] And he is before all, and all things subsist together by him.
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 18] And he is the head of the body, the assembly; who is [the] beginning, firstborn from among the dead, that he might have the first place in all things:
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 19] for in him all the fulness [of the Godhead] was pleased to dwell,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 20] and by him to reconcile all things to itself, having made peace by the blood of his cross — by him, whether the things on the earth or the things in the heavens.
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 21] And you, who once were alienated and enemies in mind by wicked works, yet now has it reconciled
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 22] in the body of his flesh through death; to present you holy and unblamable and irreproachable before it,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 23] if indeed ye abide in the faith founded and firm, and not moved away from the hope of the glad tidings, which ye have heard, which have been proclaimed in the whole creation which [is] under heaven, of which I Paul became minister.
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 24] Now, I rejoice in sufferings for you, and I fill up that which is behind of the tribulations of Christ in my flesh, for his body, which is the assembly;
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 25] of which I became minister, according to the dispensation of God which [is] given me towards you to complete the word of God,
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 26] the mystery which [has been] hidden from ages and from generations, but has now been made manifest to his saints;
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 27] to whom God would make known what are the riches of the glory of this mystery among the nations, which is Christ in you the hope of glory:
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 28] whom we announce, admonishing every man, and teaching every man, in all wisdom, to the end that we may present every man perfect in Christ.
[DARBY | EN | NT | Colossians | Chapter 1 | Verse 29] Whereunto also I toil, combating according to his working, which works in me in power.
