[VANDYKE | AR | NT | John | Chapter 2 | Verse 1] وَفِي ٱلْيَوْمِ ٱلثَّالِثِ كَانَ عُرْسٌ فِي قَانَا ٱلْجَلِيلِ، وَكَانَتْ أُمُّ يَسُوعَ هُنَاكَ.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 2] وَدُعِيَ أَيْضًا يَسُوعُ وَتَلَامِيذُهُ إِلَى ٱلْعُرْسِ.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 3] وَلَمَّا فَرَغَتِ ٱلْخَمْرُ، قَالَتْ أُمُّ يَسُوعَ لَهُ: «لَيْسَ لَهُمْ خَمْرٌ».
[VANDYKE | AR | NT | John | Chapter 2 | Verse 4] قَالَ لَهَا يَسُوعُ: «مَا لِي وَلَكِ يَا ٱمْرَأَةُ؟ لَمْ تَأْتِ سَاعَتِي بَعْدُ».
[VANDYKE | AR | NT | John | Chapter 2 | Verse 5] قَالَتْ أُمُّهُ لِلْخُدَّامِ: «مَهْمَا قَالَ لَكُمْ فَٱفْعَلُوهُ».
[VANDYKE | AR | NT | John | Chapter 2 | Verse 6] وَكَانَتْ سِتَّةُ أَجْرَانٍ مِنْ حِجَارَةٍ مَوْضُوعَةً هُنَاكَ، حَسَبَ تَطْهِيرِ ٱلْيَهُودِ، يَسَعُ كُلُّ وَاحِدٍ مِطْرَيْنِ أَوْ ثَلَاثَةً.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 7] قَالَ لَهُمْ يَسُوعُ: «ٱمْلَأُوا ٱلْأَجْرَانَ مَاءً». فَمَلَأُوهَا إِلَى فَوْقُ.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 8] ثُمَّ قَالَ لَهُمُ: «ٱسْتَقُوا ٱلْآنَ وَقَدِّمُوا إِلَى رَئِيسِ ٱلْمُتَّكَإِ». فَقَدَّمُوا.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 9] فَلَمَّا ذَاقَ رَئِيسُ ٱلْمُتَّكَإِ ٱلْمَاءَ ٱلْمُتَحَوِّلَ خَمْرًا، وَلَمْ يَكُنْ يَعْلَمُ مِنْ أَيْنَ هِيَ، لَكِنَّ ٱلْخُدَّامَ ٱلَّذِينَ كَانُوا قَدِ ٱسْتَقَوْا ٱلْمَاءَ عَلِمُوا، دَعَا رَئِيسُ ٱلْمُتَّكَإِ ٱلْعَرِيسَ
[VANDYKE | AR | NT | John | Chapter 2 | Verse 10] وَقَالَ لَهُ: «كُلُّ إِنْسَانٍ إِنَّمَا يَضَعُ ٱلْخَمْرَ ٱلْجَيِّدَةَ أَوَّلًا، وَمَتَى سَكِرُوا فَحِينَئِذٍ ٱلدُّونَ. أَمَّا أَنْتَ فَقَدْ أَبْقَيْتَ ٱلْخَمْرَ ٱلْجَيِّدَةَ إِلَى ٱلْآنَ!».
[VANDYKE | AR | NT | John | Chapter 2 | Verse 11] هَذِهِ بِدَايَةُ ٱلْآيَاتِ فَعَلَهَا يَسُوعُ فِي قَانَا ٱلْجَلِيلِ، وَأَظْهَرَ مَجْدَهُ، فَآمَنَ بِهِ تَلَامِيذُهُ. تطهير الهيكل
[VANDYKE | AR | NT | John | Chapter 2 | Verse 12] وَبَعْدَ هَذَا ٱنْحَدَرَ إِلَى كَفْرِنَاحُومَ، هُوَ وَأُمُّهُ وَإِخْوَتُهُ وَتَلَامِيذُهُ، وَأَقَامُوا هُنَاكَ أَيَّامًا لَيْسَتْ كَثِيرَةً.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 13] وَكَانَ فِصْحُ ٱلْيَهُودِ قَرِيبًا، فَصَعِدَ يَسُوعُ إِلَى أُورُشَلِيمَ،
[VANDYKE | AR | NT | John | Chapter 2 | Verse 14] وَوَجَدَ فِي ٱلْهَيْكَلِ ٱلَّذِينَ كَانُوا يَبِيعُونَ بَقَرًا وَغَنَمًا وَحَمَامًا، وَٱلصَّيَارِفَ جُلُوسًا.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 15] فَصَنَعَ سَوْطًا مِنْ حِبَالٍ وَطَرَدَ ٱلْجَمِيعَ مِنَ ٱلْهَيْكَلِ، اَلْغَنَمَ وَٱلْبَقَرَ، وَكَبَّ دَرَاهِمَ ٱلصَّيَارِفِ وَقَلَّبَ مَوَائِدَهُمْ.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 16] وَقَالَ لِبَاعَةِ ٱلْحَمَامِ: «ٱرْفَعُوا هَذِهِ مِنْ هَهُنَا! لَا تَجْعَلُوا بَيْتَ أَبِي بَيْتَ تِجَارَةٍ!».
[VANDYKE | AR | NT | John | Chapter 2 | Verse 17] فَتَذَكَّرَ تَلَامِيذُهُ أَنَّهُ مَكْتُوبٌ: «غَيْرَةُ بَيْتِكَ أَكَلَتْنِي».
[VANDYKE | AR | NT | John | Chapter 2 | Verse 18] فَأَجَابَ ٱلْيَهُودُ وَقَالوُا لَهُ: «أَيَّةَ آيَةٍ تُرِينَا حَتَّى تَفْعَلَ هَذَا؟».
[VANDYKE | AR | NT | John | Chapter 2 | Verse 19] أَجَابَ يَسُوعُ وَقَالَ لَهُمْ: «ٱنْقُضُوا هَذَا ٱلْهَيْكَلَ، وَفِي ثَلَاثَةِ أَيَّامٍ أُقِيمُهُ».
[VANDYKE | AR | NT | John | Chapter 2 | Verse 20] فَقَالَ ٱلْيَهُودُ: «فِي سِتٍّ وَأَرْبَعِينَ سَنَةً بُنِيَ هَذَا ٱلْهَيْكَلُ، أَفَأَنْتَ فِي ثَلَاثَةِ أَيَّامٍ تُقِيمُهُ؟».
[VANDYKE | AR | NT | John | Chapter 2 | Verse 21] وَأَمَّا هُوَ فَكَانَ يَقُولُ عَنْ هَيْكَلِ جَسَدِهِ.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 22] فَلَمَّا قَامَ مِنَ ٱلْأَمْوَاتِ، تَذَكَّرَ تَلَامِيذُهُ أَنَّهُ قَالَ هَذَا، فَآمَنُوا بِٱلْكِتَابِ وَٱلْكَلَامِ ٱلَّذِي قَالَهُ يَسُوعُ.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 23] وَلَمَّا كَانَ فِي أُورُشَلِيمَ فِي عِيدِ ٱلْفِصْحِ، آمَنَ كَثِيرُونَ بِٱسْمِهِ، إِذْ رَأَوْا ٱلْآيَاتِ ٱلَّتِي صَنَعَ.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 24] لَكِنَّ يَسُوعَ لَمْ يَأْتَمِنْهُمْ عَلَى نَفْسِهِ، لِأَنَّهُ كَانَ يَعْرِفُ ٱلْجَمِيعَ.
[VANDYKE | AR | NT | John | Chapter 2 | Verse 25] وَلِأَنَّهُ لَمْ يَكُنْ مُحْتَاجًا أَنْ يَشْهَدَ أَحَدٌ عَنِ ٱلْإِنْسَانِ، لِأَنَّهُ عَلِمَ مَا كَانَ فِي ٱلْإِنْسَانِ.
