[VANDYKE | AR | NT | John | Chapter 9 | Verse 1] وَفِيمَا كَانَ يَسُوعُ مَارّاً، رَأَى رَجُلاً أَعْمَى مُنْذُ وِلادَتِهِ،
[VANDYKE | AR | NT | John | Chapter 9 | Verse 2] فَسَأَلَهُ تَلامِيذُهُ: «يَا مُعَلِّمُ، مَنْ أَخْطَأَ: هَذَا أَمْ وَالِدَاهُ، حَتَّى وُلِدَ أَعْمَى؟»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 3] فَأَجَابَهُمْ يَسُوعُ: «لا هُوَ أَخْطَأَ وَلا وَالِدَاهُ، وَلكِنْ حَتَّى تَظْهَرَ فِيهِ أَعْمَالُ اللهِ.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 4] فَعَلَيَّ أَنْ أَعْمَلَ أَعْمَالَ الَّذِي أَرْسَلَنِي مَادَامَ الْوَقْتُ نَهَاراً. فَسَيَأْتِي اللَّيْلُ، وَلا أَحَدَ يَقْدِرُ أَنْ يَعْمَلَ فِيهِ.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 5] وَمَادُمْتُ فِي الْعَالَمِ، فَأَنَا نُورُ الْعَالَمِ».
[VANDYKE | AR | NT | John | Chapter 9 | Verse 6] قَالَ هَذَا، وَتَفَلَ فِي التُّرَابِ، وَجَبَلَ مِنَ التُّفْلِ طِيناً، ثُمَّ وَضَعَهُ عَلَى عَيْنَيِ الأَعْمَى،
[VANDYKE | AR | NT | John | Chapter 9 | Verse 7] وَقَالَ لَهُ: «اذْهَبِ اغْتَسِلْ فِي بِرْكَةِ سِلْوَامَ»، أَيِ الْمُرسَلِ. فَذَهَبَ وَاغْتَسَلَ وَعَادَ بَصِيراً.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 8] فَتَسَاءَلَ الْجِيرَانُ وَالَّذِينَ كَانُوا يَرَوْنَهُ مِنْ قَبْلُ يَسْتَعْطِي: «أَلَيْسَ هَذَا هُوَ نَفْسَهُ الَّذِي كَانَ يَجْلِسُ لِيَسْتَعْطِيَ؟»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 9] قَالَ بَعْضُهُمْ: «هَذَا هُوَ». وَآخَرُونَ: «لا، وَلكِنَّهُ يُشْبِهُهُ!» أَمَّا هُوَ فَرَدَّ قَائِلاً: «بَلْ أَنَا هُوَ!»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 10] فَقَالُوا لَهُ: «وَكَيْفَ انْفَتَحَتْ عَيْنَاكَ؟»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 11] أَجَابَ: «الرَّجُلُ الَّذِي اسْمُهُ يَسُوعُ جَبَلَ طِيناً دَهَنَ بِهِ عَيْنَيَّ، وَقَالَ لِيَ: اذْهَبْ إِلَى بِرْكَةِ سِلْوَامَ وَاغْتَسِلْ فِيهَا. فَذَهَبْتُ وَاغْتَسَلْتُ فَأَبْصَرْتُ!»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 12] فَسَأَلُوهُ: «وَأَيْنَ هُوَ الآنَ؟» فَقَالَ: «لا أَعْرِفُ!»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 13] فَذَهَبُوا بِالرَّجُلِ الَّذِي كَانَ أَعْمَى إِلَى الْفَرِّيسِيِّينَ.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 14] وَكَانَ الْيَوْمُ الَّذِي جَبَلَ فِيهِ يَسُوعُ الطِّينَ وَفَتَحَ عَيْنَيِ الأَعْمَى، يَوْمَ سَبْتٍ.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 15] فَسَأَلَهُ الْفَرِّيسِيُّونَ أَيْضاً كَيْفَ أَبْصَرَ. فَأَجَابَ: «وضَعَ طِيناً عَلَى عَيْنَيَّ، وَاغْتَسَلْتُ، وَهَا أَنَا أُبْصِرُ!»
