[JPS | EN | OT | Psalms | Chapter 147 | Verse 1] Hallelujah; for it is good to sing praises unto our God; for it is pleasant, and praise is comely.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 2] The LORD doth build up Jerusalem, He gathereth together the dispersed of Israel;
[JPS | EN | OT | Psalms | Chapter 147 | Verse 3] Who healeth the broken in heart, and bindeth up their wounds.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 4] He counteth the number of the stars; He giveth them all their names.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 5] Great is our Lord, and mighty in power; His understanding is infinite.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 6] The LORD upholdeth the humble; He bringeth the wicked down to the ground.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 7] Sing unto the LORD with thanksgiving, sing praises upon the harp unto our God;
[JPS | EN | OT | Psalms | Chapter 147 | Verse 8] Who covereth the heaven with clouds, who prepareth rain for the earth, who maketh the mountains to spring with grass.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 9] He giveth to the beast his food, and to the young ravens which cry.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 10] He delighteth not in the strength of the horse; He taketh no pleasure in the legs of a man.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 11] The LORD taketh pleasure in them that fear Him, in those that wait for His mercy.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 12] Glorify the LORD, O Jerusalem; praise thy God, O Zion.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 13] For He hath made strong the bars of thy gates; He hath blessed thy children within thee.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 14] He maketh thy borders peace; He giveth thee in plenty the fat of wheat.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 15] He sendeth out His commandment upon earth; His word runneth very swiftly.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 16] He giveth snow like wool; He scattereth the hoar-frost like ashes.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 17] He casteth forth His ice like crumbs; who can stand before His cold?
[JPS | EN | OT | Psalms | Chapter 147 | Verse 18] He sendeth forth His word, and melteth them; He causeth His wind to blow, and the waters flow.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 19] He declareth His word unto Jacob, His statutes and His ordinances unto Israel.
[JPS | EN | OT | Psalms | Chapter 147 | Verse 20] He hath not dealt so with any nation; and as for His ordinances, they have not known them. Hallelujah.
