[JPS | EN | OT | Psalms | Chapter 103 | Verse 1] A Psalm of David. Bless the LORD, O my soul; and all that is within me, bless His holy name.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 2] Bless the LORD, O my soul, and forget not all His benefits;
[JPS | EN | OT | Psalms | Chapter 103 | Verse 3] Who forgiveth all thine iniquity; who healeth all Thy diseases;
[JPS | EN | OT | Psalms | Chapter 103 | Verse 4] Who redeemeth Thy life from the pit; who encompasseth thee with lovingkindness and tender mercies;
[JPS | EN | OT | Psalms | Chapter 103 | Verse 5] Who satisfieth thine old age with good things; so that Thy youth is renewed like the eagle.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 6] The LORD executeth righteousness, and acts of justice for all that are oppressed.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 7] He made known His ways unto Moses, His doings unto the children of Israel.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 8] The LORD is full of compassion and gracious, slow to anger, and plenteous in mercy.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 9] He will not always contend; neither will He keep His anger for ever.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 10] He hath not dealt with us after our sins, nor requited us according to our iniquities.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 11] For as the heaven is high above the earth, so great is His mercy toward them that fear Him.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 12] As far as the east is from the west, so far hath He removed our transgressions from us.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 13] Like as a father hath compassion upon his children, so hath the LORD compassion upon them that fear Him.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 14] For He knoweth our frame; He remembereth that we are dust.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 15] As for man, his days are as grass; as a flower of the field, so he flourisheth.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 16] For the wind passeth over it, and it is gone; and the place thereof knoweth it no more.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 17] But the mercy of the LORD is from everlasting to everlasting upon them that fear Him, and His righteousness unto children's children;
[JPS | EN | OT | Psalms | Chapter 103 | Verse 18] To such as keep His covenant, and to those that remember His precepts to do them.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 19] The LORD hath established His throne in the heavens; and His kingdom ruleth over all.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 20] Bless the LORD, ye angels of His, ye mighty in strength, that fulfil His word, hearkening unto the voice of His word.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 21] Bless the LORD, all ye His hosts; ye ministers of His, that do His pleasure.
[JPS | EN | OT | Psalms | Chapter 103 | Verse 22] Bless the LORD, all ye His works, in all places of His dominion; bless the LORD, O my soul.
