[JPS | EN | OT | Psalms | Chapter 145 | Verse 1] A Psalm of praise; of David. I will extol Thee, my God, O King; and I will bless Thy name for ever and ever.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 2] Every day will I bless Thee; and I will praise Thy name for ever and ever.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 3] Great is the LORD, and highly to be praised; and His greatness is unsearchable.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 4] One generation shall laud Thy works to another, and shall declare Thy mighty acts.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 5] The glorious splendour of Thy majesty, and Thy wondrous works, will I rehearse.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 6] And men shall speak of the might of Thy tremendous acts; and I will tell of Thy greatness.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 7] They shall utter the fame of Thy great goodness, and shall sing of Thy righteousness.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 8] The LORD is gracious, and full of compassion; slow to anger, and of great mercy.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 9] The LORD is good to all; and His tender mercies are over all His works.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 10] All Thy works shall praise Thee, O LORD; and Thy saints shall bless Thee.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 11] They shall speak of the glory of Thy kingdom, and talk of Thy might;
[JPS | EN | OT | Psalms | Chapter 145 | Verse 12] To make known to the sons of men His mighty acts, and the glory of the majesty of His kingdom.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 13] Thy kingdom is a kingdom for all ages, and Thy dominion endureth throughout all generations.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 14] The LORD upholdeth all that fall, and raiseth up all those that are bowed down.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 15] The eyes of all wait for Thee, and Thou givest them their food in due season.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 16] Thou openest Thy hand, and satisfiest every living thing with favour.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 17] The LORD is righteous in all His ways, and gracious in all His works.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 18] The LORD is nigh unto all them that call upon Him, to all that call upon Him in truth.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 19] He will fulfil the desire of them that fear Him; He also will hear their cry, and will save them.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 20] The LORD preserveth all them that love Him; but all the wicked will He destroy.
[JPS | EN | OT | Psalms | Chapter 145 | Verse 21] My mouth shall speak the praise of the LORD; and let all flesh bless His holy name for ever and ever.
