[JPS | EN | OT | Psalms | Chapter 139 | Verse 1] For the Leader. A Psalm of David. O LORD, Thou hast searched me, and known me.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 2] Thou knowest my downsitting and mine uprising, Thou understandest my thought afar off.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 3] Thou measurest my going about and my lying down, and art acquainted with all my ways.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 4] For there is not a word in my tongue, but, lo, O LORD, Thou knowest it altogether.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 5] Thou hast hemmed me in behind and before, and laid Thy hand upon me.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 6] Such knowledge is too wonderful for me; too high, I cannot attain unto it.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 7] Whither shall I go from Thy spirit? or whither shall I flee from Thy presence?
[JPS | EN | OT | Psalms | Chapter 139 | Verse 8] If I ascend up into heaven, Thou art there; if I make my bed in the nether-world, behold, Thou art there.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 9] If I take the wings of the morning, and dwell in the uttermost parts of the sea;
[JPS | EN | OT | Psalms | Chapter 139 | Verse 10] Even there would Thy hand lead me, and Thy right hand would hold me.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 11] And if I say: 'Surely the darkness shall envelop me, and the light about me shall be night';
[JPS | EN | OT | Psalms | Chapter 139 | Verse 12] Even the darkness is not too dark for Thee, but the night shineth as the day; the darkness is even as the light.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 13] For Thou hast made my reins; Thou hast knit me together in my mother's womb.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 14] I will give thanks unto Thee, for I am fearfully and wonderfully made; wonderful are Thy works; and that my soul knoweth right well.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 15] My frame was not hidden from Thee, when I was made in secret, and curiously wrought in the lowest parts of the earth.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 16] Thine eyes did see mine unformed substance, and in Thy book they were all written — even the days that were fashioned, when as yet there was none of them.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 17] How weighty also are Thy thoughts unto me, O God! How great is the sum of them!
[JPS | EN | OT | Psalms | Chapter 139 | Verse 18] If I would count them, they are more in number than the sand; were I to come to the end of them, I would still be with Thee.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 19] If Thou but wouldest slay the wicked, O God — depart from me therefore, ye men of blood;
[JPS | EN | OT | Psalms | Chapter 139 | Verse 20] Who utter Thy name with wicked thought, they take it for falsehood, even Thine enemies —
[JPS | EN | OT | Psalms | Chapter 139 | Verse 21] Do not I hate them, O LORD, that hate Thee? And do not I strive with those that rise up against Thee?
[JPS | EN | OT | Psalms | Chapter 139 | Verse 22] I hate them with utmost hatred; I count them mine enemies.
[JPS | EN | OT | Psalms | Chapter 139 | Verse 23] Search me, O God, and know my heart, try me, and know my thoughts;
[JPS | EN | OT | Psalms | Chapter 139 | Verse 24] And see if there be any way in me that is grievous, and lead me in the way everlasting.
