[JPS | EN | OT | Psalms | Chapter 107 | Verse 1] BOOK V 'O give thanks unto the LORD, for He is good, for His mercy endureth for ever.'
[JPS | EN | OT | Psalms | Chapter 107 | Verse 2] So let the redeemed of the LORD say, whom He hath redeemed from the hand of the adversary;
[JPS | EN | OT | Psalms | Chapter 107 | Verse 3] And gathered them out of the lands, from the east and from the west, from the north and from the sea.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 4] They wandered in the wilderness in a desert way; they found no city of habitation.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 5] Hungry and thirsty, their soul fainted in them.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 6] Then they cried unto the LORD in their trouble, and He delivered them out of their distresses.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 7] And He led them by a straight way, that they might go to a city of habitation.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 8] Let them give thanks unto the LORD for His mercy, and for His wonderful works to the children of men!
[JPS | EN | OT | Psalms | Chapter 107 | Verse 9] For He hath satisfied the longing soul, and the hungry soul He hath filled with good.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 10] Such as sat in darkness and in the shadow of death, being bound in affliction and iron —
[JPS | EN | OT | Psalms | Chapter 107 | Verse 11] Because they rebelled against the words of God, and contemned the counsel of the Most High.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 12] Therefore He humbled their heart with travail, they stumbled, and there was none to help —
[JPS | EN | OT | Psalms | Chapter 107 | Verse 13] They cried unto the LORD in their trouble, and He saved them out of their distresses.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 14] He brought them out of darkness and the shadow of death, and broke their bands in sunder.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 15] Let them give thanks unto the LORD for His mercy, and for His wonderful works to the children of men!
[JPS | EN | OT | Psalms | Chapter 107 | Verse 16] For He hath broken the gates of brass, and cut the bars of iron in sunder.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 17] Crazed because of the way of their transgression, and afflicted because of their iniquities —
[JPS | EN | OT | Psalms | Chapter 107 | Verse 18] Their soul abhorred all manner of food, and they drew near unto the gates of death —
[JPS | EN | OT | Psalms | Chapter 107 | Verse 19] They cried unto the LORD in their trouble, and He saved them out of their distresses;
[JPS | EN | OT | Psalms | Chapter 107 | Verse 20] He sent His word, and healed them, and delivered them from their graves.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 21] Let them give thanks unto the LORD for His mercy, and for His wonderful works to the children of men!
[JPS | EN | OT | Psalms | Chapter 107 | Verse 22] And let them offer the sacrifices of thanksgiving, and declare His works with singing.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 23] They that go down to the sea in ships, that do business in great waters —
[JPS | EN | OT | Psalms | Chapter 107 | Verse 24] These saw the works of the LORD, and His wonders in the deep;
[JPS | EN | OT | Psalms | Chapter 107 | Verse 25] For He commanded, and raised the stormy wind, which lifted up the waves thereof;
[JPS | EN | OT | Psalms | Chapter 107 | Verse 26] They mounted up to the heaven, they went down to the deeps; their soul melted away because of trouble;
[JPS | EN | OT | Psalms | Chapter 107 | Verse 27] They reeled to and fro, and staggered like a drunken man, and all their wisdom was swallowed up —
[JPS | EN | OT | Psalms | Chapter 107 | Verse 28] They cried unto the LORD in their trouble, and He brought them out of their distresses.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 29] He made the storm a calm, so that the waves thereof were still.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 30] Then were they glad because they were quiet, and He led them unto their desired haven.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 31] Let them give thanks unto the LORD for His mercy, and for His wonderful works to the children of men!
[JPS | EN | OT | Psalms | Chapter 107 | Verse 32] Let them exalt Him also in the assembly of the people, and praise Him in the seat of the elders.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 33] He turneth rivers into a wilderness, and watersprings into a thirsty ground;
[JPS | EN | OT | Psalms | Chapter 107 | Verse 34] A fruitful land into a salt waste, for the wickedness of them that dwell therein.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 35] He turneth a wilderness into a pool of water, and a dry land into watersprings.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 36] And there He maketh the hungry to dwell, and they establish a city of habitation;
[JPS | EN | OT | Psalms | Chapter 107 | Verse 37] And sow fields, and plant vineyards, which yield fruits of increase.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 38] He blesseth them also, so that they are multiplied greatly, and suffereth not their cattle to decrease.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 39] Again, they are minished and dwindle away through oppression of evil and sorrow.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 40] He poureth contempt upon princes, and causeth them to wander in the waste, where there is no way.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 41] Yet setteth He the needy on high from affliction, and maketh his families like a flock.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 42] The upright see it, and are glad; and all iniquity stoppeth her mouth.
[JPS | EN | OT | Psalms | Chapter 107 | Verse 43] Whoso is wise, let him observe these things, and let them consider the mercies of the LORD.
