[JPS | EN | OT | Psalms | Chapter 97 | Verse 1] The LORD reigneth; let the earth rejoice; let the multitude of isles be glad.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 2] Clouds and darkness are round about Him; righteousness and justice are the foundation of His throne.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 3] A fire goeth before Him, and burneth up His adversaries round about.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 4] His lightnings lighted up the world; the earth saw, and trembled.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 5] The mountains melted like wax at the presence of the LORD, at the presence of the Lord of the whole earth.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 6] The heavens declared His righteousness, and all the peoples saw His glory.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 7] Ashamed be all they that serve graven images, that boast themselves of things of nought; bow down to Him, all ye gods.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 8] Zion heard and was glad, and the daughters of Judah rejoiced; because of Thy judgments, O LORD.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 9] For Thou, LORD, art most high above all the earth; Thou art exalted far above all gods.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 10] O ye that love the LORD, hate evil; He preserveth the souls of His saints; He delivered them out of the hand of the wicked.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 11] Light is sown for the righteous, and gladness for the upright in heart.
[JPS | EN | OT | Psalms | Chapter 97 | Verse 12] Be glad in the LORD, ye righteous; and give thanks to His holy name.
