[JPS | EN | OT | Psalms | Chapter 106 | Verse 1] Hallelujah. O give thanks unto the LORD; for He is good; for His mercy endureth for ever.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 2] Who can express the mighty acts of the LORD, or make all His praise to be heard?
[JPS | EN | OT | Psalms | Chapter 106 | Verse 3] Happy are they that keep justice, that do righteousness at all times.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 4] Remember me, O LORD, when Thou favourest Thy people; O think of me at Thy salvation;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 5] That I may behold the prosperity of Thy chosen, that I may rejoice in the gladness of Thy nation, that I may glory with Thine inheritance.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 6] We have sinned with our fathers, we have done iniquitously, we have dealt wickedly.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 7] Our fathers in Egypt gave no heed unto Thy wonders; they remembered not the multitude of Thy mercies; but were rebellious at the sea, even at the Red Sea.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 8] Nevertheless He saved them for His name's sake, that He might make His mighty power to be known.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 9] And He rebuked the Red Sea, and it was dried up; and He led them through the depths, as through a wilderness.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 10] And He saved them from the hand of him that hated them, and redeemed them from the hand of the enemy.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 11] And the waters covered their adversaries; there was not one of them left.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 12] Then believed they His words; they sang His praise.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 13] They soon forgot His works; they waited not for His counsel;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 14] But lusted exceedingly in the wilderness, and tried God in the desert.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 15] And He gave them their request; but sent leanness into their soul.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 16] They were jealous also of Moses in the camp, and of Aaron the holy one of the LORD.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 17] The earth opened and swallowed up Dathan, and covered the company of Abiram.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 18] And a fire was kindled in their company; the flame burned up the wicked.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 19] They made a calf in Horeb, and worshipped a molten image.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 20] Thus they exchanged their glory for the likeness of an ox that eateth grass.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 21] They forgot God their saviour, who had done great things in Egypt;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 22] Wondrous works in the land of Ham, terrible things by the Red Sea.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 23] Therefore He said that He would destroy them, had not Moses His chosen stood before Him in the breach, to turn back His wrath, lest He should destroy them.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 24] Moreover, they scorned the desirable land, they believed not His word;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 25] And they murmured in their tents, they hearkened not unto the voice of the LORD.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 26] Therefore He swore concerning them, that He would overthrow them in the wilderness;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 27] And that He would cast out their seed among the nations, and scatter them in the lands.
