[JPS | EN | OT | Psalms | Chapter 37 | Verse 1] A Psalm of David. Fret not thyself because of evil-doers, neither be thou envious against them that work unrighteousness.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 2] For they shall soon wither like the grass, and fade as the green herb.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 3] Trust in the LORD, and do good; dwell in the land, and cherish faithfulness.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 4] So shalt thou delight thyself in the LORD; and He shall give thee the petitions of thy heart.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 5] Commit thy way unto the LORD; trust also in Him, and He will bring it to pass.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 6] And He will make thy righteousness to go forth as the light, and thy right as the noonday.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 7] Resign thyself unto the LORD, and wait patiently for Him; fret not thyself because of him who prospereth in his way, because of the man who bringeth wicked devices to pass.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 8] Cease from anger, and forsake wrath; fret not thyself, it tendeth only to evil-doing.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 9] For evil-doers shall be cut off; but those that wait for the LORD, they shall inherit the land.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 10] And yet a little while, and the wicked is no more; yea, thou shalt look well at his place, and he is not.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 11] But the humble shall inherit the land, and delight themselves in the abundance of peace.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 12] The wicked plotteth against the righteous, and gnasheth at him with his teeth.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 13] The Lord doth laugh at him; for He seeth that his day is coming.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 14] The wicked have drawn out the sword, and have bent their bow; to cast down the poor and needy, to slay such as are upright in the way;
[JPS | EN | OT | Psalms | Chapter 37 | Verse 15] Their sword shall enter into their own heart, and their bows shall be broken.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 16] Better is a little that the righteous hath than the abundance of many wicked.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 17] For the arms of the wicked shall be broken; but the LORD upholdeth the righteous.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 18] The LORD knoweth the days of them that are wholehearted; and their inheritance shall be for ever.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 19] They shall not be ashamed in the time of evil; and in the days of famine they shall be satisfied.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 20] For the wicked shall perish, and the enemies of the LORD shall be as the fat of lambs — they shall pass away in smoke, they shall pass away.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 21] The wicked borroweth, and payeth not; but the righteous dealeth graciously, and giveth.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 22] For such as are blessed of Him shall inherit the land; and they that are cursed of Him shall be cut off.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 23] It is of the LORD that a man's goings are established; and He delighted in his way.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 24] Though he fall, he shall not be utterly cast down; for the LORD upholdeth his hand.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 25] I have been young, and now am old; yet have I not seen the righteous forsaken, nor his seed begging bread.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 26] All the day long he dealeth graciously, and lendeth; and his seed is blessed.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 27] Depart from evil, and do good; and dwell for evermore.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 28] For the LORD loveth justice, and forsaketh not His saints; they are preserved for ever; but the seed of the wicked shall be cut off.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 29] The righteous shall inherit the land, and dwell therein for ever.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 30] The mouth of the righteous uttereth wisdom, and his tongue speaketh justice.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 31] The law of his God is in his heart; none of his steps slide.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 32] The wicked watcheth the righteous, and seeketh to slay him.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 33] The LORD will not leave him in his hand, nor suffer him to be condemned when he is judged.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 34] Wait for the LORD, and keep His way, and He will exalt thee to inherit the land; when the wicked are cut off, thou shalt see it.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 35] I have seen the wicked in great power, and spreading himself like a leafy tree in its native soil.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 36] But one passed by, and, lo, he was not; yea, I sought him, but he could not be found.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 37] Mark the man of integrity, and behold the upright; for there is a future for the man of peace.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 38] But transgressors shall be destroyed together; the future of the wicked shall be cut off.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 39] But the salvation of the righteous is of the LORD; He is their stronghold in the time of trouble.
[JPS | EN | OT | Psalms | Chapter 37 | Verse 40] And the LORD helpeth them, and delivereth them; He delivereth them from the wicked, and saveth them, because they have taken refuge in Him.
