[JPS | EN | OT | Psalms | Chapter 116 | Verse 1] I love that the LORD should hear my voice and my supplications.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 2] Because He hath inclined His ear unto me, therefore will I call upon Him all my days.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 3] The cords of death compassed me, and the straits of the nether-world got hold upon me; I found trouble and sorrow.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 4] But I called upon the name of the LORD: 'I beseech thee, O LORD, deliver my soul.'
[JPS | EN | OT | Psalms | Chapter 116 | Verse 5] Gracious is the LORD, and righteous; yea, our God is compassionate.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 6] The LORD preserveth the simple; I was brought low, and He saved me.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 7] Return, O my soul, unto Thy rest; for the LORD hath dealt bountifully with thee.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 8] For thou hast delivered my soul from death, mine eyes from tears, and my feet from stumbling.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 9] I shall walk before the LORD in the lands of the living.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 10] I trusted even when I spoke: 'I am greatly afflicted.'
[JPS | EN | OT | Psalms | Chapter 116 | Verse 11] I said in my haste: 'All men are liars.'
[JPS | EN | OT | Psalms | Chapter 116 | Verse 12] How can I repay unto the LORD all His bountiful dealings toward me?
[JPS | EN | OT | Psalms | Chapter 116 | Verse 13] I will lift up the cup of salvation, and call upon the name of the LORD.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 14] My vows will I pay unto the LORD, yea, in the presence of all His people.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 15] Precious in the sight of the LORD is the death of His saints.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 16] I beseech Thee, O LORD, for I am Thy servant; I am Thy servant, the son of Thy handmaid; Thou hast loosed my bands.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 17] I will offer to thee the sacrifice of thanksgiving, and will call upon the name of the LORD.
[JPS | EN | OT | Psalms | Chapter 116 | Verse 18] I will pay my vows unto the LORD, yea, in the presence of all His people;
[JPS | EN | OT | Psalms | Chapter 116 | Verse 19] In the courts of the LORD'S house, in the midst of thee, O Jerusalem. Hallelujah.
