[JPS | EN | OT | Psalms | Chapter 90 | Verse 1] BOOK IV A Prayer of Moses the man of God. Lord, Thou hast been our dwelling-place in all generations.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 2] Before the mountains were brought forth, or ever Thou hadst formed the earth and the world, even from everlasting to everlasting, Thou art God.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 3] Thou turnest man to contrition; and sayest: 'Return, ye children of men.'
[JPS | EN | OT | Psalms | Chapter 90 | Verse 4] For a thousand years in Thy sight are but as yesterday when it is past, and as a watch in the night.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 5] Thou carriest them away as with a flood; they are as a sleep; in the morning they are like grass which groweth up.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 6] In the morning it flourisheth, and groweth up; in the evening it is cut down, and withereth.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 7] For we are consumed in Thine anger, and by Thy wrath are we hurried away.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 8] Thou hast set our iniquities before Thee, our secret sins in the light of Thy countenance.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 9] For all our days are passed away in Thy wrath; we bring our years to an end as a tale that is told.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 10] The days of our years are threescore years and ten, or even by reason of strength fourscore years; yet is their pride but travail and vanity; for it is speedily gone, and we fly away.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 11] Who knoweth the power of Thine anger, and Thy wrath according to the fear that is due unto Thee?
[JPS | EN | OT | Psalms | Chapter 90 | Verse 12] So teach us to number our days, that we may get us a heart of wisdom.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 13] Return, O LORD; how long? And let it repent Thee concerning Thy servants.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 14] O satisfy us in the morning with Thy mercy; that we may rejoice and be glad all our days.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 15] Make us glad according to the days wherein Thou hast afflicted us, according to the years wherein we have seen evil.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 16] Let Thy work appear unto Thy servants, and Thy glory upon their children.
[JPS | EN | OT | Psalms | Chapter 90 | Verse 17] And let the graciousness of the Lord our God be upon us; establish Thou also upon us the work of our hands; yea, the work of our hands establish Thou it.
