[JPS | EN | OT | Psalms | Chapter 119 | Verse 1] ALEPH. Happy are they that are upright in the way, who walk in the law of the LORD.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 2] Happy are they that keep His testimonies, that seek Him with the whole heart.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 3] Yea, they do no unrighteousness; they walk in His ways.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 4] Thou hast ordained Thy precepts, that we should observe them diligently.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 5] Oh that my ways were directed to observe Thy statutes!
[JPS | EN | OT | Psalms | Chapter 119 | Verse 6] Then should I not be ashamed, when I have regard unto all Thy commandments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 7] I will give thanks unto Thee with uprightness of heart, when I learn Thy righteous ordinances.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 8] I will observe Thy statutes; O forsake me not utterly.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 9] BETH. Wherewithal shall a young man keep his way pure? By taking heed thereto according to Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 10] With my whole heart have I sought Thee; O let me not err from Thy commandments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 11] Thy word have I laid up in my heart, that I might not sin against Thee.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 12] Blessed art Thou, O LORD; teach me Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 13] With my lips have I told all the ordinances of Thy mouth.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 14] I have rejoiced in the way of Thy testimonies, as much as in all riches.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 15] I will meditate in Thy precepts, and have respect unto Thy ways.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 16] I will delight myself in Thy statutes; I will not forget Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 17] GIMEL. Deal bountifully with Thy servant that I may live, and I will observe Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 18] Open Thou mine eyes, that I may behold wondrous things out of Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 19] I am a sojourner in the earth; hide not Thy commandments from me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 20] My soul breaketh for the longing that it hath unto Thine ordinances at all times.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 21] Thou hast rebuked the proud that are cursed, that do err from Thy commandments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 22] Take away from me reproach and contempt; for I have kept Thy testimonies.
