[JPS | EN | OT | Psalms | Chapter 80 | Verse 1] (80-1) For the Leader; upon Shoshannim. A testimony. A Psalm of Asaph. (80-2) Give ear, O Shepherd of Israel, Thou that leadest Joseph like a flock; Thou that art enthroned upon the cherubim, shine forth.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 2] (80-3) Before Ephraim and Benjamin and Manasseh, stir up Thy might, and come to save us.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 3] (80-4) O God, restore us; and cause Thy face to shine, and we shall be saved.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 4] (80-5) O LORD God of hosts, how long wilt Thou be angry against the prayer of Thy people?
[JPS | EN | OT | Psalms | Chapter 80 | Verse 5] (80-6) Thou hast fed them with the bread of tears, and given them tears to drink in large measure.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 6] (80-7) Thou makest us a strife unto our neighbours; and our enemies mock as they please.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 7] (80-8) O God of hosts, restore us; and cause Thy face to shine, and we shall be saved.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 8] (80-9) Thou didst pluck up a vine out of Egypt; Thou didst drive out the nations, and didst plant it.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 9] (80-10) Thou didst clear a place before it, and it took deep root, and filled the land.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 10] (80-11) The mountains were covered with the shadow of it, and the mighty cedars with the boughs thereof.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 11] (80-12) She sent out her branches unto the sea, and her shoots unto the River.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 12] (80-13) Why hast Thou broken down her fences, so that all they that pass by the way do pluck her?
[JPS | EN | OT | Psalms | Chapter 80 | Verse 13] (80-14) The boar out of the wood doth ravage it, that which moveth in the field feedeth on it.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 14] (80-15) O God of hosts, return, we beseech Thee; look from heaven, and behold, and be mindful of this vine,
[JPS | EN | OT | Psalms | Chapter 80 | Verse 15] (80-16) And of the stock which Thy right hand hath planted, and the branch that Thou madest strong for Thyself.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 16] (80-17) It is burned with fire, it is cut down; they perish at the rebuke of Thy countenance.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 17] (80-18) Let Thy hand be upon the man of Thy right hand, upon the son of man whom Thou madest strong for Thyself.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 18] (80-19) So shall we not turn back from Thee; quicken Thou us, and we will call upon Thy name.
[JPS | EN | OT | Psalms | Chapter 80 | Verse 19] (80-20) O LORD God of hosts, restore us; cause Thy face to shine, and we shall be saved.
