[JPS | EN | OT | Psalms | Chapter 72 | Verse 1] A Psalm of Solomon. Give the king Thy judgments, O God, and Thy righteousness unto the king's son;
[JPS | EN | OT | Psalms | Chapter 72 | Verse 2] That he may judge Thy people with righteousness, and Thy poor with justice.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 3] Let the mountains bear peace to the people, and the hills, through righteousness.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 4] May he judge the poor of the people, and save the children of the needy, and crush the oppressor.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 5] They shall fear Thee while the sun endureth, and so long as the moon, throughout all generations.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 6] May he come down like rain upon the mown grass, as showers that water the earth.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 7] In his days let the righteous flourish, and abundance of peace, till the moon be no more.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 8] May he have dominion also from sea to sea, and from the River unto the ends of the earth.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 9] Let them that dwell in the wilderness bow before him; and his enemies lick the dust.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 10] The kings of Tarshish and of the isles shall render tribute; the kings of Sheba and Seba shall offer gifts.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 11] Yea, all kings shall prostrate themselves before him; all nations shall serve him.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 12] For he will deliver the needy when he crieth; the poor also, and him that hath no helper.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 13] He will have pity on the poor and needy, and the souls of the needy he will save.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 14] He will redeem their soul from oppression and violence, and precious will their blood be in his sight;
[JPS | EN | OT | Psalms | Chapter 72 | Verse 15] That they may live, and that he may give them of the gold of Sheba, that they may pray for him continually, yea, bless him all the day.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 16] May he be as a rich cornfield in the land upon the top of the mountains; may his fruit rustle like Lebanon; and may they blossom out of the city like grass of the earth.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 17] May his name endure for ever; may his name be continued as long as the sun; may men also bless themselves by him; may all nations call him happy.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 18] Blessed be the LORD God, the God of Israel, who only doeth wondrous things;
[JPS | EN | OT | Psalms | Chapter 72 | Verse 19] And blessed be His glorious name for ever; and let the whole earth be filled with His glory. Amen, and Amen.
[JPS | EN | OT | Psalms | Chapter 72 | Verse 20] The prayers of David the son of Jesse are ended.
