[ASV | EN | OT | Exodus | Chapter 5 | Verse 1] And afterward Moses and Aaron came, and said unto Pharaoh, Thus saith Jehovah, the God of Israel, Let my people go, that they may hold a feast unto me in the wilderness.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 2] And Pharaoh said, Who is Jehovah, that I should hearken unto his voice to let Israel go? I know not Jehovah, and moreover I will not let Israel go.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 3] And they said, The God of the Hebrews hath met with us: let us go, we pray thee, three days’ journey into the wilderness, and sacrifice unto Jehovah our God, lest he fall upon us with pestilence, or with the sword.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 4] And the king of Egypt said unto them, Wherefore do ye, Moses and Aaron, loose the people from their works? get you unto your burdens.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 5] And Pharaoh said, Behold, the people of the land are now many, and ye make them rest from their burdens.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 6] And the same day Pharaoh commanded the taskmasters of the people, and their officers, saying,
[ASV | EN | OT | Exodus | Chapter 5 | Verse 7] Ye shall no more give the people straw to make brick, as heretofore: let them go and gather straw for themselves.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 8] And the number of the bricks, which they did make heretofore, ye shall lay upon them; ye shall not diminish aught thereof: for they are idle; therefore they cry, saying, Let us go and sacrifice to our God.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 9] Let heavier work be laid upon the men, that they may labor therein; and let them not regard lying words.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 10] And the taskmasters of the people went out, and their officers, and they spake to the people, saying, Thus saith Pharaoh, I will not give you straw.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 11] Go yourselves, get you straw where ye can find it: for nought of your work shall be diminished.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 12] So the people were scattered abroad throughout all the land of Egypt to gather stubble for straw.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 13] And the taskmasters were urgent saying, Fulfill your works, your daily tasks, as when there was straw.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 14] And the officers of the children of Israel, whom Pharaoh’s taskmasters had set over them, were beaten, and demanded, Wherefore have ye not fulfilled your task both yesterday and today, in making brick as heretofore?
[ASV | EN | OT | Exodus | Chapter 5 | Verse 15] Then the officers of the children of Israel came and cried unto Pharaoh, saying, Wherefore dealest thou thus with thy servants?
[ASV | EN | OT | Exodus | Chapter 5 | Verse 16] There is no straw given unto thy servants, and they say to us, Make brick: and, behold, thy servants are beaten; but the fault is in thine own people.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 17] But he said, Ye are idle, ye are idle: therefore ye say, Let us go and sacrifice to Jehovah.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 18] Go therefore now, and work; for there shall no straw be given you, yet shall ye deliver the number of bricks.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 19] And the officers of the children of Israel did see that they were in evil case, when it was said, Ye shall not diminish aught from your bricks, your daily tasks.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 20] And they met Moses and Aaron, who stood in the way, as they came forth from Pharaoh:
[ASV | EN | OT | Exodus | Chapter 5 | Verse 21] and they said unto them, Jehovah look upon you, and judge: because ye have made our savor to be abhorred in the eyes of Pharaoh, and in the eyes of his servants, to put a sword in their hand to slay us.
[ASV | EN | OT | Exodus | Chapter 5 | Verse 22] And Moses returned unto Jehovah, and said, Lord, wherefore hast thou dealt ill with this people? why is it that thou hast sent me?
[ASV | EN | OT | Exodus | Chapter 5 | Verse 23] For since I came to Pharaoh to speak in thy name, he hath dealt ill with this people; neither hast thou delivered thy people at all.
