[ASV | EN | OT | Exodus | Chapter 33 | Verse 1] And Jehovah spake unto Moses, Depart, go up hence, thou and the people that thou hast brought up out of the land of Egypt, unto the land of which I sware unto Abraham, to Isaac, and to Jacob, saying, Unto thy seed will I give it:
[ASV | EN | OT | Exodus | Chapter 33 | Verse 2] and I will send an angel before thee; and I will drive out the Canaanite, the Amorite, and the Hittite, and the Perizzite, the Hivite, and the Jebusite:
[ASV | EN | OT | Exodus | Chapter 33 | Verse 3] unto a land flowing with milk and honey: for I will not go up in the midst of thee, for thou art a stiff-necked people, lest I consume thee in the way.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 4] And when the people heard these evil tidings, they mourned: and no man did put on him his ornaments.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 5] And Jehovah said unto Moses, Say unto the children of Israel, Ye are a stiff-necked people; if I go up into the midst of thee for one moment, I shall consume thee: therefore now put off thy ornaments from thee, that I may know what to do unto thee.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 6] And the children of Israel stripped themselves of their ornaments from mount Horeb onward.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 7] Now Moses used to take the tent and to pitch it without the camp, afar off from the camp; and he called it, The tent of meeting. And it came to pass, that everyone that sought Jehovah went out unto the tent of meeting, which was without the camp.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 8] And it came to pass, when Moses went out unto the Tent, that all the people rose up, and stood, every man at his tent door, and looked after Moses, until he was gone into the Tent.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 9] And it came to pass, when Moses entered into the Tent, the pillar of cloud descended, and stood at the door of the Tent: and Jehovah spake with Moses.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 10] And all the people saw the pillar of cloud stand at the door of the Tent: and all the people rose up and worshiped, every man at his tent door.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 11] And Jehovah spake unto Moses face to face, as a man speaketh unto his friend. And he turned again into the camp: but his minister Joshua, the son of Nun, a young man, departed not out of the Tent.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 12] And Moses said unto Jehovah, See, thou sayest unto me, Bring up this people: and thou hast not let me know whom thou wilt send with me. Yet thou hast said, I know thee by name, and thou hast also found favor in my sight.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 13] Now therefore, I pray thee, if I have found favor in thy sight, show me now thy ways, that I may know thee, to the end that I may find favor in thy sight: and consider that this nation is thy people.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 14] And he said, My presence shall go with thee, and I will give thee rest.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 15] And he said unto him, If thy presence go not with me, carry us not up hence.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 16] For wherein now shall it be known that I have found favor in thy sight, I and thy people? is it not in that thou goest with us, so that we are separated, I and thy people, from all the people that are upon the face of the earth?
[ASV | EN | OT | Exodus | Chapter 33 | Verse 17] And Jehovah said unto Moses, I will do this thing also that thou hast spoken; for thou hast found favor in my sight, and I know thee by name.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 18] And he said, Show me, I pray thee, thy glory.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 19] And he said, I will make all my goodness pass before thee, and will proclaim the name of Jehovah before thee; and I will be gracious to whom I will be gracious, and will show mercy on whom I will show mercy.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 20] And he said, Thou canst not see my face; for man shall not see me and live.
[ASV | EN | OT | Exodus | Chapter 33 | Verse 21] And Jehovah said, Behold, there is a place by me, and thou shalt stand upon the rock:
[ASV | EN | OT | Exodus | Chapter 33 | Verse 22] and it shall come to pass, while my glory passeth by, that I will put thee in a cleft of the rock, and will cover thee with my hand until I have passed by:
[ASV | EN | OT | Exodus | Chapter 33 | Verse 23] and I will take away my hand, and thou shalt see my back; but my face shall not be seen.
