[ASV | EN | OT | Exodus | Chapter 20 | Verse 1] And God spake all these words, saying,
[ASV | EN | OT | Exodus | Chapter 20 | Verse 2] I am Jehovah thy God, who brought thee out of the land of Egypt, out of the house of bondage.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 3] Thou shalt have no other gods before me.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 4] Thou shalt not make unto thee a graven image, nor any likeness of anything that is in heaven above, or that is in the earth beneath, or that is in the water under the earth:
[ASV | EN | OT | Exodus | Chapter 20 | Verse 5] thou shalt not bow down thyself unto them, nor serve them; for I Jehovah thy God am a jealous God, visiting the iniquity of the fathers upon the children, upon the third and upon the fourth generation of them that hate me,
[ASV | EN | OT | Exodus | Chapter 20 | Verse 6] and showing lovingkindness unto thousands of them that love me and keep my commandments.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 7] Thou shalt not take the name of Jehovah thy God in vain; for Jehovah will not hold him guiltless that taketh his name in vain.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 8] Remember the sabbath day, to keep it holy.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 9] Six days shalt thou labor, and do all thy work;
[ASV | EN | OT | Exodus | Chapter 20 | Verse 10] but the seventh day is a sabbath unto Jehovah thy God: in it thou shalt not do any work, thou, nor thy son, nor thy daughter, thy manservant, nor thy maidservant, nor thy cattle, nor thy stranger that is within thy gates:
[ASV | EN | OT | Exodus | Chapter 20 | Verse 11] for in six days Jehovah made heaven and earth, the sea, and all that in them is, and rested the seventh day: wherefore Jehovah blessed the sabbath day, and hallowed it.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 12] Honor thy father and thy mother, that thy days may be long in the land which Jehovah thy God giveth thee.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 13] Thou shalt not kill.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 14] Thou shalt not commit adultery.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 15] Thou shalt not steal.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 16] Thou shalt not bear false witness against thy neighbor.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 17] Thou shalt not covet thy neighbor’s house, thou shalt not covet thy neighbor’s wife, nor his manservant, nor his maidservant, nor his ox, nor his ass, nor anything that is thy neighbor’s.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 18] And all the people perceived the thunderings, and the lightnings, and the voice of the trumpet, and the mountain smoking: and when the people saw it, they trembled, and stood afar off.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 19] And they said unto Moses, Speak thou with us, and we will hear; but let not God speak with us, lest we die.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 20] And Moses said unto the people, Fear not: for God is come to prove you, and that his fear may be before you, that ye sin not.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 21] And the people stood afar off, and Moses drew near unto the thick darkness where God was.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 22] And Jehovah said unto Moses, Thus thou shalt say unto the children of Israel, Ye yourselves have seen that I have talked with you from heaven.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 23] Ye shall not make other gods with me; gods of silver, or gods of gold, ye shall not make unto you.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 24] An altar of earth thou shalt make unto me, and shalt sacrifice thereon thy burnt offerings, and thy peace offerings, thy sheep, and thine oxen: in every place where I record my name I will come unto thee and I will bless thee.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 25] And if thou make me an altar of stone, thou shalt not build it of hewn stones; for if thou lift up thy tool upon it, thou hast polluted it.
[ASV | EN | OT | Exodus | Chapter 20 | Verse 26] Neither shalt thou go up by steps unto mine altar, that thy nakedness be not uncovered thereon.
