[ASV | EN | OT | Exodus | Chapter 28 | Verse 1] And bring thou near unto thee Aaron thy brother, and his sons with him, from among the children of Israel, that he may minister unto me in the priest’s office, even Aaron, Nadab and Abihu, Eleazar and Ithamar, Aaron’s sons.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 2] And thou shalt make holy garments for Aaron thy brother, for glory and for beauty.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 3] And thou shalt speak unto all that are wisehearted, whom I have filled with the spirit of wisdom, that they make Aaron’s garments to sanctify him, that he may minister unto me in the priest’s office.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 4] And these are the garments which they shall make: a breastplate, and an ephod, and a robe, and a coat of checker work, a miter, and a girdle: and they shall make holy garments for Aaron thy brother, and his sons, that he may minister unto me in the priest’s office.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 5] And they shall take the gold, and the blue, and the purple, and the scarlet, and the fine linen.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 6] And they shall make the ephod of gold, of blue, and purple, scarlet, and fine twined linen, the work of the skillful workman.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 7] It shall have two shoulder pieces joined to the two ends thereof, that it may be joined together.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 8] And the skillfully woven band, which is upon it, wherewith to gird it on, shall be like the work thereof and of the same piece; of gold, of blue, and purple, and scarlet, and fine twined linen.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 9] And thou shalt take two onyx stones, and grave on them the names of the children of Israel:
[ASV | EN | OT | Exodus | Chapter 28 | Verse 10] six of their names on the one stone, and the names of the six that remain on the other stone, according to their birth.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 11] With the work of an engraver in stone, like the engravings of a signet, shalt thou engrave the two stones, according to the names of the children of Israel: thou shalt make them to be enclosed in settings of gold.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 12] And thou shalt put the two stones upon the shoulder pieces of the ephod, to be stones of memorial for the children of Israel: and Aaron shall bear their names before Jehovah upon his two shoulders for a memorial.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 13] And thou shalt make settings of gold,
[ASV | EN | OT | Exodus | Chapter 28 | Verse 14] and two chains of pure gold; like cords shalt thou make them, of wreathen work: and thou shalt put the wreathen chains on the settings.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 15] And thou shalt make a breastplate of judgment, the work of the skillful workman; like the work of the ephod thou shalt make it; of gold, of blue, and purple, and scarlet, and fine twined linen, shalt thou make it.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 16] Foursquare it shall be and double; a span shall be the length thereof, and a span the breadth thereof.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 17] And thou shalt set in it settings of stones, four rows of stones: a row of sardius, topaz, and carbuncle shall be the first row;
[ASV | EN | OT | Exodus | Chapter 28 | Verse 18] and the second row an emerald, a sapphire, and a diamond;
[ASV | EN | OT | Exodus | Chapter 28 | Verse 19] and the third row a jacinth, an agate, and an amethyst;
[ASV | EN | OT | Exodus | Chapter 28 | Verse 20] and the fourth row a beryl, and an onyx, and a jasper: they shall be enclosed in gold in their settings.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 21] And the stones shall be according to the names of the children of Israel, twelve, according to their names; like the engravings of a signet, every one according to his name, they shall be for the twelve tribes.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 22] And thou shalt make upon the breastplate chains like cords, of wreathen work of pure gold.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 23] And thou shalt make upon the breastplate two rings of gold, and shalt put the two rings on the two ends of the breastplate.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 24] And thou shalt put the two wreathen chains of gold in the two rings at the ends of the breastplate.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 25] And the other two ends of the two wreathen chains thou shalt put on the two settings, and put them on the shoulder pieces of the ephod in the forepart thereof.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 26] And thou shalt make two rings of gold, and thou shalt put them upon the two ends of the breastplate, upon the edge thereof, which is toward the side of the ephod inward.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 27] And thou shalt make two rings of gold, and shalt put them on the two shoulder pieces of the ephod underneath, in the forepart thereof, close by the coupling thereof, above the skillfully woven band of the ephod.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 28] And they shall bind the breastplate by the rings thereof unto the rings of the ephod with a lace of blue, that it may be upon the skillfully woven band of the ephod, and that the breastplate be not loosed from the ephod.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 29] And Aaron shall bear the names of the children of Israel in the breastplate of judgment upon his heart, when he goeth in unto the holy place, for a memorial before Jehovah continually.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 30] And thou shalt put in the breastplate of judgment the Urim and the Thummim; and they shall be upon Aaron’s heart, when he goeth in before Jehovah: and Aaron shall bear the judgment of the children of Israel upon his heart before Jehovah continually.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 31] And thou shalt make the robe of the ephod all of blue.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 32] And it shall have a hole for the head in the midst thereof: it shall have a binding of woven work round about the hole of it, as it were the hole of a coat of mail, that it be not rent.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 33] And upon the skirts of it thou shalt make pomegranates of blue, and of purple, and of scarlet, round about the skirts thereof; and bells of gold between them round about:
[ASV | EN | OT | Exodus | Chapter 28 | Verse 34] a golden bell and a pomegranate, a golden bell and a pomegranate, upon the skirts of the robe round about.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 35] And it shall be upon Aaron to minister: and the sound thereof shall be heard when he goeth in unto the holy place before Jehovah, and when he cometh out, that he die not.
[ASV | EN | OT | Exodus | Chapter 28 | Verse 36] And thou shalt make a plate of pure gold, and grave upon it, like the engravings of a signet, HOLY TO JEHOVAH.
