[ASV | EN | OT | Exodus | Chapter 40 | Verse 1] And Jehovah spake unto Moses, saying,
[ASV | EN | OT | Exodus | Chapter 40 | Verse 2] On the first day of the first month shalt thou rear up the tabernacle of the tent of meeting.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 3] And thou shalt put therein the ark of the testimony, and thou shalt screen the ark with the veil.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 4] And thou shalt bring in the table, and set in order the things that are upon it; and thou shalt bring in the candlestick, and light the lamps thereof.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 5] And thou shalt set the golden altar for incense before the ark of the testimony, and put the screen of the door to the tabernacle.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 6] And thou shalt set the altar of burnt offering before the door of the tabernacle of the tent of meeting.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 7] And thou shalt set the laver between the tent of meeting and the altar, and shalt put water therein.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 8] And thou shalt set up the court round about, and hang up the screen of the gate of the court.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 9] And thou shalt take the anointing oil, and anoint the tabernacle, and all that is therein, and shalt hallow it, and all the furniture thereof: and it shall be holy.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 10] And thou shalt anoint the altar of burnt offering, and all its vessels, and sanctify the altar: and the altar shall be most holy.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 11] And thou shalt anoint the laver and its base, and sanctify it.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 12] And thou shalt bring Aaron and his sons unto the door of the tent of meeting, and shalt wash them with water.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 13] And thou shalt put upon Aaron the holy garments; and thou shalt anoint him, and sanctify him, that he may minister unto me in the priest’s office.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 14] And thou shalt bring his sons, and put coats upon them;
[ASV | EN | OT | Exodus | Chapter 40 | Verse 15] and thou shalt anoint them, as thou didst anoint their father, that they may minister unto me in the priest’s office: and their anointing shall be to them for an everlasting priesthood throughout their generations.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 16] Thus did Moses: according to all that Jehovah commanded him, so did he.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 17] And it came to pass in the first month in the second year, on the first day of the month, that the tabernacle was reared up.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 18] And Moses reared up the tabernacle, and laid its sockets, and set up the boards thereof, and put in the bars thereof, and reared up its pillars.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 19] And he spread the tent over the tabernacle, and put the covering of the tent above upon it; as Jehovah commanded Moses.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 20] And he took and put the testimony into the ark, and set the staves on the ark, and put the mercy seat above upon the ark:
[ASV | EN | OT | Exodus | Chapter 40 | Verse 21] and he brought the ark into the tabernacle, and set up the veil of the screen, and screened the ark of the testimony; as Jehovah commanded Moses.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 22] And he put the table in the tent of meeting, upon the side of the tabernacle northward, without the veil.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 23] And he set the bread in order upon it before Jehovah; as Jehovah commanded Moses.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 24] And he put the candlestick in the tent of meeting, over against the table, on the side of the tabernacle southward.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 25] And he lighted the lamps before Jehovah; as Jehovah commanded Moses.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 26] And he put the golden altar in the tent of meeting before the veil:
[ASV | EN | OT | Exodus | Chapter 40 | Verse 27] and he burnt thereon incense of sweet spices; as Jehovah commanded Moses.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 28] And he put the screen of the door to the tabernacle.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 29] And he set the altar of burnt offering at the door of the tabernacle of the tent of meeting, and offered upon it the burnt offering and the meal offering; as Jehovah commanded Moses.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 30] And he set the laver between the tent of meeting and the altar, and put water therein, wherewith to wash.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 31] And Moses and Aaron and his sons washed their hands and their feet thereat;
[ASV | EN | OT | Exodus | Chapter 40 | Verse 32] when they went into the tent of meeting, and when they came near unto the altar, they washed; as Jehovah commanded Moses.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 33] And he reared up the court round about the tabernacle and the altar, and set up the screen of the gate of the court. So Moses finished the work.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 34] Then the cloud covered the tent of meeting, and the glory of Jehovah filled the tabernacle.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 35] And Moses was not able to enter into the tent of meeting, because the cloud abode thereon, and the glory of Jehovah filled the tabernacle.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 36] And when the cloud was taken up from over the tabernacle, the children of Israel went onward, throughout all their journeys:
[ASV | EN | OT | Exodus | Chapter 40 | Verse 37] but if the cloud was not taken up, then they journeyed not till the day that it was taken up.
[ASV | EN | OT | Exodus | Chapter 40 | Verse 38] For the cloud of Jehovah was upon the tabernacle by day, and there was fire therein by night, in the sight of all the house of Israel, throughout all their journeys.
