[IRV | ML | OT | Joshua | Chapter 21 | Verse 1] അനന്തരം ലേവ്യരുടെ കുടുംബത്തലവന്മാർ പുരോഹിതനായ എലെയാസാരിന്റെയും നൂന്റെ മകനായ യോശുവയുടെയും യിസ്രായേൽഗോത്രങ്ങളിലെ കുടുംബത്തലവന്മാരുടെയും അടുക്കൽ വന്നു.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 2] കനാൻദേശത്തു ശീലോവിൽവെച്ചു അവരോടു: യഹോവ ഞങ്ങൾക്കു പാർപ്പാൻ പട്ടണങ്ങളും ഞങ്ങളുടെ കന്നുകാലികൾക്കു പുല്പുറങ്ങളും തരുവാൻ മോശെമുഖാന്തരം കല്പിച്ചിട്ടുണ്ടല്ലോ എന്നു പറഞ്ഞു.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 3] എന്നാറെ യിസ്രായേൽമക്കൾ തങ്ങളുടെ അവകാശത്തിൽനിന്നു യഹോവയുടെ കല്പനപ്രകാരം ഈ പട്ടണങ്ങളും അവയുടെ പുല്പുറങ്ങളും ലേവ്യർക്കു കൊടുത്തു.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 4] കെഹാത്യരുടെ കുടുംബങ്ങൾക്കു വന്ന നറുക്കുപ്രകാരം ലേവ്യരിൽ പുരോഹിതനായ അഹരോന്റെ മക്കൾക്കു യെഹൂദാഗോത്രത്തിലും ശിമെയോൻ ഗോത്രത്തിലും ബെന്യാമീൻ ഗോത്രത്തിലും കൂടെ പതിമ്മൂന്നു പട്ടണം കിട്ടി.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 5] കെഹാത്തിന്റെ ശേഷംമക്കൾക്കു എഫ്രയീംഗോത്രത്തിലും ദാൻഗോത്രത്തിലും മനശ്ശെയുടെ പാതിഗോത്രത്തിലും നറുക്കുപ്രകാരം പത്തുപട്ടണം കിട്ടി.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 6] ഗേർശോന്റെ മക്കൾക്കു യിസ്സാഖാർ ഗോത്രത്തിലും ആശേർഗോത്രത്തിലും നഫ്താലിഗോത്രത്തിലും ബാശാനിലെ മനശ്ശെയുടെ പാതിഗോത്രത്തിലും നറുക്കുപ്രകാരം പതിമ്മൂന്നു പട്ടണംകിട്ടി.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 7] മെരാരിയുടെ മക്കൾക്കു കുടുംബംകുടുംബമായി രൂബേൻ ഗോത്രത്തിലും ഗാദ്ഗോത്രത്തിലും സെബൂലൂൻ ഗോത്രത്തിലും കൂടെ പന്ത്രണ്ടു പട്ടണം കിട്ടി.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 8] യഹോവ മോശെമുഖാന്തരം കല്പിച്ചതുപോലെ യിസ്രായേൽമക്കൾ ലേവ്യർക്കു ഈ പട്ടണങ്ങളും അവയുടെ പുല്പുറങ്ങളും നറുക്കുപ്രകാരം കൊടുത്തു.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 9] അവർ യെഹൂദാമക്കളുടെ ഗോത്രത്തിലും ശിമെയോൻമക്കളുടെ ഗോത്രത്തിലും താഴെ പേർ പറയുന്ന പട്ടണങ്ങളെ കൊടുത്തു.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 10] അവ ലേവിമക്കളിൽ കെഹാത്യരുടെ കുടുംബങ്ങളിൽ അഹരോന്റെ മക്കൾക്കു കിട്ടി. അവർക്കായിരുന്നു ഒന്നാമത്തെ നറുക്കു വന്നതു.
[IRV | ML | OT | Joshua | Chapter 21 | Verse 11] യെഹൂദാമലനാട്ടിൽ അവർ അനാക്കിന്റെ അപ്പനായ അർബ്ബയുടെ പട്ടണമായ ഹെബ്രോനും അതിന്നുചുറ്റുമുള്ള പുല്പുറങ്ങളും അവർക്കു കൊടുത്തു.
