[IRV | ML | OT | Joshua | Chapter 18 | Verse 1] അനന്തരം യിസ്രായേൽമക്കളുടെ സഭ മുഴുവനും ശീലോവിൽ ഒന്നിച്ചുകൂടി അവിടെ സമാഗമനകൂടാരം നിർത്തി; ദേശം അവർക്കു കീഴടങ്ങിയിരുന്നു.
[IRV | ML | OT | Joshua | Chapter 18 | Verse 2] എന്നാൽ യിസ്രായേൽമക്കളിൽ അവകാശം ഭാഗിച്ചു കിട്ടാതിരുന്ന ഏഴു ഗോത്രങ്ങൾ ശേഷിച്ചിരുന്നു.
[IRV | ML | OT | Joshua | Chapter 18 | Verse 3] യോശുവ യിസ്രായേൽമക്കളോടു പറഞ്ഞതെന്തെന്നാൽ: നിങ്ങളുടെ പിതാക്കന്മാരുടെ ദൈവമായ യഹോവ നിങ്ങൾക്കു തന്നിരിക്കുന്ന ദേശം കൈവശമാക്കുവാൻ പോകുന്നതിന്നു നിങ്ങൾ എത്രത്തോളം മടിച്ചിരിക്കും?
[IRV | ML | OT | Joshua | Chapter 18 | Verse 4] ഓരോ ഗോത്രത്തിന്നു മുമ്മൂന്നു പേരെ നിയമിപ്പിൻ; ഞാൻ അവരെ അയക്കും; അവർ പുറപ്പെട്ടു ദേശത്തുകൂടി സഞ്ചരിച്ചു തങ്ങൾക്കു അവകാശം കിട്ടേണ്ടുംപ്രകാരം കണ്ടെഴുതി എന്റെ അടുക്കൽ മടങ്ങിവരേണം.
[IRV | ML | OT | Joshua | Chapter 18 | Verse 5] അതു ഏഴു പങ്കായി ഭാഗിക്കേണം: യെഹൂദാ തന്റെ അതിർക്കകത്തു തെക്കു പാർത്തുകൊള്ളട്ടെ; യോസേഫിന്റെ കുലവും തന്റെ അതിർക്കകത്തു വടക്കു പാർത്തുകൊള്ളട്ടെ.
[IRV | ML | OT | Joshua | Chapter 18 | Verse 6] അങ്ങനെ നിങ്ങൾ ദേശം ഏഴുഭാഗമായി കണ്ടെഴുതി ഇവിടെ എന്റെ അടുക്കൽ കൊണ്ടുവരുവിൻ. ഞാൻ ഇവിടെ നമ്മുടെ ദൈവമായ യഹോവയുടെ സന്നിധിയിൽവെച്ചു നിങ്ങൾക്കുവേണ്ടി ചീട്ടിടും.
[IRV | ML | OT | Joshua | Chapter 18 | Verse 7] ലേവ്യർക്കു നിങ്ങളുടെ ഇടയിൽ ഓഹരി ഇല്ലല്ലോ; യഹോവയുടെ പൗരോഹിത്യം അവരുടെ അവകാശം ആകുന്നു; ഗാദും രൂബേനും മനശ്ശെയുടെ പാതിഗോത്രവും യഹോവയുടെ ദാസനായ മോശെ അവർക്കു കൊടുത്തിട്ടുള്ള അവകാശം യോർദ്ദാന്നു കിഴക്കു വാങ്ങിയിരിക്കുന്നു.
[IRV | ML | OT | Joshua | Chapter 18 | Verse 8] അങ്ങനെ ആ പുരുഷന്മാർ യാത്ര പുറപ്പെട്ടു; ദേശം കണ്ടെഴുതുവാൻ പോയവരോടു യോശുവ: നിങ്ങൾ ചെന്നു ദേശത്തുകൂടി സഞ്ചരിച്ചു കണ്ടെഴുതുകയും ഞാൻ ഇവിടെ ശീലോവിൽ യഹോവയുടെ സന്നിധിയിൽവെച്ചു നിങ്ങൾക്കുവേണ്ടി ചീട്ടിടേണ്ടതിന്നു എന്റെ അടുക്കൽ മടങ്ങിവരികയും ചെയ്‌വിൻ എന്നു പറഞ്ഞു.
[IRV | ML | OT | Joshua | Chapter 18 | Verse 9] അവർ പോയി ദേശത്തുകൂടി കടന്നു നഗരവിവരത്തോടുകൂടെ ഒരു പുസ്തകത്തിൽ അതു ഏഴു ഭാഗമായി എഴുതി ശീലോവിൽ യോശുവയുടെ അടുക്കൽ പാളയത്തിലേക്കു മടങ്ങിവന്നു.
[IRV | ML | OT | Joshua | Chapter 18 | Verse 10] അപ്പോൾ യോശുവ ശീലോവിൽ യഹോവയുടെ സന്നിധിയിൽവെച്ചു അവർക്കു വേണ്ടി ചീട്ടിട്ടു; അവിടെവെച്ചു യോശുവ യിസ്രായേൽമക്കൾക്കു ഗോത്രവിഭാഗ പ്രകാരം ദേശം വിഭാഗിച്ചുകൊടുത്തു.
[IRV | ML | OT | Joshua | Chapter 18 | Verse 11] ബെന്യാമീൻ മക്കളുടെ ഗോത്രത്തിന്നു കുടുംബംകുടുംബമായി നറുക്കു വന്നു; അവരുടെ അവകാശത്തിന്റെ അതിർ യെഹൂദയുടെ മക്കളുടെയും യോസേഫിന്റെ മക്കളുടെയും മദ്ധ്യേ കിടക്കുന്നു.
