[IRV | ML | OT | Joshua | Chapter 15 | Verse 1] യെഹൂദാമക്കളുടെ ഗോത്രത്തിന്നു കുടുംബംകുടുംബമായി കിട്ടിയ ഓഹരി തെക്കെദേശത്തിന്റെ തെക്കെ അറ്റത്തു എദോമിന്റെ അതിരായ സീൻമരുഭൂമിവരെ തന്നേ.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 2] അവരുടെ തെക്കെ അതിർ ഉപ്പുകടലിന്റെ അറ്റംമുതൽ തെക്കോട്ടു നീണ്ടിരിക്കുന്ന ഇടക്കടൽമുതൽതന്നേ ആയിരുന്നു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 3] അതു അക്രബ്ബീംകയറ്റത്തിന്നു തെക്കോട്ടു ചെന്നു സീനിലേക്കു കടന്നു കാദേശ് ബർന്നേയയുടെ തെക്കുകൂടി കയറി ഹെസ്രോൻ കടന്നു ആദാരിലേക്കു കയറി കാർക്കയിലേക്കു തിരിഞ്ഞു
[IRV | ML | OT | Joshua | Chapter 15 | Verse 4] അസ്മോനിലേക്കു കടന്നു മിസ്രയീംതോടുവരെ ചെല്ലുന്നു; ആ അതിർ സമുദ്രത്തിങ്കൽ അവസാനിക്കുന്നു; ഇതു നിങ്ങളുടെ തെക്കെ അതിർ ആയിരിക്കേണം.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 5] കിഴക്കെ അതിർ യോർദ്ദാന്റെ അഴിമുഖംവരെ ഉപ്പുകടൽ തന്നേ; വടക്കെ അതിർ യോർദ്ദാന്റെ അഴിമുഖമായ
[IRV | ML | OT | Joshua | Chapter 15 | Verse 6] ഇടക്കടൽ തുടങ്ങി ബേത്ത്-ഹൊഗ്ലയിലേക്കു കയറി ബേത്ത്-അരാബയുടെ വടക്കുകൂടി കടന്നു, രൂബേന്റെ മകനായ ബോഹാന്റെ കല്ലുവരെ കയറിച്ചെല്ലുന്നു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 7] പിന്നെ ആ അതിർ ആഖോർതാഴ്‌വരമുതൽ ദെബീരിലേക്കു കയറി വടക്കോട്ടു തോട്ടിന്റെ തെക്കുവശത്തുള്ള അദുമ്മീംകയറ്റത്തിന്നെതിരെയുള്ള ഗില്ഗാലിന്നു ചെന്നു ഏൻ-ശേമെശ് വെള്ളത്തിങ്കലേക്കു കടന്നു ഏൻ-രോഗേലിങ്കൽ അവസാനിക്കുന്നു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 8] പിന്നെ ആ അതിർ ബെൻ-ഹിന്നോംതാഴ്‌വരയിൽകൂടി കയറി യെരൂശലേം എന്ന യെബൂസ്യഗിരിയുടെ തെക്കോട്ടു കടന്നു ഹിന്നോംതാഴ്‌വരയുടെ മുമ്പിൽ പടിഞ്ഞാറോട്ടും രെഫായീംതാഴ്‌വരയുടെ അറ്റത്തു വടക്കോട്ടും ഉള്ള മലയുടെ മുകളിലേക്കു കയറിച്ചെല്ലുന്നു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 9] പിന്നെ ആ അതിർ മലയുടെ മുകളിൽനിന്നു നെപ്തോഹയിലെ നീരുറവിലേക്കു തിരിഞ്ഞു എഫ്രോൻമലയിലെ പട്ടണങ്ങൾവരെ ചെന്നു കിര്യത്ത്-യെയാരീം എന്ന ബാലയിലേക്കു തിരിയുന്നു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 10] പിന്നെ ആ അതിർ ബാലാമുതൽ പടിഞ്ഞാറോട്ടു സേയീർമലവരെ തിരിഞ്ഞു കെസാലോൻ എന്ന യെയാരീംമലയുടെ പാർശ്വംവരെ വടക്കോട്ടു കടന്നു, ബേത്ത്-ശേമെശിലേക്കു ഇറങ്ങി തിമ്നയിലേക്കു ചെല്ലുന്നു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 11] പിന്നെ ആ അതിർ വടക്കോട്ടു എക്രോന്റെ പാർശ്വംവരെ ചെന്നു ശിക്രോനിലേക്കു തിരിഞ്ഞു ബാലാമലയിലേക്കു കടന്നു യബ്നേലിൽ ചെന്നു സമുദ്രത്തിങ്കൽ അവസാനിക്കുന്നു.
