[DRA | EN | NT | Hebrews | Chapter 13 | Verse 1] Let the charity of the brotherhood abide in you.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 2] And hospitality do not forget; for by this some, being not aware of it, have entertained angels.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 3] Remember them that are in bands, as if you were bound with them; and them that labour, as being yourselves also in the body.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 4] Marriage honourable in all, and the bed undefiled. For fornicators and adulterers God will judge.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 5] Let your manners be without covetousness, contented with such things as you have; for he hath said: I will not leave thee, neither will I forsake thee.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 6] So that we may confidently say: The Lord is my helper: I will not fear what man shall do to me.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 7] Remember your prelates who have spoken the word of God to you; whose faith follow, considering the end of their conversation,
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 8] Jesus Christ, yesterday, and today; and the same for ever.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 9] Be not led away with various and strange doctrines. For it is best that the heart be established with grace, not with meats; which have not profited those that walk in them.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 10] We have an altar, whereof they have no power to eat who serve the tabernacle.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 11] For the bodies of those beasts, whose blood is brought into the holies by the high priest for sin, are burned without the camp.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 12] Wherefore Jesus also, that he might sanctify the people by his own blood, suffered without the gate.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 13] Let us go forth therefore to him without the camp, bearing his reproach.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 14] For we have not here a lasting city, but we seek one that is to come.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 15] By him therefore let us offer the sacrifice of praise always to God, that is to say, the fruit of lips confessing to his name.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 16] And do not forget to do good, and to impart; for by such sacrifices God’s favour is obtained.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 17] Obey your prelates, and be subject to them. For they watch as being to render an account of your souls; that they may do this with joy, and not with grief. For this is not expedient for you.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 18] Pray for us. For we trust we have a good conscience, being willing to behave ourselves well in all things.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 19] And I beseech you the more to do this, that I may be restored to you the sooner.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 20] And may the God of peace, who brought again from the dead the great pastor of the sheep, our Lord Jesus Christ, in the blood of the everlasting testament,
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 21] Fit you in all goodness, that you may do his will; doing in you that which is well pleasing in his sight, through Jesus Christ, to whom is glory for ever and ever. Amen.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 22] And I beseech you, brethren, that you suffer this word of consolation. For I have written to you in a few words.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 23] Know ye that our brother Timothy is set at liberty: with whom (if he come shortly) I will see you.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 24] Salute all your prelates, and all the saints. The brethren from Italy salute you.
[DRA | EN | NT | Hebrews | Chapter 13 | Verse 25] Grace be with you all. Amen.
