[IRV | KN | OT | Joshua | Chapter 21 | Verse 1] ಲೇವಿ ಕುಲಾಧಿಪತಿಗಳು ಕಾನಾನ್ ದೇಶದ ಶೀಲೋವಿನಲ್ಲಿದ್ದ ಮಹಾಯಾಜಕನಾದ ಎಲ್ಲಾಜಾರ, ನೂನನ ಮಗನಾದ ಯೆಹೋಶುವ ಮತ್ತು ಇಸ್ರಾಯೇಲ ಕುಲಾಧಿಪತಿಗಳು ಇವರ ಬಳಿಗೆ ಬಂದು,
[IRV | KN | OT | Joshua | Chapter 21 | Verse 2] “ನಮ್ಮ ನಿವಾಸಕ್ಕೆ ಪಟ್ಟಣಗಳನ್ನೂ ಪಶುಗಳಿಗೆ ಗೋಮಾಳಗಳನ್ನೂ ಕೊಡಬೇಕೆಂದು ಯೆಹೋವನು ಮೋಶೆಯ ಮೂಲಕ ಆಜ್ಞಾಪಿಸಿದ್ದಾನಲ್ಲವೆ?” ಅನ್ನಲು
[IRV | KN | OT | Joshua | Chapter 21 | Verse 3] ಅವರು ಯೆಹೋವನ ಆಜ್ಞೆಯಂತೆ ತಮ್ಮ ಸ್ವತ್ತಿನಿಂದ ಕೆಳಗೆ ಬರೆದಷ್ಟು ಪಟ್ಟಣಗಳನ್ನೂ ಅವುಗಳಿಗೆ ಸೇರಿದ ಗೋಮಾಳಗಳನ್ನೂ ಅವರಿಗೆ ಕೊಟ್ಟರು.
[IRV | KN | OT | Joshua | Chapter 21 | Verse 4] ಕೆಹಾತ್ಯರಿಗೋಸ್ಕರ ಚೀಟುಹಾಕಿದಾಗ ಆರೋನನ ವಂಶದವರಾದ ಲೇವಿಯರಿಗೆ ಯೆಹೂದ, ಸಿಮೆಯೋನ್, ಬೆನ್ಯಾಮೀನ್ ಕುಲಗಳಿಂದ ಹದಿಮೂರು ಪಟ್ಟಣಗಳು ದೊರೆತವು.
[IRV | KN | OT | Joshua | Chapter 21 | Verse 5] ಉಳಿದ ಕೆಹಾತ್ಯರಿಗೆ ಎಫ್ರಾಯೀಮ್ ದಾನ್ ಕುಲಗಳಿಂದ ಮನಸ್ಸೆಯ ಅರ್ಧಕುಲದಿಂದಲೂ ಹತ್ತು ಪಟ್ಟಣಗಳು ಸಿಕ್ಕಿದವು.
[IRV | KN | OT | Joshua | Chapter 21 | Verse 6] ಪುನಃ ಚೀಟು ಹಾಕಿದಾಗ ಗೇರ್ಷೋನ್ಯರಿಗೆ ಇಸ್ಸಾಕಾರ್, ಆಶೇರ್, ನಫ್ತಾಲಿ ಎಂಬ ಕುಲಗಳಿಂದ ಮತ್ತು ಬಾಷಾನಿನಲ್ಲಿರುವ ಮನಸ್ಸೆಯ ಅರ್ಧ ಕುಲದಿಂದಲೂ ಹದಿಮೂರು ಪಟ್ಟಣಗಳು ದೊರಕಿದವು.
[IRV | KN | OT | Joshua | Chapter 21 | Verse 7] ಮೆರಾರೀ ಗೋತ್ರದವರಿಗೆ ರೂಬೇನ್, ಗಾದ್, ಜೆಬುಲೂನ್ ಕುಲಗಳಿಂದ ಹನ್ನೆರಡು ಪಟ್ಟಣಗಳು ಸಿಕ್ಕಿದವು
[IRV | KN | OT | Joshua | Chapter 21 | Verse 8] ಯೆಹೋವನು ಮೋಶೆಯ ಮೂಲಕ ಆಜ್ಞಾಪಿಸಿದಂತೆ ಇಸ್ರಾಯೇಲರು ಚೀಟು ಹಾಕಿ ಲೇವಿಯರಿಗೆ ಇಷ್ಟು ಪಟ್ಟಣಗಳನ್ನು ಅವುಗಳಿಗೆ ಸೇರಿದ ಗೋಮಾಳಗಳನ್ನೂ ಕೊಟ್ಟರು.
[IRV | KN | OT | Joshua | Chapter 21 | Verse 9] ಲೇವಿ ಕುಲದವರು ಕೆಹಾತ್ಯರ ಗೋತ್ರದವರೂ ಆದ ಆರೋನನ ಕುಟುಂಬದವರಿಗೆ ಮೊದಲು ಚೀಟು ಬಿದ್ದಿತು.
[IRV | KN | OT | Joshua | Chapter 21 | Verse 10] ಆದ್ದರಿಂದ ಇಸ್ರಾಯೇಲ್ಯರು ಅವರಿಗೆ ಯೆಹೂದ ಸಿಮೆಯೋನ್ ಕುಲಗಳಿಂದ ಕೆಳಗೆ ಹೇಳಿರುವ ಪಟ್ಟಣಗಳನ್ನು ಕೊಟ್ಟರು.
[IRV | KN | OT | Joshua | Chapter 21 | Verse 11] ಇವುಗಳಲ್ಲಿ ಯೆಹೂದ ಬೆಟ್ಟದ ಸೀಮೆಯ ಹೆಬ್ರೋನೆಂಬ ಗೋಮಾಳ ಸಹಿತವಾದ ಕಿರ್ಯತರ್ಬವೂ ಸೇರಿರುತ್ತದೆ. (ಕಿರ್ಯಾತ ಅರ್ಬ ಎಂದರೆ ಅನಾಕನ ತಂದೆಯಾದ ಅರ್ಬನ ಪಟ್ಟಣ) ಅದರ ಸುತ್ತಲಿರುವ ಉಪನಗರಗಳನ್ನೂ ಅವರಿಗೆ ಕೊಟ್ಟರು.
