[IRV | KN | OT | Genesis | Chapter 12 | Verse 1] ಯೆಹೋವನು ಅಬ್ರಾಮನಿಗೆ, “ನೀನು, ನಿನ್ನ ಸ್ವದೇಶವನ್ನೂ, ಬಂಧುಬಳಗವನ್ನೂ, ತಂದೆಯ ಮನೆಯನ್ನೂ ಬಿಟ್ಟು ನಾನು ತೋರಿಸುವ ದೇಶಕ್ಕೆ ಹೊರಟು ಹೋಗು.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 2] ನಾನು ನಿನ್ನನ್ನು ಮಹಾ ಜನಾಂಗವಾಗುವಂತೆ ಮಾಡಿ, ಆಶೀರ್ವದಿಸಿ, ನಿನ್ನ ಹೆಸರನ್ನು ಪ್ರಖ್ಯಾತಿಗೆ ತರುವೆನು. ನೀನು ಆಶೀರ್ವಾದದ ನಿಧಿಯಾಗುವಿ.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 3] ನಿನ್ನನ್ನು ಆಶೀರ್ವದಿಸುವವರನ್ನು ನಾನು ಆಶೀರ್ವದಿಸುವೆನು; ನಿನ್ನನ್ನು ಶಪಿಸುವವರನ್ನು ನಾನು ಶಪಿಸುವೆನು. ನಿನ್ನ ಮೂಲಕ ಭೂಲೋಕದ ಎಲ್ಲಾ ಜನಾಂಗಗಳಿಗೆ ಆಶೀರ್ವಾದವುಂಟಾಗುವುದು” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 4] ಯೆಹೋವನು ಹೇಳಿದ ಪ್ರಕಾರ ಅಬ್ರಾಮನು ಹೊರಟುಹೋದನು. ಲೋಟನೂ ಅವನ ಸಂಗಡ ಹೋದನು. ಅಬ್ರಾಮನು ಹಾರಾನ್ ಪಟ್ಟಣವನ್ನು ಬಿಟ್ಟು ಹೊರಟಾಗ ಎಪ್ಪತ್ತೈದು ವರ್ಷದವನಾಗಿದ್ದನು.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 5] ಅಬ್ರಾಮನು ತನ್ನ ಹೆಂಡತಿಯಾದ ಸಾರಯಳನ್ನೂ, ತನ್ನ ತಮ್ಮನ ಮಗನಾದ ಲೋಟನನ್ನೂ, ತಾನೂ ಲೋಟನೂ ಹಾರಾನಿನಲ್ಲಿ ಸಂಪಾದಿಸಿದ್ದ ಎಲ್ಲಾ ಸೊತ್ತನ್ನೂ, ದಾಸ ದಾಸಿಯರನ್ನೂ ತೆಗೆದುಕೊಂಡು ಕಾನಾನ್ ದೇಶಕ್ಕೆ ಬಂದನು.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 6] ಅಬ್ರಾಮನು ಆ ದೇಶದಲ್ಲಿ ಸಂಚರಿಸುತ್ತಾ ಶೆಕೆಮ್ ಸ್ಥಳದಲ್ಲಿರುವ ಮೋರೆ ಎಂಬ ವೃಕ್ಷದ ಬಳಿಗೆ ಬಂದನು. ಆ ಕಾಲದಲ್ಲಿ ಕಾನಾನ್ಯರು ದೇಶದಲ್ಲಿದ್ದರು.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 7] ಅಲ್ಲಿ ಯೆಹೋವನು ಅಬ್ರಾಮನಿಗೆ ದರ್ಶನದಲ್ಲಿ, “ನಾನು ಈ ದೇಶವನ್ನು ನಿನ್ನ ಸಂತಾನಕ್ಕೆ ಕೊಡುವೆನು” ಅಂದನು. ತನಗೆ ದರ್ಶನಕೊಟ್ಟ ಯೆಹೋವನಿಗೆ ಅಬ್ರಾಮನು ಯಜ್ಞವೇದಿಯನ್ನು ಕಟ್ಟಿಸಿದನು.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 8] ಅವನು ಅಲ್ಲಿಂದ ಹೊರಟು ಬೇತೇಲಿನ ಪೂರ್ವದಲ್ಲಿರುವ ಗುಡ್ಡಕ್ಕೆ ಬಂದು ತನ್ನ ಗುಡಾರವನ್ನು ಹಾಕಿ ಇಳಿದುಕೊಂಡನು. ಪಶ್ಚಿಮಕ್ಕೆ ಬೇತೇಲ್, ಪೂರ್ವಕ್ಕೆ ಆಯಿ ಎಂಬ ಊರುಗಳಿದ್ದವು. ಅಲ್ಲಿಯೂ ಅಬ್ರಾಮನು ಯೆಹೋವನಿಗೋಸ್ಕರ ಯಜ್ಞವೇದಿಯನ್ನು ಕಟ್ಟಿಸಿ ಆತನ ಹೆಸರಿನಲ್ಲಿ ಆರಾಧಿಸಿದನು.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 9] ತರುವಾಯ ಅಬ್ರಾಮನು ಅಲ್ಲಿಂದ ಹೊರಟು ಕಾನಾನ್ ದೇಶದ ದಕ್ಷಿಣ ಸೀಮೆಗೆ ಪ್ರಯಾಣ ಮಾಡುತ್ತಾ ಹೋದನು.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 10] ದಕ್ಷಿಣ ಕಾನಾನ್ ದೇಶದಲ್ಲಿ ಘೋರ ಕ್ಷಾಮವಿದ್ದುದರಿಂದ, ಅಬ್ರಾಮನು ಅಲ್ಲಿರದೆ, ಐಗುಪ್ತ ದೇಶದಲ್ಲಿ ಕೆಲವು ಕಾಲ ಇರಬೇಕೆಂದು ಆ ಬೆಟ್ಟದ ಸೀಮೆಯಿಂದ ಇಳಿದು ಹೋದನು.
[IRV | KN | OT | Genesis | Chapter 12 | Verse 11] ಅವನು ಐಗುಪ್ತ ದೇಶದ ಹತ್ತಿರಕ್ಕೆ ಬಂದಾಗ ತನ್ನ ಹೆಂಡತಿಯಾದ ಸಾರಯಳಿಗೆ, “ಕೇಳು, ನೀನು ಸುಂದರಿ ಎಂದು ನಾನು ಬಲ್ಲೆ;
