[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 1] Now was it that the high priest Simon bowed his knees over against the holy place, and spread out his hands in reverent form, and uttered the following supplication:
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 2] O Lord, Lord, King of the heavens, and Ruler of the whole creation, Holy among the holy, sole Governor, Almighty, give ear to us who are oppressed by a wicked and profane one, who exulteth in his confidence and strength.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 3] It is thou, the Creator of all, the Lord of the universe, who art a righteous Governor, and judgest all who act with pride and insolence.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 4] It was thou who didst destroy the former workers of unrighteousness, among whom were the giants, who trusted in their strength and boldness, by covering them with a measureless flood.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 5] It was thou who didst make the Sodomites, those workers of exceeding iniquity, men notorious for their vices, an example to after generations, when thou didst consume them with fire and brimstone.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 6] Thou didst make known thy power when thou causedst the bold Pharaoh, the enslaver of thy people, to pass through the ordeal of many and diverse inflictions.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 7] And thou rolledst the depths of the sea over him, when he made pursuit with chariots, and with a multitude of followers, and gavest a safe passage to those who put their trust in thee, the Lord of the whole creation.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 8] These saw and felt the works of thy hands, and praised thee the Almighty.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 9] Thou, O King, when thou createdst the illimitable and measureless earth, didst choose out this city: thou didst make this place sacred to thy name, albeit thou needest nothing: thou didst glorify it with thine illustrious presence, after constructing it to the glory of thy great and honorable name.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 10] And thou didst promise, out of love to the house of Israel, that should we fall away from thee, and become afflicted, and then come to this house and pray, thou wouldest hear our prayer.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 11] Verily thou art faithful and true.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 12] And whereas thou didst often aid our fathers when hard pressed, and in low estate, and deliveredst them out of great dangers,
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 13] see now, holy King, how through our many and great sins we are borne down, and made subject to our enemies, and are become weak and powerless.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 14] We being in this low condition, this bold and profane man seeketh to dishonor this thy holy place, consecrated out of the earth to the name of thy Majesty.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 15] Thy dwelling place, the heaven of heavens, is indeed unapproachable to men.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 16] But since it seemed good to thee to exhibit thy glory among thy people Israel, thou didst sanctify this place.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 17] Punish us not by means of the uncleanness of their men, nor chastise us by means of their profanity; lest the lawless ones should boast in their rage, and exult in exuberant pride of speech, and say,
