[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 1] Wherefore, leaving the word of the beginning of the Christ, let us go on [to what belongs] to full growth, not laying again a foundation of repentance from dead works and faith in God,
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 2] of [the] doctrine of washings, and of imposition of hands, and of resurrection of [the] dead, and of eternal judgment;
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 3] and this will we do if God permit.
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 4] For it is impossible to renew again to repentance those once enlightened, and who have tasted of the heavenly gift, and have been made partakers of [the] Holy Spirit,
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 5] and have tasted the good word of God, and [the] works of power of [the] age to come,
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 6] and have fallen away, crucifying for themselves [as they do] the Son of God, and making a show of [him].
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 7] For ground which drinks the rain which comes often upon it, and produces useful herbs for those for whose sakes also it is tilled, partakes of blessing from God;
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 8] but bringing forth thorns and briars, it is found worthless and nigh to a curse, whose end [is] to be burned.
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 9] But we are persuaded concerning you, beloved, better things, and connected with salvation, even if we speak thus.
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 10] For God [is] not unrighteous to forget your work, and the love which ye have shewn to his name, having ministered to the saints, and [still] ministering.
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 11] But we desire earnestly that each one of you shew the same diligence to the full assurance of hope unto the end;
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 12] that ye be not sluggish, but imitators of those who through faith and patience have been inheritors of the promises.
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 13] For God, having promised to Abraham, since he had no greater to swear by, swore by himself,
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 14] saying, Surely blessing I will bless thee, and multiplying I will multiply thee;
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 15] and thus, having had long patience, he got the promise.
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 16] For men indeed swear by a greater, and with them the oath is a term to all dispute, as making matters sure.
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 17] Wherein God, willing to shew more abundantly to the heirs of the promise the unchangeableness of his purpose, intervened by an oath,
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 18] that by two unchangeable things, in which [it was] impossible that God should lie, we might have a strong encouragement, who have fled for refuge to lay hold on the hope set before us,
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 19] which we have as anchor of the soul, both secure and firm, and entering into that within the veil,
[DARBY | EN | NT | Hebrews | Chapter 6 | Verse 20] where Jesus is entered as forerunner for us, become for ever a high priest according to the order of Melchisedec.
