[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 1] For this reason we should give heed more abundantly to the things [we have] heard, lest in any way we should slip away.
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 2] For if the word which was spoken by angels was firm, and every transgression and disobedience received just retribution,
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 3] how shall we escape if we have been negligent of so great salvation, which, having had its commencement in being spoken [of] by the Lord, has been confirmed to us by those who have heard;
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 4] God bearing, besides, witness with [them] to [it], both by signs and wonders, and various acts of power, and distributions of [the] Holy Spirit, according to his will?
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 5] For he has not subjected to angels the habitable world which is to come, of which we speak;
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 6] but one has testified somewhere, saying, What is man, that thou rememberest him, or son of man that thou visitest him?
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 7] Thou hast made him some little inferior to the angels; thou hast crowned him with glory and honour, [and hast set him over the works of thy hands;]
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 8] thou hast subjected all things under his feet. For in subjecting all things to him, he has left nothing unsubject to him. But now we see not yet all things subjected to him,
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 9] but we see Jesus, who [was] made some little inferior to angels on account of the suffering of death, crowned with glory and honour; so that by the grace of God he should taste death for every thing.
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 10] For it became him, for whom [are] all things, and by whom [are] all things, in bringing many sons to glory, to make perfect the leader of their salvation through sufferings.
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 11] For both he that sanctifies and those sanctified [are] all of one; for which cause he is not ashamed to call them brethren,
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 12] saying, I will declare thy name to my brethren; in [the] midst of [the] assembly will I sing thy praises.
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 13] And again, I will trust in him. And again, Behold, I and the children which God has given me.
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 14] Since therefore the children partake of blood and flesh, he also, in like manner, took part in the same, that through death he might annul him who has the might of death, that is, the devil;
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 15] and might set free all those who through fear of death through the whole of their life were subject to bondage.
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 16] For he does not indeed take hold of angels [by the hand], but he takes hold of the seed of Abraham.
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 17] Wherefore it behoved him in all things to be made like to [his] brethren, that he might be a merciful and faithful high priest in things relating to God, to make propitiation for the sins of the people;
[DARBY | EN | NT | Hebrews | Chapter 2 | Verse 18] for, in that himself has suffered, being tempted, he is able to help those that are being tempted.
