[LXX | EL | OT | Hosea | Chapter 13 | Verse 1] Κατὰ τὸν λόγον Ἐφραὶμ δικαιώματα ἔλαβεν αὐτὸς ἐν τῷ Ἰσραήλ, καὶ ἔθετο αὐτὰ τῇ Βάαλ καὶ ἀπέθανε.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 2] Καὶ νῦν προσέθεντο τοῦ ἁμαρτάνειν, καὶ ἐποίησαν ἑαυτοῖς χώνευμα ἐκ τοῦ ἀργυρίου αὐτῶν, κατʼ εἰκόνα εἰδώλων, ἔργα τεκτόνων συντετελεσμένα αὐτοῖς· αὐτοὶ λέγουσι, θύσατε ἀνθρώπους, μόσχοι γὰρ ἐκλελοίπασι.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 3] Διὰ τοῦτο ἔσονται ὡς νεφέλη πρωϊνὴ καὶ ὡς δρόσος ὀρθρινὴ πορευομένη, ὡς χνοῦς ἀποφυσώμενος ἀφʼ ἅλωνος, καὶ ὡς ἀτμὶς ἀπὸ δακρύων.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 4] Ἐγὼ δὲ Κύριος ὁ Θεός σου ὁ στερεῶν τὸν οὐρανὸν, καὶ κτίζων γῆν, οὗ αἱ χεῖρες ἔκτισαν πᾶσαν τὴν στρατιὰν τοῦ οὐρανοῦ, καὶ οὐ παρέδειξά σοι αὐτὰ τοῦ πορεύεσθαι ὀπίσω αὐτῶν· καὶ ἐγὼ ἀνήγαγόν σε ἐκ γῆς Αἰγύπτου, καὶ θεὸν πλὴν ἐμοῦ οὐ γνώσῃ, καὶ σώζων οὐκ ἔστι πάρεξ ἐμοῦ.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 5] Ἐγὼ ἐποίμαινόν σε ἐν τῇ ἐρήμῳ, ἐν γῇ ἀοικήτῳ
[LXX | EL | OT | Hosea | Chapter 13 | Verse 6] κατὰ τὰς νομὰς αὐτῶν, καὶ ἐνεπλήσθησαν εἰς πλησμονήν, καὶ ὑψώθησαν αἱ καρδίαι αὐτῶν· ἕνεκα τούτου ἐπελάθοντό μου.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 7] Καὶ ἔσομαι αὐτοῖς ὡς πανθὴρ, καὶ ὡς πάρδαλις· κατὰ τὴν ὁδὸν Ἀσσυρίων
[LXX | EL | OT | Hosea | Chapter 13 | Verse 8] ἀπαντήσομαι αὐτοῖς ὡς ἄρκτος ἡ ἀπορουμένη, καὶ διαῤῥήξω συγκλεισμὸν καρδίας αὐτῶν, καὶ καταφάγονται αὐτοὺς ἐκεῖ σκύμνοι δρυμοῦ, θηρία ἀγροῦ διασπάσει αὐτούς.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 9] Τῇ διαφθορᾷ σου Ἰσραήλ τίς βοηθήσει;
[LXX | EL | OT | Hosea | Chapter 13 | Verse 10] Ποῦ ὁ βασιλεύς σου οὗτος; καὶ διασωσάτω σε ἐν πάσαις ταῖς πόλεσί σου· κρινάτω σε ὃν εἶπας, δός μοι βασιλέα καὶ ἄρχοντα.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 11] Καὶ ἔδωκά σοι βασιλέα ἐν ὀργῇ μου, καὶ ἔσχον ἐν τῷ θυμῷ μου.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 12] Συστροφὴν ἀδικίας Ἐφραὶμ, ἐγκεκρυμμένη ἡ ἁμαρτία αὐτοῦ,
[LXX | EL | OT | Hosea | Chapter 13 | Verse 13] ὠδῖνες ὡς τικτούσης ἥξουσιν αὐτῷ· οὗτος ὁ υἱός σου ὁ φρόνιμος, διότι οὐ μὴ ὑποστῇ ἐν συντριβῇ τέκνων.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 14] Ἐκ χειρὸς ᾅδου ῥύσομαι, καὶ ἐκ θανάτου λυτρώσομαι αὐτούς· ποῦ ἡ δίκη σου θάνατε; ποῦ τὸ κέντρον σου ᾅδη; παράκλησις κέκρυπται ἀπὸ ὀφθαλμῶν μου.
[LXX | EL | OT | Hosea | Chapter 13 | Verse 15] Διότι οὗτος ἀναμέσον ἀδελφῶν διαστελεῖ, ἐπάξει καύσωνα ἄνεμον Κύριος ἐκ τῆς ἐρήμου ἐπʼ αὐτόν, καὶ ἀναξηρανεῖ τὰς φλέβας αὐτοῦ, ἐξερημώσει τὰς πηγὰς αὐτοῦ· αὐτὸς καταξηρανεῖ τὴν γῆν αὐτοῦ, καὶ πάντα τὰ σκεύη τὰ ἐπιθυμητὰ αὐτοῦ.
