[LXX | EL | OT | Hosea | Chapter 12 | Verse 1] Ἐκύκλωσέ με ἐν ψεύδει Ἐφραὶμ, καὶ ἐν ἀσεβείαις οἶκος Ἰσραὴλ, καὶ Ἰούδα· νῦν ἔγνω αὐτοὺς ὁ Θεὸς, καὶ ὁ λαὸς ἅγιος κεκλήσεται Θεοῦ.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 2] Ὁ δὲ Ἐφραὶμ πονηρὸν πνεῦμα, ἐδίωξε καύσωνα ὅλην τὴν ἡμέραν· κενὰ καὶ μάταια ἐπλήθυνε, καὶ διαθήκην μετὰ Ἀσσυρίων διέθετο, καὶ ἔλαιον εἰς Αἴγυπτον ἐνεπορεύετο.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 3] Καὶ κρίσις τῷ Κυρίῳ πρὸς Ἰούδαν, τοῦ ἐκδικῆσαι τὸν Ἰακώβ· κατὰ τὰς ὁδοὺς αὐτοῦ καὶ κατὰ τὰ ἐπιτηδεύματα αὐτοῦ ἀποδώσει αὐτῷ.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 4] Ἐν τῇ κοιλίᾳ ἐπτέρνισε τὸν ἀδελφὸν αὐτοῦ, καὶ ἐν κόποις αὐτοῦ ἐνίσχυσε πρὸς Θεόν.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 5] Καὶ ἐνίσχυσε μετὰ ἀγγέλου, καὶ ἠδυνάσθη· ἔκλαυσαν, καὶ ἐδεήθησάν μου· ἐν τῷ οἴκῳ Ὦν εὕροσάν με, καὶ ἐκεῖ ἐλαλήθη πρὸς αὐτούς.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 6] Ὁ δὲ Κύριος ὁ Θεὸς ὁ παντοκράτωρ ἔσται μνημόσυνον αὐτοῦ.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 7] Καὶ σὺ ἐν Θεῷ σου ἐπιστρέψεις, ἔλεον καὶ κρίμα φυλάσσου, καὶ ἔγγιζε πρὸς τὸν Θεόν σου διαπαντός.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 8] Χαναὰν, ἐν χειρὶ αὐτοῦ ζυγὸς ἀδικίας, καταδυναστεύειν ἠγάπησε.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 9] Καὶ εἶπεν Ἐφραὶμ, πλὴν πεπλούτηκα, εὕρηκα ἀναψυχὴν ἐμαυτῷ· πάντες οἱ πόνοι αὐτοῦ οὐχ εὑρεθήσονται αὐτῷ, διʼ ἀδικίας ἃς ἥμαρτεν.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 10] Ἐγὼ δὲ Κύριος ὁ Θεός σου ἀνήγαγόν σε ἐκ γῆς Αἰγύπτου, ἔτι κατοικιῶ σε ἐν σκηναῖς, καθὼς ἡμέραι ἑορτῆς.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 11] Καὶ λαλήσω πρὸς προφήτας, καὶ ἐγὼ ὁράσεις ἐπλήθυνα, καὶ ἐν χερσὶ προφητῶν ὡμοιώθην.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 12] Εἰ μὴ Γαλαάδ ἐστιν, ἄρα ψευδεῖς ἦσαν ἐν Γαλαὰδ ἄρχοντες θυσιάζοντες, καὶ τὰ θυσιαστήρια αὐτῶν, ὡς χελῶναι ἐπὶ χέρσον ἀγροῦ.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 13] Καὶ ἀνεχώρησεν Ἰακὼβ εἰς πεδίον Συρίας, καὶ ἐδούλευσεν Ἰσραὴλ ἐν γυναικὶ, καὶ γυναικὶ ἐφυλάξατο.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 14] Καὶ ἐν προφήτῃ ἀνήγαγεν Κύριος τὸν Ἰσραὴλ ἐκ γῆς Αἰγύπτου, καὶ ἐν προφήτῃ διεφυλάχθη.
[LXX | EL | OT | Hosea | Chapter 12 | Verse 15] Ἐθύμωσεν Ἐφραὶμ, καὶ παρώργισε, καὶ τὸ αἷμα αὐτοῦ ἐπʼ αὐτὸν ἐκχυθήσεται, καὶ τὸν ὀνειδισμὸν αὐτοῦ ἀνταποδώσει Κύριος αὐτῷ.
