[LXX | EL | OT | Hosea | Chapter 4 | Verse 1] Ἀκούσατε λόγον Κυρίου υἱοὶ Ἰσραὴλ, ὅτι κρίσις τῷ Κυρίῳ πρὸς τοὺς κατοικοῦντας τὴν γῆν, διότι οὐκ ἔστιν ἀλήθεια, οὐδὲ ἔλεος, οὐδὲ ἐπίγνωσις Θεοῦ ἐπὶ τῆς γῆς.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 2] Ἀρὰ, καὶ ψεῦδος, καὶ φόνος καὶ κλοπὴ, καὶ μοιχεία κέχυται ἐπὶ τῆς γῆς, καὶ αἵματα ἐφʼ αἵμασι μίσγουσι.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 3] Διὰ τοῦτο πενθήσει ἡ γῆ, καὶ σμικρυνθήσεται σὺν πᾶσι τοῖς κατοικοῦσιν αὐτὴν, σὺν τοῖς θηρίοις τοῦ ἀγροῦ, καὶ σὺν τοῖς ἑρπετοῖς τῆς γῆς, καὶ σὺν τοῖς πετεινοῖς τοῦ οὐρανοῦ, καὶ οἱ ἰχθύες τῆς θαλάσσης ἐκλείψουσιν,
[LXX | EL | OT | Hosea | Chapter 4 | Verse 4] ὅπως μηδεὶς μήτε δικάζηται, μήτε ἐλέγχῃ μηδείς· ὁ δὲ λαός μου ὡς ἀντιλεγόμενος ἱερεύς.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 5] Καὶ ἀσθενήσει ἡμέρας, καὶ ἀσθενήσει ὁ προφήτης μετὰ σοῦ· νυκτὶ ὡμοίωσα τὴν μητέρα σου.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 6] Ὡμοιώθη ὁ λαός μου, ὡς οὐκ ἔχων γνῶσιν· ὅτι σὺ ἐπίγνωσιν ἀπώσω, κᾀγὼ ἀπώσομαί σε, τοῦμὴ ἱερατεύειν μοι· καὶ ἐπελάθου νόμον Θεοῦ σου, κᾀγὼ ἐπιλήσομαι τέκνων σου.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 7] Κατὰ τὸ πλῆθος αὐτῶν, οὕτως ἥμαρτόν μοι· τὴν δόξαν αὐτῶν εἰς ἀτιμίαν θήσομαι.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 8] Ἁμαρτίας λαοῦ μου φάγονται· καὶ ἐν ταῖς ἀδικίαις αὐτῶν λήψονται τὰς ψυχὰς αὐτῶν.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 9] Καὶ ἔσται καθὼς ὁ λαὸς, οὕτως καὶ ὁ ἱερεύς· καὶ ἐκδικήσω ἐπʼ αὐτὸν τὰς ὁδοὺς αὐτοῦ, καὶ τὰ διαβούλια αὐτοῦ ἀνταποδώσω αὐτῷ.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 10] Καὶ φάγονται, καὶ οὐ μὴ ἐμπλησθῶσιν· ἐπόρνευσαν, καὶ οὐ μὴ κατευθύνωσι· διότι τὸν Κύριον ἐγκατέλιπον τοῦ φυλάξαι.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 11] Πορνείαν καὶ οἶνον καὶ μέθυσμα ἐδέξατο καρδία λαοῦ μου·
[LXX | EL | OT | Hosea | Chapter 4 | Verse 12] ἐν συμβόλοις ἐπηρώτων, καὶ ἐν ῥάβδοις αὐτοῦ ἀπήγγελλον αὐτῷ· πνεύματι πορνείας ἐπλανήθησαν, καὶ ἐξεπόρνευσαν ἀπὸ τοῦ Θεοῦ αὐτῶν.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 13] Ἐπὶ τὰς κορυφὰς τῶν ὀρέων ἐθυσίαζον, καὶ ἐπὶ τοὺς βουνοὺς ἔθυον ὑποκάτω δρυὸς, καὶ λεύκης, καὶ δένδρου συσκιάζοντος, ὅτι καλὸν σκέπη. διὰ τοῦτο ἐκπορνεύσουσιν αἱ θυγατέρες ὑμῶν, καὶ αἱ νύμφαι ὑμῶν μοιχεύσουσι.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 14] Καὶ οὐ μὴ ἐπισκέψωμαι ἐπὶ τὰς θυγατέρας ὑμῶν ὅταν πορνεύσωσι, καὶ ἐπὶ τὰς νύμφας ὑμῶν ὅταν μοιχεύωσιν· ὅτι αὐτοὶ μετὰ τῶν πορνῶν συνεφύροντο, καὶ μετὰ τῶν τετελεσμένων ἔθυον, καὶ ὁ λαὸς ὁ μὴ συνιὼν συνεπλέκετο μετὰ πόρνης.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 15] Σὺ δὲ Ἰσραὴλ μὴ ἀγνόει, καὶ Ἰούδα μὴ εἰσπορεύεσθε εἰς Γάλγαλα, καὶ μὴ ἀναβαίνετε εἰς τὸν οἶκον Ὦν, καὶ μὴ ὀμνύετε ζῶντα Κύριον.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 16] Διότι ὡς δάμαλις παροιστρῶσα παροίστρησεν Ἰσραήλ· νῦν νεμήσει αὐτοὺς Κύριος ὡς ἀμνὸν ἐν εὐρυχώρῳ.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 17] Μέτοχος εἰδώλων Ἐφραὶμ ἔθηκεν ἑαυτῷ σκάνδαλα,
[LXX | EL | OT | Hosea | Chapter 4 | Verse 18] ἠρέτισε Χαναναίους· πορνεύοντες ἐξεπόρνευσαν, ἠγάπησαν ἀτιμίαν ἐκ φρυάγματος αὐτῆς.
[LXX | EL | OT | Hosea | Chapter 4 | Verse 19] Συστροφὴ πνεύματος σὺ εἶ ἐν ταῖς πτέρυξιν αὐτῆς, καὶ καταισχυνθήσονται ἐκ τῶν θυσιαστηρίων αὐτῶν.
