[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 1] Ὀψὲ δὲ σαββάτων, τῇ ἐπιφωσκούσῃ εἰς μίαν σαββάτων, ἦλθε Μαρία ἡ Μαγδαληνή, καὶ ἡ ἄλλη Μαρία, θεωρῆσαι τὸν τάφον.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 2] Καὶ ἰδού, σεισμὸς ἐγένετο μέγας· ἄγγελος γὰρ Κυρίου καταβὰς ἐξ οὐρανοῦ, προσελθὼν ἀπεκύλισε τὸν λίθον ἀπὸ τῆς θύρας, καὶ ἐκάθητο ἐπάνω αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 3] Ἦν δὲ ἡ ἰδέα αὐτοῦ ὡς ἀστραπή, καὶ τὸ ἔνδυμα αὐτοῦ λευκὸν ὡσεὶ χιών.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 4] Ἀπὸ δὲ τοῦ φόβου αὐτοῦ ἐσείσθησαν οἱ τηροῦντες καὶ ἐγένοντο ὡσεὶ νεκροί.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 5] Ἀποκριθεὶς δὲ ὁ ἄγγελος εἶπε ταῖς γυναιξί, Μὴ φοβεῖσθε ὑμεῖς· οἶδα γὰρ ὅτι Ἰησοῦν τὸν ἐσταυρωμένον ζητεῖτε.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 6] Οὐκ ἔστιν ὧδε· ἠγέρθη γάρ, καθὼς εἶπε. Δεῦτε, ἴδετε τὸν τόπον ὅπου ἔκειτο ὁ Κύριος.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 7] Καὶ ταχὺ πορευθεῖσαι εἴπατε τοῖς μαθηταῖς αὐτοῦ ὅτι Ἠγέρθη ἀπὸ τῶν νεκρῶν· καὶ ἰδού, προάγει ὑμᾶς εἰς τὴν Γαλιλαίαν· ἐκεῖ αὐτὸν ὄψεσθε· ἰδού, εἶπον ὑμῖν.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 8] Καὶ ἐξελθοῦσαι ταχὺ ἀπὸ τοῦ μνημείου μετὰ φόβου καὶ χαρᾶς μεγάλης, ἔδραμον ἀπαγγεῖλαι τοῖς μαθηταῖς αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 9] Ὡς δὲ ἐπορεύοντο ἀπαγγεῖλαι τοῖς μαθηταῖς αὐτοῦ, καὶ ἰδού, ὁ Ἰησοῦς ἀπήντησεν αὐταῖς, λέγων, Χαίρετε. Αἱ δὲ προσελθοῦσαι ἐκράτησαν αὐτοῦ τοὺς πόδας, καὶ προσεκύνησαν αὐτῷ.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 10] Τότε λέγει αὐταῖς ὁ Ἰησοῦς· Μὴ φοβεῖσθε· ὑπάγετε, ἀπαγγείλατε τοῖς ἀδελφοῖς μου ἵνα ἀπέλθωσιν εἰς τὴν Γαλιλαίαν, κἀκεῖ με ὄψονται.
[GRCGTR | EL | NT | Matthew | Chapter 28 | Verse 11] Πορευομένων δὲ αὐτῶν, ἰδού, τινὲς τῆς κουστωδίας ἐλθόντες εἰς τὴν πόλιν ἀπήγγειλαν τοῖς ἀρχιερεῦσιν ἅπαντα τὰ γενόμενα.
