[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 1] Καὶ ἐξελθὼν ὁ Ἰησοῦς ἐπορεύετο ἀπὸ τοῦ ἱεροῦ· καὶ προσῆλθον οἱ μαθηταὶ αὐτοῦ ἐπιδεῖξαι αὐτῷ τὰς οἰκοδομὰς τοῦ ἱεροῦ.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 2] Ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς, Οὐ βλέπετε πάντα ταῦτα; Ἀμὴν λέγω ὑμῖν, οὐ μὴ ἀφεθῇ ὧδε λίθος ἐπὶ λίθον, ὃς οὐ μὴ καταλυθήσεται.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 3] Καθημένου δὲ αὐτοῦ ἐπὶ τοῦ ὄρους τῶν Ἐλαιῶν, προσῆλθον αὐτῷ οἱ μαθηταὶ κατ᾿ ἰδίαν, λέγοντες, Εἰπὲ ἡμῖν, πότε ταῦτα ἔσται; Καὶ τί τὸ σημεῖον τῆς σῆς παρουσίας, καὶ τῆς συντελείας τοῦ αἰῶνος;
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 4] Καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν αὐτοῖς, Βλέπετε μή τις ὑμᾶς πλανήσῃ.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 5] Πολλοὶ γὰρ ἐλεύσονται ἐπὶ τῷ ὀνόματί μου, λέγοντες, Ἐγώ εἰμι ὁ Χριστός· καὶ πολλοὺς πλανήσουσι.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 6] Μελλήσετε δὲ ἀκούειν πολέμους καὶ ἀκοὰς πολέμων· ὁρᾶτε, μὴ θροεῖσθε· δεῖ γὰρ πάντα γενέσθαι, ἀλλ᾿ οὔπω ἐστὶ τὸ τέλος.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 7] Ἐγερθήσεται γὰρ ἔθνος ἐπὶ ἔθνος, καὶ βασιλεία ἐπὶ βασιλείαν· καὶ ἔσονται λιμοὶ καὶ λοιμοὶ καὶ σεισμοὶ κατὰ τόπους.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 8] Πάντα δὲ ταῦτα ἀρχὴ ὠδίνων.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 9] Τότε παραδώσουσιν ὑμᾶς εἰς θλίψιν, καὶ ἀποκτενοῦσιν ὑμᾶς. Καὶ ἔσεσθε μισούμενοι ὑπὸ πάντων + 24:9 τῶν ¦ — ELZ τῶν ἐθνῶν διὰ τὸ ὄνομά μου.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 10] Καὶ τότε σκανδαλισθήσονται πολλοί, καὶ ἀλλήλους παραδώσουσι, καὶ μισήσουσιν ἀλλήλους.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 11] Καὶ πολλοὶ ψευδοπροφῆται ἐγερθήσονται, καὶ πλανήσουσι πολλούς.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 12] Καὶ διὰ τὸ πληθυνθῆναι τὴν ἀνομίαν, ψυγήσεται ἡ ἀγάπη τῶν πολλῶν·
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 13] ὁ δὲ ὑπομείνας εἰς τέλος, οὗτος σωθήσεται.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 14] Καὶ κηρυχθήσεται τοῦτο τὸ εὐαγγέλιον τῆς βασιλείας ἐν ὅλῃ τῇ οἰκουμένῃ εἰς μαρτύριον πᾶσι τοῖς ἔθνεσι· καὶ τότε ἥξει τὸ τέλος.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 15] Ὅταν οὖν ἴδητε τὸ βδέλυγμα τῆς ἐρημώσεως, τὸ ῥηθὲν διὰ Δανιὴλ τοῦ προφήτου, + 24:15 ἑστὼς ¦ ἑστὸς ST ἑστὼς ἐν τόπῳ ἁγίῳ — ὁ ἀναγινώσκων νοείτω —
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 16] τότε οἱ ἐν τῇ Ἰουδαίᾳ φευγέτωσαν ἐπὶ τὰ ὄρη·
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 17] ὁ ἐπὶ τοῦ δώματος μὴ καταβαινέτω ἆραί τι ἐκ τῆς οἰκίας αὐτοῦ·
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 18] καὶ ὁ ἐν τῷ ἀγρῷ μὴ ἐπιστρεψάτω ὀπίσω ἆραι τὰ ἱμάτια αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 19] Οὐαὶ δὲ ταῖς ἐν γαστρὶ ἐχούσαις καὶ ταῖς θηλαζούσαις ἐν ἐκείναις ταῖς ἡμέραις.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 20] Προσεύχεσθε δὲ ἵνα μὴ γένηται ἡ φυγὴ ὑμῶν χειμῶνος, μηδὲ ἐν σαββάτῳ.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 21] Ἔσται γὰρ τότε θλίψις μεγάλη, οἵα οὐ γέγονεν ἀπ᾿ ἀρχῆς κόσμου ἕως τοῦ νῦν, οὐδ᾿ οὐ μὴ γένηται.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 22] Καὶ εἰ μὴ ἐκολοβώθησαν αἱ ἡμέραι ἐκεῖναι, οὐκ ἂν ἐσώθη πᾶσα σάρξ· διὰ δὲ τοὺς ἐκλεκτοὺς κολοβωθήσονται αἱ ἡμέραι ἐκεῖναι.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 23] Τότε ἐάν τις ὑμῖν εἴπῃ, Ἰδού, ὧδε ὁ Χριστός, ἢ ὧδε, μὴ πιστεύσητε.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 24] Ἐγερθήσονται γὰρ ψευδόχριστοι καὶ ψευδοπροφῆται, καὶ δώσουσι σημεῖα μεγάλα καὶ τέρατα, ὥστε πλανῆσαι, εἰ δυνατόν, καὶ τοὺς ἐκλεκτούς.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 25] Ἰδού, προείρηκα ὑμῖν.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 26] Ἐὰν οὖν εἴπωσιν ὑμῖν, Ἰδού, ἐν τῇ ἐρήμῳ ἐστί, μὴ ἐξέλθητε· Ἰδού, ἐν τοῖς ταμείοις, μὴ πιστεύσητε.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 27] Ὥσπερ γὰρ ἡ ἀστραπὴ ἐξέρχεται ἀπὸ ἀνατολῶν καὶ φαίνεται ἕως δυσμῶν, οὕτως ἔσται καὶ ἡ παρουσία τοῦ υἱοῦ τοῦ ἀνθρώπου.
[GRCGTR | EL | NT | Matthew | Chapter 24 | Verse 28] Ὅπου γὰρ ἐὰν ᾖ τὸ πτῶμα, ἐκεῖ συναχθήσονται οἱ ἀετοί.
