[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 1] Ἰδὼν δὲ τοὺς ὄχλους, ἀνέβη εἰς τὸ ὄρος· καὶ καθίσαντος αὐτοῦ, προσῆλθον αὐτῷ οἱ μαθηταὶ αὐτοῦ·
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 2] καὶ ἀνοίξας τὸ στόμα αὐτοῦ, ἐδίδασκεν αὐτούς, λέγων,
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 3] Μακάριοι οἱ πτωχοὶ τῷ πνεύματι· ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 4] Μακάριοι οἱ πενθοῦντες· ὅτι αὐτοὶ παρακληθήσονται.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 5] Μακάριοι οἱ πρᾳεῖς· ὅτι αὐτοὶ κληρονομήσουσι τὴν γῆν.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 6] Μακάριοι οἱ πεινῶντες καὶ διψῶντες τὴν δικαιοσύνην· ὅτι αὐτοὶ χορτασθήσονται.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 7] Μακάριοι οἱ ἐλεήμονες· ὅτι αὐτοὶ ἐλεηθήσονται.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 8] Μακάριοι οἱ καθαροὶ τῇ καρδίᾳ· ὅτι αὐτοὶ τὸν Θεὸν ὄψονται.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 9] Μακάριοι οἱ εἰρηνοποιοί· ὅτι αὐτοὶ υἱοὶ Θεοῦ κληθήσονται.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 10] Μακάριοι οἱ δεδιωγμένοι ἕνεκεν δικαιοσύνης· ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 11] Μακάριοί ἐστε, ὅταν ὀνειδίσωσιν ὑμᾶς καὶ διώξωσι, καὶ εἴπωσι πᾶν πονηρὸν ῥῆμα καθ᾿ ὑμῶν ψευδόμενοι, ἕνεκεν ἐμοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 12] Χαίρετε καὶ ἀγαλλιᾶσθε, ὅτι ὁ μισθὸς ὑμῶν πολὺς ἐν τοῖς οὐρανοῖς· οὕτω γὰρ ἐδίωξαν τοὺς προφήτας τοὺς πρὸ ὑμῶν.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 13] Ὑμεῖς ἐστε τὸ ἅλας τῆς γῆς· ἐὰν δὲ τὸ ἅλας μωρανθῇ, ἐν τίνι ἁλισθήσεται; Εἰς οὐδὲν ἰσχύει ἔτι, εἰ μὴ βληθῆναι ἔξω καὶ καταπατεῖσθαι ὑπὸ τῶν ἀνθρώπων.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 14] Ὑμεῖς ἐστε τὸ φῶς τοῦ κόσμου· οὐ δύναται πόλις κρυβῆναι ἐπάνω ὄρους κειμένη·
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 15] οὐδὲ καίουσι λύχνον καὶ τιθέασιν αὐτὸν ὑπὸ τὸν μόδιον, ἀλλ᾿ ἐπὶ τὴν λυχνίαν, καὶ λάμπει πᾶσι τοῖς ἐν τῇ οἰκίᾳ.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 16] Οὕτω λαμψάτω τὸ φῶς ὑμῶν ἔμπροσθεν τῶν ἀνθρώπων, ὅπως ἴδωσιν ὑμῶν τὰ καλὰ ἔργα, καὶ δοξάσωσι τὸν πατέρα ὑμῶν τὸν ἐν τοῖς οὐρανοῖς.
[GRCGTR | EL | NT | Matthew | Chapter 5 | Verse 17] Μὴ νομίσητε ὅτι ἦλθον καταλῦσαι τὸν νόμον ἢ τοὺς προφήτας· οὐκ ἦλθον καταλῦσαι ἀλλὰ πληρῶσαι.
