[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 1] Ἐν ἐκείνῳ τῷ καιρῷ ἐπορεύθη ὁ Ἰησοῦς τοῖς σάββασι διὰ τῶν σπορίμων· οἱ δὲ μαθηταὶ αὐτοῦ ἐπείνασαν, καὶ ἤρξαντο τίλλειν στάχυας καὶ ἐσθίειν.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 2] Οἱ δὲ Φαρισαῖοι ἰδόντες εἶπον αὐτῷ, Ἰδού, οἱ μαθηταί σου ποιοῦσιν ὃ οὐκ ἔξεστι ποιεῖν ἐν σαββάτῳ.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 3] Ὁ δὲ εἶπεν αὐτοῖς, Οὐκ ἀνέγνωτε τί ἐποίησε Δαβίδ, ὅτε ἐπείνασεν αὐτὸς καὶ οἱ μετ᾿ αὐτοῦ·
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 4] πῶς εἰσῆλθεν εἰς τὸν οἶκον τοῦ Θεοῦ, καὶ τοὺς ἄρτους τῆς προθέσεως ἔφαγεν, οὓς οὐκ ἐξὸν ἦν αὐτῷ φαγεῖν, οὐδὲ τοῖς μετ᾿ αὐτοῦ, εἰ μὴ τοῖς ἱερεῦσι μόνοις;
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 5] Ἢ οὐκ ἀνέγνωτε ἐν τῷ νόμῳ, ὅτι τοῖς σάββασιν οἱ ἱερεῖς ἐν τῷ ἱερῷ τὸ σάββατον βεβηλοῦσι, καὶ ἀναίτιοί εἰσι;
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 6] Λέγω δὲ ὑμῖν ὅτι τοῦ ἱεροῦ μείζων ἐστιν ὧδε.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 7] Εἰ δὲ ἐγνώκειτε τί ἐστιν, Ἔλεον θέλω καὶ οὐ θυσίαν, οὐκ ἂν κατεδικάσατε τοὺς ἀναιτίους.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 8] Κύριος γάρ ἐστι καὶ τοῦ σαββάτου ὁ υἱὸς τοῦ ἀνθρώπου.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 9] Καὶ μεταβὰς ἐκεῖθεν ἦλθεν εἰς τὴν συναγωγὴν αὐτῶν.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 10] Καὶ ἰδού, ἄνθρωπος ἦν τὴν χεῖρα ἔχων ξηράν· καὶ ἐπηρώτησαν αὐτόν, λέγοντες, Εἰ ἔξεστι τοῖς σάββασι θεραπεύειν; ἵνα κατηγορήσωσιν αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 11] Ὁ δὲ εἶπεν αὐτοῖς, Τίς ἔσται ἐξ ὑμῶν ἄνθρωπος, ὃς ἕξει πρόβατον ἕν, καὶ ἐὰν ἐμπέσῃ τοῦτο τοῖς σάββασιν εἰς βόθυνον, οὐχὶ κρατήσει αὐτὸ καὶ ἐγερεῖ;
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 12] Πόσῳ οὖν διαφέρει ἄνθρωπος προβάτου. Ὥστε ἔξεστι τοῖς σάββασι καλῶς ποιεῖν.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 13] Τότε λέγει τῷ ἀνθρώπῳ, Ἔκτεινον τὴν χεῖρά σου. Καὶ ἐξέτεινε, καὶ ἀποκατεστάθη ὑγιὴς ὡς ἡ ἄλλη.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 14] Οἱ δὲ Φαρισαῖοι συμβούλιον ἔλαβον κατ᾿ αὐτοῦ ἐξελθόντες, ὅπως αὐτὸν ἀπολέσωσιν.
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 15] Ὁ δὲ Ἰησοῦς γνοὺς ἀνεχώρησεν ἐκεῖθεν· καὶ ἠκολούθησαν αὐτῷ ὄχλοι πολλοί, καὶ ἐθεράπευσεν αὐτοὺς πάντας,
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 16] καὶ ἐπετίμησεν αὐτοῖς, ἵνα μὴ φανερὸν αὐτὸν ποιήσωσιν·
[GRCGTR | EL | NT | Matthew | Chapter 12 | Verse 17] ὅπως πληρωθῇ τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου, λέγοντος,
