[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 1] Ἐν δὲ τῇ ἡμέρᾳ ἐκείνῃ ἐξελθὼν ὁ Ἰησοῦς ἀπὸ τῆς οἰκίας ἐκάθητο παρὰ τὴν θάλασσαν.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 2] Καὶ συνήχθησαν πρὸς αὐτὸν ὄχλοι πολλοί, ὥστε αὐτὸν εἰς τὸ πλοῖον ἐμβάντα καθῆσθαι· καὶ πᾶς ὁ ὄχλος ἐπὶ τὸν αἰγιαλὸν εἱστήκει.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 3] Καὶ ἐλάλησεν αὐτοῖς πολλὰ ἐν παραβολαῖς, λέγων, Ἰδού, ἐξῆλθεν ὁ σπείρων τοῦ σπείρειν.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 4] Καὶ ἐν τῷ σπείρειν αὐτόν, ἃ μὲν ἔπεσε παρὰ τὴν ὁδόν, καὶ ἦλθε τὰ πετεινὰ καὶ κατέφαγεν αὐτά.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 5] Ἄλλα δὲ ἔπεσεν ἐπὶ τὰ πετρώδη, ὅπου οὐκ εἶχε γῆν πολλήν· καὶ εὐθέως ἐξανέτειλε, διὰ τὸ μὴ ἔχειν βάθος γῆς·
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 6] ἡλίου δὲ ἀνατείλαντος ἐκαυματίσθη, καὶ διὰ τὸ μὴ ἔχειν ῥίζαν ἐξηράνθη.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 7] Ἄλλα δὲ ἔπεσεν ἐπὶ τὰς ἀκάνθας, καὶ ἀνέβησαν αἱ ἄκανθαι καὶ ἀπέπνιξαν αὐτά.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 8] Ἄλλα δὲ ἔπεσεν ἐπὶ τὴν γῆν τὴν καλήν· καὶ ἐδίδου καρπόν, ὃ μὲν ἑκατόν, ὃ δὲ ἑξήκοντα, ὃ δὲ τριάκοντα.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 9] Ὁ ἔχων ὦτα ἀκούειν ἀκουέτω.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 10] Καὶ προσελθόντες οἱ μαθηταὶ εἶπον αὐτῷ, Διὰ τί ἐν παραβολαῖς λαλεῖς αὐτοῖς;
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 11] Ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς ὅτι Ὑμῖν δέδοται γνῶναι τὰ μυστήρια τῆς βασιλείας τῶν οὐρανῶν, ἐκείνοις δὲ οὐ δέδοται.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 12] Ὅστις γὰρ ἔχει, δοθήσεται αὐτῷ καὶ περισσευθήσεται· ὅστις δὲ οὐκ ἔχει, καὶ ὃ ἔχει ἀρθήσεται ἀπ᾿ αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 13] Διὰ τοῦτο ἐν παραβολαῖς αὐτοῖς λαλῶ, ὅτι βλέποντες οὐ βλέπουσι, καὶ ἀκούοντες οὐκ ἀκούουσιν, οὐδὲ συνιοῦσι.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 14] Καὶ ἀναπληροῦται ἐπ᾿ αὐτοῖς ἡ προφητεία Ἠσαΐου, ἡ λέγουσα, Ἀκοῇ ἀκούσετε, καὶ οὐ μὴ συνῆτε· καὶ βλέποντες βλέψετε, καὶ οὐ μὴ ἴδητε.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 15] Ἐπαχύνθη γὰρ ἡ καρδία τοῦ λαοῦ τούτου, καὶ τοῖς ὠσὶ βαρέως ἤκουσαν, καὶ τοὺς ὀφθαλμοὺς αὐτῶν ἐκάμμυσαν· μήποτε ἴδωσι τοῖς ὀφθαλμοῖς, καὶ τοῖς ὠσὶν ἀκούσωσι, καὶ τῇ καρδίᾳ συνῶσι, καὶ ἐπιστρέψωσι, καὶ ἰάσωμαι αὐτούς.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 16] Ὑμῶν δὲ μακάριοι οἱ ὀφθαλμοί, ὅτι βλέπουσι· καὶ τὰ ὦτα ὑμῶν, ὅτι ἀκούει.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 17] Ἀμὴν γὰρ λέγω ὑμῖν ὅτι πολλοὶ προφῆται καὶ δίκαιοι ἐπεθύμησαν ἰδεῖν ἃ βλέπετε, καὶ οὐκ εἶδον· καὶ ἀκοῦσαι ἃ ἀκούετε, καὶ οὐκ ἤκουσαν.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 18] Ὑμεῖς οὖν ἀκούσατε τὴν παραβολὴν τοῦ σπείροντος.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 19] Παντὸς ἀκούοντος τὸν λόγον τῆς βασιλείας καὶ μὴ συνιέντος, ἔρχεται ὁ πονηρός, καὶ ἁρπάζει τὸ ἐσπαρμένον ἐν τῇ καρδίᾳ αὐτοῦ· οὗτός ἐστιν ὁ παρὰ τὴν ὁδὸν σπαρείς.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 20] Ὁ δὲ ἐπὶ τὰ πετρώδη σπαρείς, οὗτός ἐστιν ὁ τὸν λόγον ἀκούων, καὶ εὐθὺς μετὰ χαρᾶς λαμβάνων αὐτόν·
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 21] οὐκ ἔχει δὲ ῥίζαν ἐν ἑαυτῷ, ἀλλὰ πρόσκαιρός ἐστι· γενομένης δὲ θλίψεως ἢ διωγμοῦ διὰ τὸν λόγον, εὐθὺς σκανδαλίζεται.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 22] Ὁ δὲ εἰς τὰς ἀκάνθας σπαρείς, οὗτός ἐστιν ὁ τὸν λόγον ἀκούων, καὶ ἡ μέριμνα τοῦ αἰῶνος τούτου καὶ ἡ ἀπάτη τοῦ πλούτου συμπνίγει τὸν λόγον, καὶ ἄκαρπος γίνεται.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 23] Ὁ δὲ ἐπὶ τὴν γῆν τὴν καλὴν σπαρείς, οὗτός ἐστιν ὁ τὸν λόγον ἀκούων καὶ συνιών· ὃς δὴ καρποφορεῖ, καὶ ποιεῖ ὁ μὲν ἑκατόν, ὁ δὲ ἑξήκοντα, ὁ δὲ τριάκοντα.
[GRCGTR | EL | NT | Matthew | Chapter 13 | Verse 24] Ἄλλην παραβολὴν παρέθηκεν αὐτοῖς, λέγων, Ὡμοιώθη ἡ βασιλεία τῶν οὐρανῶν ἀνθρώπῳ + 13:24 σπείροντι ¦ σπείραντι SCR σπείροντι καλὸν σπέρμα ἐν τῷ ἀγρῷ αὐτοῦ·
