[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 1] Καὶ ἐμβὰς εἰς τὸ πλοῖον διεπέρασε καὶ ἦλθεν εἰς τὴν ἰδίαν πόλιν.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 2] Καὶ ἰδού, προσέφερον αὐτῷ παραλυτικὸν ἐπὶ κλίνης βεβλημένον· καὶ ἰδὼν ὁ Ἰησοῦς τὴν πίστιν αὐτῶν εἶπε τῷ παραλυτικῷ, Θάρσει, τέκνον· ἀφέωνταί σοι αἱ ἁμαρτίαι σου.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 3] Καὶ ἰδού, τινὲς τῶν γραμματέων εἶπον ἐν ἑαυτοῖς, Οὗτος βλασφημεῖ.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 4] Καὶ ἰδὼν ὁ Ἰησοῦς τὰς ἐνθυμήσεις αὐτῶν εἶπεν, Ἵνα τί ὑμεῖς ἐνθυμεῖσθε πονηρὰ ἐν ταῖς καρδίαις ὑμῶν;
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 5] Τί γάρ ἐστιν εὐκοπώτερον, εἰπεῖν, Ἀφέωνταί σοι αἱ ἁμαρτίαι· ἢ εἰπεῖν, Ἔγειραι καὶ περιπάτει;
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 6] Ἵνα δὲ εἰδῆτε, ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας — τότε λέγει τῷ παραλυτικῷ — Ἐγερθεὶς ἆρόν σου τὴν κλίνην, καὶ ὕπαγε εἰς τὸν οἶκόν σου.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 7] Καὶ ἐγερθεὶς ἀπῆλθεν εἰς τὸν οἶκον αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 8] Ἰδόντες δὲ οἱ ὄχλοι ἐθαύμασαν, καὶ ἐδόξασαν τὸν Θεόν, τὸν δόντα ἐξουσίαν τοιαύτην τοῖς ἀνθρώποις.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 9] Καὶ παράγων ὁ Ἰησοῦς ἐκεῖθεν εἶδεν ἄνθρωπον καθήμενον ἐπὶ τὸ τελώνιον, Ματθαῖον λεγόμενον, καὶ λέγει αὐτῷ, Ἀκολούθει μοι. Καὶ ἀναστὰς ἠκολούθησεν αὐτῷ.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 10] Καὶ ἐγένετο αὐτοῦ ἀνακειμένου ἐν τῇ οἰκίᾳ, καὶ ἰδού, πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ ἐλθόντες συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 11] Καὶ ἰδόντες οἱ Φαρισαῖοι εἶπον τοῖς μαθηταῖς αὐτοῦ, Διὰ τί μετὰ τῶν τελωνῶν καὶ ἁμαρτωλῶν ἐσθίει ὁ διδάσκαλος ὑμῶν;
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 12] Ὁ δὲ Ἰησοῦς ἀκούσας εἶπεν αὐτοῖς, Οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες ἰατροῦ, ἀλλ᾿ οἱ κακῶς ἔχοντες.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 13] Πορευθέντες δὲ μάθετε τί ἐστιν, Ἔλεον θέλω, καὶ οὐ θυσίαν· οὐ γὰρ ἦλθον καλέσαι δικαίους, ἀλλ᾿ ἁμαρτωλοὺς εἰς μετάνοιαν.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 14] Τότε προσέρχονται αὐτῷ οἱ μαθηταὶ Ἰωάννου, λέγοντες, Διὰ τί ἡμεῖς καὶ οἱ Φαρισαῖοι νηστεύομεν πολλά, οἱ δὲ μαθηταί σου οὐ νηστεύουσι;
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 15] Καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς, Μὴ δύνανται οἱ υἱοὶ τοῦ νυμφῶνος πενθεῖν, ἐφ᾿ ὅσον μετ᾿ αὐτῶν ἐστιν ὁ νυμφίος; Ἐλεύσονται δὲ ἡμέραι ὅταν ἀπαρθῇ ἀπ᾿ αὐτῶν ὁ νυμφίος, καὶ τότε νηστεύσουσιν.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 16] Οὐδεὶς δὲ ἐπιβάλλει ἐπίβλημα ῥάκους ἀγνάφου ἐπὶ ἱματίῳ παλαιῷ· αἴρει γὰρ τὸ πλήρωμα αὐτοῦ ἀπὸ τοῦ ἱματίου, καὶ χεῖρον σχίσμα γίνεται.
[GRCGTR | EL | NT | Matthew | Chapter 9 | Verse 17] Οὐδὲ βάλλουσιν οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μήγε, ῥήγνυνται οἱ ἀσκοί, καὶ ὁ οἶνος ἐκχεῖται, καὶ οἱ ἀσκοὶ ἀπολοῦνται· ἀλλὰ βάλλουσιν οἶνον νέον εἰς ἀσκοὺς καινούς, καὶ ἀμφότερα συντηροῦνται.
