[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 1] Ὁμοία γάρ ἐστιν ἡ βασιλεία τῶν οὐρανῶν ἀνθρώπῳ οἰκοδεσπότῃ, ὅστις ἐξῆλθεν ἅμα πρωῒ μισθώσασθαι ἐργάτας εἰς τὸν ἀμπελῶνα αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 2] Συμφωνήσας δὲ μετὰ τῶν ἐργατῶν ἐκ δηναρίου τὴν ἡμέραν, ἀπέστειλεν αὐτοὺς εἰς τὸν ἀμπελῶνα αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 3] Καὶ ἐξελθὼν περὶ τὴν τρίτην ὥραν, εἶδεν ἄλλους ἑστῶτας ἐν τῇ ἀγορᾷ ἀργούς·
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 4] κἀκείνοις εἶπεν, Ὑπάγετε καὶ ὑμεῖς εἰς τὸν ἀμπελῶνα, καὶ ὃ ἐὰν ᾖ δίκαιον δώσω ὑμῖν.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 5] Οἱ δὲ ἀπῆλθον. Πάλιν ἐξελθὼν περὶ ἕκτην καὶ ἐννάτην ὥραν, ἐποίησεν ὡσαύτως.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 6] Περὶ δὲ τὴν ἑνδεκάτην ὥραν ἐξελθών, εὗρεν ἄλλους ἑστῶτας ἀργούς, καὶ λέγει αὐτοῖς, Τί ὧδε ἑστήκατε ὅλην τὴν ἡμέραν ἀργοί;
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 7] Λέγουσιν αὐτῷ, Ὅτι οὐδεὶς ἡμᾶς ἐμισθώσατο. Λέγει αὐτοῖς, Ὑπάγετε καὶ ὑμεῖς εἰς τὸν ἀμπελῶνα, καὶ ὃ ἐὰν ᾖ δίκαιον λήψεσθε.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 8] Ὀψίας δὲ γενομένης λέγει ὁ κύριος τοῦ ἀμπελῶνος τῷ ἐπιτρόπῳ αὐτοῦ, Κάλεσον τοὺς ἐργάτας, καὶ ἀπόδος αὐτοῖς τὸν μισθόν, ἀρξάμενος ἀπὸ τῶν ἐσχάτων ἕως τῶν πρώτων.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 9] Καὶ ἐλθόντες οἱ περὶ τὴν ἑνδεκάτην ὥραν ἔλαβον ἀνὰ δηνάριον.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 10] Ἐλθόντες δὲ οἱ πρῶτοι ἐνόμισαν ὅτι πλείονα λήψονται· καὶ ἔλαβον καὶ αὐτοὶ ἀνὰ δηνάριον.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 11] Λαβόντες δὲ ἐγόγγυζον κατὰ τοῦ οἰκοδεσπότου,
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 12] λέγοντες ὅτι Οὗτοι οἱ ἔσχατοι μίαν ὥραν ἐποίησαν, καὶ ἴσους ἡμῖν αὐτοὺς ἐποίησας, τοῖς βαστάσασι τὸ βάρος τῆς ἡμέρας καὶ τὸν καύσωνα.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 13] Ὁ δὲ ἀποκριθεὶς εἶπεν ἑνὶ αὐτῶν, Ἑταῖρε, οὐκ ἀδικῶ σε· οὐχὶ δηναρίου συνεφώνησάς μοι;
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 14] Ἆρον τὸ σὸν καὶ ὕπαγε· θέλω δὲ τούτῳ τῷ ἐσχάτῳ δοῦναι ὡς καὶ σοί.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 15] Ἢ οὐκ ἔξεστί μοι ποιῆσαι ὃ θέλω ἐν τοῖς ἐμοῖς; + 20:15 Εἰ ¦ Ἢ ELZ Εἰ ὁ ὀφθαλμός σου πονηρός ἐστιν, ὅτι ἐγὼ ἀγαθός εἰμι;
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 16] Οὕτως ἔσονται οἱ ἔσχατοι πρῶτοι, καὶ οἱ πρῶτοι ἔσχατοι· πολλοὶ γάρ εἰσι κλητοί, ὀλίγοι δὲ ἐκλεκτοί.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 17] Καὶ ἀναβαίνων ὁ Ἰησοῦς εἰς Ἱεροσόλυμα παρέλαβε τοὺς δώδεκα μαθητὰς κατ᾿ ἰδίαν ἐν τῇ ὁδῷ, καὶ εἶπεν αὐτοῖς,
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 18] Ἰδού, ἀναβαίνομεν εἰς Ἱεροσόλυμα, καὶ ὁ υἱὸς τοῦ ἀνθρώπου παραδοθήσεται τοῖς ἀρχιερεῦσι καὶ γραμματεῦσι, καὶ κατακρινοῦσιν αὐτὸν θανάτῳ,
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 19] καὶ παραδώσουσιν αὐτὸν τοῖς ἔθνεσιν εἰς τὸ ἐμπαῖξαι καὶ μαστιγῶσαι καὶ σταυρῶσαι· καὶ τῇ τρίτῃ ἡμέρᾳ ἀναστήσεται.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 20] Τότε προσῆλθεν αὐτῷ ἡ μήτηρ τῶν υἱῶν Ζεβεδαίου μετὰ τῶν υἱῶν αὐτῆς, προσκυνοῦσα καὶ αἰτοῦσά τι παρ᾿ αὐτοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 21] Ὁ δὲ εἶπεν αὐτῇ, Τί θέλεις; Λέγει αὐτῷ, Εἰπὲ ἵνα καθίσωσιν οὗτοι οἱ δύο υἱοί μου, εἷς ἐκ δεξιῶν σου, καὶ εἷς ἐξ εὐωνύμων, ἐν τῇ βασιλείᾳ σου.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 22] Ἀποκριθεὶς + 20:22 δὲ ὁ ¦ ὁ δὲ ST δὲ ὁ Ἰησοῦς εἶπεν, Οὐκ οἴδατε τί αἰτεῖσθε. Δύνασθε πιεῖν τὸ ποτήριον ὃ ἐγὼ μέλλω πίνειν, καὶ τὸ βάπτισμα ὃ ἐγὼ βαπτίζομαι βαπτισθῆναι; Λέγουσιν αὐτῷ, Δυνάμεθα.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 23] Καὶ λέγει αὐτοῖς, Τὸ μὲν ποτήριόν μου πίεσθε, καὶ τὸ βάπτισμα ὃ ἐγὼ βαπτίζομαι βαπτισθήσεσθε· τὸ δὲ καθίσαι ἐκ δεξιῶν μου καὶ ἐξ εὐωνύμων μου οὐκ ἔστιν ἐμὸν δοῦναι, ἀλλ᾿ οἷς ἡτοίμασται ὑπὸ τοῦ πατρός μου.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 24] Καὶ ἀκούσαντες οἱ δέκα ἠγανάκτησαν περὶ τῶν δύο ἀδελφῶν.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 25] Ὁ δὲ Ἰησοῦς προσκαλεσάμενος αὐτοὺς εἶπεν, Οἴδατε ὅτι οἱ ἄρχοντες τῶν ἐθνῶν κατακυριεύουσιν αὐτῶν, καὶ οἱ μεγάλοι κατεξουσιάζουσιν αὐτῶν.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 26] Οὐχ οὕτω δὲ ἔσται ἐν ὑμῖν· ἀλλ᾿ ὃς ἐὰν θέλῃ ἐν ὑμῖν μέγας γενέσθαι ἔστω ὑμῶν διάκονος·
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 27] καὶ ὃς ἐὰν θέλῃ ἐν ὑμῖν εἶναι πρῶτος, ἔστω ὑμῶν δοῦλος·
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 28] ὥσπερ ὁ υἱὸς τοῦ ἀνθρώπου οὐκ ἦλθε διακονηθῆναι, ἀλλὰ διακονῆσαι, καὶ δοῦναι τὴν ψυχὴν αὐτοῦ λύτρον ἀντὶ πολλῶν.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 29] Καὶ ἐκπορευομένων αὐτῶν ἀπὸ Ἰεριχώ, ἠκολούθησεν αὐτῷ ὄχλος πολύς.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 30] Καὶ ἰδού, δύο τυφλοὶ καθήμενοι παρὰ τὴν ὁδόν, ἀκούσαντες ὅτι Ἰησοῦς παράγει, ἔκραξαν, λέγοντες, Ἐλέησον ἡμᾶς, Κύριε, υἱὸς Δαβίδ.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 31] Ὁ δὲ ὄχλος ἐπετίμησεν αὐτοῖς ἵνα σιωπήσωσιν. Οἱ δὲ μεῖζον ἔκραζον, λέγοντες, Ἐλέησον ἡμᾶς, Κύριε, υἱὸς Δαβίδ.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 32] Καὶ στὰς ὁ Ἰησοῦς ἐφώνησεν αὐτούς, καὶ εἶπε, Τί θέλετε ποιήσω ὑμῖν;
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 33] Λέγουσιν αὐτῷ, Κύριε, ἵνα ἀνοιχθῶσιν ἡμῶν οἱ ὀφθαλμοί.
[GRCGTR | EL | NT | Matthew | Chapter 20 | Verse 34] Σπλαγχνισθεὶς δὲ ὁ Ἰησοῦς ἥψατο τῶν ὀφθαλμῶν αὐτῶν· καὶ εὐθέως ἀνέβλεψαν αὐτῶν οἱ ὀφθαλμοί, καὶ ἠκολούθησαν αὐτῷ.
