[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 1] Τότε προσέρχονται τῷ Ἰησοῦ οἱ ἀπὸ Ἱεροσολύμων γραμματεῖς καὶ Φαρισαῖοι, λέγοντες,
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 2] Διὰ τί οἱ μαθηταί σου παραβαίνουσι τὴν παράδοσιν τῶν πρεσβυτέρων; Οὐ γὰρ νίπτονται τὰς χεῖρας αὐτῶν, ὅταν ἄρτον ἐσθίωσιν.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 3] Ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς, Διὰ τί καὶ ὑμεῖς παραβαίνετε τὴν ἐντολὴν τοῦ Θεοῦ διὰ τὴν παράδοσιν ὑμῶν;
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 4] Ὁ γὰρ Θεὸς ἐνετείλατο, λέγων, Τίμα τὸν πατέρα σοῦ καὶ τὴν μητέρα· καί, Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω·
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 5] ὑμεῖς δὲ λέγετε, Ὃς ἂν εἴπῃ τῷ πατρὶ ἢ τῇ μητρί, Δῶρον, ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς, καὶ οὐ μὴ τιμήσῃ τὸν πατέρα αὐτοῦ ἢ τὴν μητέρα αὐτοῦ·
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 6] καὶ ἠκυρώσατε τὴν ἐντολὴν τοῦ Θεοῦ διὰ τὴν παράδοσιν ὑμῶν·
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 7] ὑποκριταί, καλῶς προεφήτευσε περὶ ὑμῶν Ἠσαΐας, λέγων,
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 8] Ἐγγίζει μοι ὁ λαὸς οὗτος τῷ στόματι αὐτῶν, καὶ τοῖς χείλεσί με τιμᾷ, ἡ δὲ καρδία αὐτῶν πόρρω ἀπέχει ἀπ᾿ ἐμοῦ.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 9] Μάτην δὲ σέβονταί με, διδάσκοντες διδασκαλίας ἐντάλματα ἀνθρώπων.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 10] Καὶ προσκαλεσάμενος τὸν ὄχλον, εἶπεν αὐτοῖς, Ἀκούετε καὶ συνίετε.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 11] Οὐ τὸ εἰσερχόμενον εἰς τὸ στόμα κοινοῖ τὸν ἄνθρωπον· ἀλλὰ τὸ ἐκπορευόμενον ἐκ τοῦ στόματος, τοῦτο κοινοῖ τὸν ἄνθρωπον.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 12] Τότε προσελθόντες οἱ μαθηταὶ αὐτοῦ εἶπον αὐτῷ, Οἶδας ὅτι οἱ Φαρισαῖοι ἀκούσαντες τὸν λόγον ἐσκανδαλίσθησαν;
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 13] Ὁ δὲ ἀποκριθεὶς εἶπε, Πᾶσα φυτεία, ἣν οὐκ ἐφύτευσεν ὁ πατήρ μου ὁ οὐράνιος, ἐκριζωθήσεται.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 14] Ἄφετε αὐτούς· ὁδηγοί εἰσι τυφλοὶ τυφλῶν· τυφλὸς δὲ τυφλὸν ἐὰν ὁδηγῇ, ἀμφότεροι εἰς βόθυνον πεσοῦνται.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 15] Ἀποκριθεὶς δὲ ὁ Πέτρος εἶπεν αὐτῷ, Φράσον ἡμῖν τὴν παραβολὴν ταύτην.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 16] Ὁ δὲ Ἰησοῦς εἶπεν, Ἀκμὴν καὶ ὑμεῖς ἀσύνετοί ἐστε;
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 17] Οὔπω νοεῖτε ὅτι πᾶν τὸ εἰσπορευόμενον εἰς τὸ στόμα εἰς τὴν κοιλίαν χωρεῖ, καὶ εἰς ἀφεδρῶνα ἐκβάλλεται;
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 18] Τὰ δὲ ἐκπορευόμενα ἐκ τοῦ στόματος ἐκ τῆς καρδίας ἐξέρχεται, κἀκεῖνα κοινοῖ τὸν ἄνθρωπον.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 19] Ἐκ γὰρ τῆς καρδίας ἐξέρχονται διαλογισμοὶ πονηροί, φόνοι, μοιχεῖαι, πορνεῖαι, κλοπαί, ψευδομαρτυρίαι, βλασφημίαι·
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 20] ταῦτά ἐστι τὰ κοινοῦντα τὸν ἄνθρωπον· τὸ δὲ ἀνίπτοις χερσὶ φαγεῖν οὐ κοινοῖ τὸν ἄνθρωπον.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 21] Καὶ ἐξελθὼν ἐκεῖθεν ὁ Ἰησοῦς ἀνεχώρησεν εἰς τὰ μέρη Τύρου καὶ Σιδῶνος.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 22] Καὶ ἰδού, γυνὴ Χαναναία ἀπὸ τῶν ὁρίων ἐκείνων ἐξελθοῦσα ἐκραύγασεν αὐτῷ, λέγουσα, Ἐλέησόν με, Κύριε, υἱὲ Δαβίδ· ἡ θυγάτηρ μου κακῶς δαιμονίζεται.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 23] Ὁ δὲ οὐκ ἀπεκρίθη αὐτῇ λόγον. Καὶ προσελθόντες οἱ μαθηταὶ αὐτοῦ ἠρώτων αὐτόν, λέγοντες, Ἀπόλυσον αὐτήν, ὅτι κράζει ὄπισθεν ἡμῶν.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 24] Ὁ δὲ ἀποκριθεὶς εἶπεν, Οὐκ ἀπεστάλην εἰ μὴ εἰς τὰ πρόβατα τὰ ἀπολωλότα οἴκου Ἰσραήλ.
[GRCGTR | EL | NT | Matthew | Chapter 15 | Verse 25] Ἡ δὲ ἐλθοῦσα προσεκύνηει αὐτῷ λέγουσα, Κύριε, βοήθει μοι.
