[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 1] Καὶ προσκαλεσάμενος τοὺς δώδεκα μαθητὰς αὐτοῦ, ἔδωκεν αὐτοῖς ἐξουσίαν πνευμάτων ἀκαθάρτων, ὥστε ἐκβάλλειν αὐτά, καὶ θεραπεύειν πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 2] Τῶν δὲ δώδεκα ἀποστόλων τὰ ὀνόματά ἐστι ταῦτα· πρῶτος Σίμων ὁ λεγόμενος Πέτρος, καὶ Ἀνδρέας ὁ ἀδελφὸς αὐτοῦ· Ἰάκωβος ὁ τοῦ Ζεβεδαίου, καὶ Ἰωάννης ὁ ἀδελφὸς αὐτοῦ·
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 3] Φίλιππος, καὶ Βαρθολομαῖος· Θωμᾶς, καὶ Ματθαῖος ὁ τελώνης· Ἰάκωβος ὁ τοῦ Ἀλφαίου, καὶ Λεββαῖος ὁ ἐπικληθεὶς Θαδδαῖος·
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 4] Σίμων ὁ Κανανίτης, καὶ Ἰούδας + 10:4 Ἰσκαριώτης ¦ ὁ Ἰσκαριώτης ELZ Ἰσκαριώτης ὁ καὶ παραδοὺς αὐτόν.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 5] Τούτους τοὺς δώδεκα ἀπέστειλεν ὁ Ἰησοῦς, παραγγείλας αὐτοῖς, λέγων, Εἰς ὁδὸν ἐθνῶν μὴ ἀπέλθητε, καὶ εἰς πόλιν Σαμαρειτῶν μὴ εἰσέλθητε·
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 6] πορεύεσθε δὲ μᾶλλον πρὸς τὰ πρόβατα τὰ ἀπολωλότα οἴκου Ἰσραήλ.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 7] Πορευόμενοι δὲ κηρύσσετε, λέγοντες ὅτι Ἤγγικεν ἡ βασιλεία τῶν οὐρανῶν.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 8] Ἀσθενοῦντας θεραπεύετε, λεπροὺς καθαρίζετε, νεκροὺς ἐγείρετε, δαιμόνια ἐκβάλλετε· δωρεὰν ἐλάβετε, δωρεὰν δότε.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 9] Μὴ κτήσησθε χρυσόν, μηδὲ ἄργυρον, μηδὲ χαλκὸν εἰς τὰς ζώνας ὑμῶν,
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 10] μὴ πήραν εἰς ὁδόν, μηδὲ δύο χιτῶνας, μηδὲ ὑποδήματα, μηδὲ + 10:10 ῥάβδον ¦ ῥάβδους SCR ῥάβδον· ἄξιος γὰρ ὁ ἐργάτης τῆς τροφῆς αὐτοῦ ἐστιν.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 11] Εἰς ἣν δ᾿ ἂν πόλιν ἢ κώμην εἰσέλθητε, ἐξετάσατε τίς ἐν αὐτῇ ἄξιός ἐστι· κἀκεῖ μείνατε, ἕως ἂν ἐξέλθητε.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 12] Εἰσερχόμενοι δὲ εἰς τὴν οἰκίαν, ἀσπάσασθε αὐτήν.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 13] Καὶ ἐὰν μὲν ᾖ ἡ οἰκία ἀξία, ἐλθέτω ἡ εἰρήνη ὑμῶν ἐπ᾿ αὐτήν· ἐὰν δὲ μὴ ᾖ ἀξία, ἡ εἰρήνη ὑμῶν πρὸς ὑμᾶς ἐπιστραφήτω.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 14] Καὶ ὃς ἐὰν μὴ δέξηται ὑμᾶς μηδὲ ἀκούσῃ τοὺς λόγους ὑμῶν, ἐξερχόμενοι τῆς οἰκίας ἢ τῆς πόλεως ἐκείνης, ἐκτινάξατε τὸν κονιορτὸν τῶν ποδῶν ὑμῶν.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 15] Ἀμὴν λέγω ὑμῖν, ἀνεκτότερον ἔσται γῇ Σοδόμων καὶ Γομόρρων ἐν ἡμέρᾳ κρίσεως, ἢ τῇ πόλει ἐκείνῃ.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 16] Ἰδού, ἐγὼ ἀποστέλλω ὑμᾶς ὡς πρόβατα ἐν μέσῳ λύκων· γίνεσθε οὖν φρόνιμοι ὡς οἱ ὄφεις, καὶ ἀκέραιοι ὡς αἱ περιστεραί.
[GRCGTR | EL | NT | Matthew | Chapter 10 | Verse 17] Προσέχετε δὲ ἀπὸ τῶν ἀνθρώπων· παραδώσουσι γὰρ ὑμᾶς εἰς συνέδρια, καὶ ἐν ταῖς συναγωγαῖς αὐτῶν μαστιγώσουσιν ὑμᾶς·
