[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 1] ΚΑΙ ὁ βασιλεὺς Ἀστυάγης προσετέθη πρὸς τοὺς πατέρας αὐτοῦ· καὶ παρέλαβε Κύρος ὁ Πέρσης τὴν βασιλείαν αὐτοῦ.
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 2] Καὶ ἦν Δανιὴλ συμβιωτὴς τοῦ βασιλέως, καὶ ἔνδοξος ὑπὲρ πάντας τοὺς φίλους αὐτοῦ.
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 3] Καὶ ἦν εἴδωλον τοῖς Βαβυλωνίοις ᾧ ὄνομα Βὴλ, καὶ ἐδαπανῶντο εἰς αὐτὸν ἑκάστης ἡμέρας σεμιδάλεως ἀρτάβαι δώδεκα, καὶ πρόβατα τεσσαράκοντα, καὶ οἴνου μετρηταὶ ἕξ.
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 4] Καὶ ὁ βασιλεὺς ἐσέβετο αὐτὸν, καὶ ἐπορεύετο καθʼ ἑκάστην ἡμέραν προσκυνεῖν αὐτῷ. Δανιὴλ δὲ προσεκύνει τῷ Θεῷ αὐτοῦ· καὶ εἶπεν αὐτῷ ὁ βασιλεὺς, διατί οὐ προσκυνεῖς τῷ Βήλ;
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 5] Ὁ δὲ εἶπεν, ὅτι οὐ σέβομαι εἴδωλα χειροποίητα, ἀλλὰ τὸν ζῶντα Θεὸν, τὸν κτίσαντα τὸν οὐρανὸν καὶ τὴν γῆν καὶ ἔχοντα πάσης σαρκὸς κυρείαν.
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 6] Καὶ εἶπεν αὐτῷ ὁ βασιλεὺς, οὐ δοκεῖ σοι Βὴλ εἶναι ζῶν θεός; ἢ οὐχ ὁρᾷς ὅσα ἐσθίει καὶ πίνει καθʼ ἑκάστην ἡμέραν;
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 7] Καὶ εἶπε Δανιὴλ γελάσας, μὴ πλανῶ, βασιλεῦ, οὗτος γὰρ ἔσωθεν μέν ἐστι πηλὸς, ἔξωθεν δὲ χαλκὸς, καὶ οὐ βέβρωκεν οὐδέποτε.
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 8] Θυμωθεὶς δὲ ὁ βασιλεὺς ἐκάλεσε τοὺς ἱερεῖς αὐτοῦ· καὶ εἶπεν αὐτοῖς ἐὰν μὴ εἴποιτέ μοι τίς ὁ κατέσθων τὴν δαπάνην ταύτην, ἀποθανεῖσθε.
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 9] Ἐὰν δὲ δείξητε ὅτι Βὴλ κατεσθίει αὐτὰ, ὁ Δανιὴλ ἀποθανεῖται, ὅτι ἐβλασφήμησεν εἰς τὸν Βήλ· καὶ εἶπε Δανιὴλ τῷ βασιλεῖ, γινέσθω κατὰ τὸ ῥῆμά σου.
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 10] Καὶ ἦσαν ἱερεῖς τοῦ Βὴλ ἑβδομήκοντα ἐκτὸς γυναικῶν καὶ τέκνων· καὶ ἦλθεν ὁ βασιλεὺς μετὰ Δανιὴλ εἰς τὸν οἶκον τοῦ Βήλ.
[LXX | EL | OT | Bel and the Dragon | Chapter 1 | Verse 11] Καὶ εἶπαν οἱ ἱερεῖς τοῦ Βὴλ, ἰδοὺ ἡμεῖς ἀποτρέχομεν ἔξω, σὺ δὲ, βασιλεῦ, παράθες τὰ βρώματα, καὶ τὸν οἶνον κεράσας θὲς, καὶ ἀπόκλεισον τὴν θύραν, καὶ σφράγισον τῷ δακτυλίῳ σου.
