[DRA | EN | NT | Mark | Chapter 14 | Verse 1] Now the feast of the pasch, and of the Azymes was after two days; and the chief priests and the scribes sought how they might by some wile lay hold on him, and kill him.
[DRA | EN | NT | Mark | Chapter 14 | Verse 2] But they said: Not on the festival day, lest there should be a tumult among the people.
[DRA | EN | NT | Mark | Chapter 14 | Verse 3] And when he was in Bethania, in the house of Simon the leper, and was at meat, there came a woman having an alabaster box of ointment of precious spikenard: and breaking the alabaster box, she poured it out upon his head.
[DRA | EN | NT | Mark | Chapter 14 | Verse 4] Now there were some that had indignation within themselves, and said: Why was this waste of the ointment made?
[DRA | EN | NT | Mark | Chapter 14 | Verse 5] For this ointment might have been sold for more than three hundred pence, and given to the poor. And they murmured against her.
[DRA | EN | NT | Mark | Chapter 14 | Verse 6] But Jesus said: Let her alone, why do you molest her? She hath wrought a good work upon me.
[DRA | EN | NT | Mark | Chapter 14 | Verse 7] For the poor you have always with you: and whensoever you will, you may do them good: but me you have not always.
[DRA | EN | NT | Mark | Chapter 14 | Verse 8] She hath done what she could: she is come beforehand to anoint my body for burial.
[DRA | EN | NT | Mark | Chapter 14 | Verse 9] Amen, I say to you, wheresoever this gospel shall be preached in the whole world, that also which she hath done, shall be told for a memorial of her.
[DRA | EN | NT | Mark | Chapter 14 | Verse 10] And Judas Iscariot, one of the twelve, went to the chief priests, to betray him to them.
[DRA | EN | NT | Mark | Chapter 14 | Verse 11] Who hearing it were glad; and they promised him they would give him money. And he sought how he might conveniently betray him.
[DRA | EN | NT | Mark | Chapter 14 | Verse 12] Now on the first day of the unleavened bread, when they sacrificed the pasch, the disciples say to him: Whither wilt thou that we go, and prepare for thee to eat the pasch?
[DRA | EN | NT | Mark | Chapter 14 | Verse 13] And he sendeth two of his disciples, and saith to them: Go ye into the city; and there shall meet you a man carrying a pitcher of water, follow him;
[DRA | EN | NT | Mark | Chapter 14 | Verse 14] And whithersoever he shall go in, say to the master of the house, The master saith, Where is my refectory, where I may eat the pasch with my disciples?
[DRA | EN | NT | Mark | Chapter 14 | Verse 15] And he will shew you a large dining room furnished; and there prepare ye for us.
[DRA | EN | NT | Mark | Chapter 14 | Verse 16] And his disciples went their way, and came into the city; and they found as he had told them, and they prepared the pasch.
[DRA | EN | NT | Mark | Chapter 14 | Verse 17] And when evening was come, he cometh with the twelve.
[DRA | EN | NT | Mark | Chapter 14 | Verse 18] And when they were at table and eating, Jesus saith: Amen I say to you, one of you that eateth with me shall betray me.
[DRA | EN | NT | Mark | Chapter 14 | Verse 19] But they began to be sorrowful, and to say to him one by one: Is it I?
[DRA | EN | NT | Mark | Chapter 14 | Verse 20] Who saith to them: One of the twelve, who dippeth with me his hand in the dish.
[DRA | EN | NT | Mark | Chapter 14 | Verse 21] And the Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man shall be betrayed. It were better for him, if that man had not been born.
[DRA | EN | NT | Mark | Chapter 14 | Verse 22] And whilst they were eating, Jesus took bread; and blessing, broke, and gave to them, and said: Take ye. This is my body.
[DRA | EN | NT | Mark | Chapter 14 | Verse 23] And having taken the chalice, giving thanks, he gave it to them. And they all drank of it.
[DRA | EN | NT | Mark | Chapter 14 | Verse 24] And he said to them: This is my blood of the new testament, which shall be shed for many.
[DRA | EN | NT | Mark | Chapter 14 | Verse 25] Amen I say to you, that I will drink no more of the fruit of the vine, until that day when I shall drink it new in the kingdom of God.
[DRA | EN | NT | Mark | Chapter 14 | Verse 26] And when they had said an hymn, they went forth to the mount of Olives.
[DRA | EN | NT | Mark | Chapter 14 | Verse 27] And Jesus saith to them: You will all be scandalized in my regard this night; for it is written, I will strike the shepherd, and the sheep shall be dispersed.
[DRA | EN | NT | Mark | Chapter 14 | Verse 28] But after I shall be risen again, I will go before you into Galilee.
[DRA | EN | NT | Mark | Chapter 14 | Verse 29] But Peter saith to him: Although all shall be scandalized in thee, yet not I.
[DRA | EN | NT | Mark | Chapter 14 | Verse 30] And Jesus saith to him: Amen I say to thee, today, even in this night, before the cock crow twice, thou shall deny me thrice.
[DRA | EN | NT | Mark | Chapter 14 | Verse 31] But he spoke the more vehemently: Although I should die together with thee, I will not deny thee. And in like manner also said they all.
[DRA | EN | NT | Mark | Chapter 14 | Verse 32] And they came to a farm called Gethsemani. And he saith to his disciples: Sit you here, while I pray.
[DRA | EN | NT | Mark | Chapter 14 | Verse 33] And he taketh Peter and James and John with him; and he began to fear and to be heavy.
[DRA | EN | NT | Mark | Chapter 14 | Verse 34] And he saith to them: My soul is sorrowful even unto death; stay you here, and watch.
[DRA | EN | NT | Mark | Chapter 14 | Verse 35] And when he was gone forward a little, he fell flat on the ground; and he prayed, that if it might be, the hour might pass from him.
[DRA | EN | NT | Mark | Chapter 14 | Verse 36] And he saith: Abba, Father, all things are possible to thee: remove this chalice from me; but not what I will, but what thou wilt.
[DRA | EN | NT | Mark | Chapter 14 | Verse 37] And he cometh, and findeth them sleeping. And he saith to Peter: Simon, sleepest thou? couldst thou not watch one hour?
[DRA | EN | NT | Mark | Chapter 14 | Verse 38] Watch ye, and pray that you enter not into temptation. The spirit indeed is willing, but the flesh is weak.
[DRA | EN | NT | Mark | Chapter 14 | Verse 39] A going away again, he prayed, saying the same words.
[DRA | EN | NT | Mark | Chapter 14 | Verse 40] And when he returned, he found them again asleep, (for their eyes were heavy,) and they knew not what to answer him.
[DRA | EN | NT | Mark | Chapter 14 | Verse 41] And he cometh the third time, and saith to them: Sleep ye now, and take your rest. It is enough: the hour is come: behold the Son of man shall be betrayed into the hands of sinners.
