[ERV | EN | NT | Galatians | Chapter 4 | Verse 1] But I say that so long as the heir is a child, he differeth nothing from a bondservant, though he is lord of all;
[ERV | EN | NT | Galatians | Chapter 4 | Verse 2] but is under guardians and stewards until the term appointed of the father.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 3] So we also, when we were children, were held in bondage under the rudiments of the world:
[ERV | EN | NT | Galatians | Chapter 4 | Verse 4] but when the fulness of the time came, God sent forth his Son, born of a woman, born under the law,
[ERV | EN | NT | Galatians | Chapter 4 | Verse 5] that he might redeem them which were under the law, that we might receive the adoption of sons.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 6] And because ye are sons, God sent forth the Spirit of his Son into our hearts, crying, Abba, Father.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 7] So that thou art no longer a bondservant, but a son; and if a son, then an heir through God.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 8] Howbeit at that time, not knowing God, ye were in bondage to them which by nature are no gods:
[ERV | EN | NT | Galatians | Chapter 4 | Verse 9] but now that ye have come to know God, or rather to be known of God, how turn ye back again to the weak and beggarly rudiments, whereunto ye desire to be in bondage over again?
[ERV | EN | NT | Galatians | Chapter 4 | Verse 10] Ye observe days, and months, and seasons, and years.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 11] I am afraid of you, lest by any means I have bestowed labour upon you in vain.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 12] I beseech you, brethren, be as I am, for I am as ye are. Ye did me no wrong:
[ERV | EN | NT | Galatians | Chapter 4 | Verse 13] but ye know that because of an infirmity of the flesh I preached the gospel unto you the first time:
[ERV | EN | NT | Galatians | Chapter 4 | Verse 14] and that which was a temptation to you in my flesh ye despised not, nor rejected; but ye received me as an angel of God, even as Christ Jesus.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 15] Where then is that gratulation of yourselves? for I bear you witness, that, if possible, ye would have plucked out your eyes and given them to me.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 16] So then am I become your enemy, because I tell you the truth?
[ERV | EN | NT | Galatians | Chapter 4 | Verse 17] They zealously seek you in no good way; nay, they desire to shut you out, that ye may seek them.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 18] But it is good to be zealously sought in a good matter at all times, and not only when I am present with you.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 19] My little children, of whom I am again in travail until Christ be formed in you,
[ERV | EN | NT | Galatians | Chapter 4 | Verse 20] yea, I could wish to be present with you now, and to change my voice; for I am perplexed about you.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 21] Tell me, ye that desire to be under the law, do ye not hear the law?
[ERV | EN | NT | Galatians | Chapter 4 | Verse 22] For it is written, that Abraham had two sons, one by the handmaid, and one by the freewoman.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 23] Howbeit the son by the handmaid is born after the flesh; but the son by the freewoman is born through promise.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 24] Which things contain an allegory: for these women are two covenants; one from mount Sinai, bearing children unto bondage, which is Hagar.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 25] Now this Hagar is mount Sinai in Arabia, and answereth to the Jerusalem that now is: for she is in bondage with her children.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 26] But the Jerusalem that is above is free, which is our mother.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 27] For it is written, Rejoice, thou barren that bearest not; Break forth and cry, thou that travailest not: For more are the children of the desolate than of her which hath the husband.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 28] Now we, brethren, as Isaac was, are children of promise.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 29] But as then he that was born after the flesh persecuted him that was born after the Spirit, even so it is now.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 30] Howbeit what saith the scripture? Cast out the handmaid and her son: for the son of the handmaid shall not inherit with the son of the freewoman.
[ERV | EN | NT | Galatians | Chapter 4 | Verse 31] Wherefore, brethren, we are not children of a handmaid, but of the freewoman.
