[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 1] પછી અબિયા તેના પિતૃઓની જેમ ઊંઘી ગયો. તેને દાઉદનગરમાં દફનાવવામાં આવ્યો. તેની જગ્યાએ તેનો દીકરો આસા ગાદીનશીન થયો. યહૂદિયાના રાજા આસાના શાસનકાળના દસ વર્ષ દરમિયાન દેશમાં શાંતિ હતી.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 2] આસાએ તેના ઈશ્વર, પ્રભુની નજરમાં જે સારું અને યોગ્ય હતું તે કર્યુ.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 3] તેણે અન્ય દેવોની વેદીઓ અને ઉચ્ચસ્થાનો દૂર કર્યાં. તેણે તેઓના ભજનસ્તંભના પવિત્ર પથ્થરોને ભાંગી નાખ્યાં અને અશેરીમ મૂર્તિને કાપી નાખી.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 4] તેણે યહૂદિયાના લોકોને, તેઓના પિતૃઓના ઈશ્વરને શોધવાનો, તેના વિધિઓ અને આજ્ઞાઓનું પાલન કરવાનો હુકમ કર્યો.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 5] તેણે યહૂદિયાના દરેક નગરમાંના ઉચ્ચસ્થાનો અને ધૂપવેદીઓને દૂર કર્યા. તેના શાસન દરમિયાન રાજયમાં શાંતિ પ્રવર્તેલી રહી.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 6] તેણે યહૂદિયામાં કિલ્લાવાળાં નગરો બાંધ્યાં. તે વર્ષોમાં યુદ્ધ ન હોવાના કારણે તે દેશમાં શાંતિ વ્યાપેલી રહી હતી. કેમ કે ઈશ્વરે તેને શાંતિ આપી હતી.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 7] આસાએ યહૂદિયાના લોકોને કહ્યું, “ચાલો, આપણે આ નગરો બાંધીએ, તેમની ફરતે કોટ કરીએ. બુરજો, દરવાજા અને ભૂંગળો બાંધીએ; આ દેશ હજી પણ આપણો છે, કારણ કે, આપણે આપણા ઈશ્વરની પાસે માગ્યો છે. તેમણે આપણને ચારે બાજુએથી શાંતિ આપી છે.” તેથી તેમણે નગરો બાંધવા માંડ્યાં તેમાં તેઓ સફળ થયા.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 8] આસા પાસે યહૂદા કુળના ઢાલ અને ભાલાથી સજ્જ ત્રણ લાખ પુરુષો અને હજાર ઢાલ તથા ધનુષ્યથી સજ્જ બિન્યામીન કુળના બે લાખ એંશી હજાર પુરુષો હતા. તેઓ બધા શક્તિશાળી શૂરવીર યોદ્ધાઓ હતા.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 9] કૂશ દેશનો ઝેરાહ દસ લાખ સૈનિકો અને ત્રણસો રથનું સૈન્ય લઈને તેઓ સામે યુદ્ધ કરવા આવ્યો; તે મારેશા સુધી આવી પહોંચ્યો.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 10] પછી આસા તેની સામે ગયો અને તેઓએ મારેશા આગળ સફાથાના મેદાનમાં યુદ્ધ માટે વ્યૂહ રચ્યો.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 11] આસાએ તેના ઈશ્વરને પોકાર કર્યો, “ઈશ્વર, બળવાનની વિરુદ્ધમાં નિર્બળને સહાય કરનાર, તમારા સિવાય અમારો બીજો કોઈ આશ્રય નથી; હે ઈશ્વર, અમારા પ્રભુ, અમને સહાય કરો; કેમ કે અમે માત્ર તમારા પર જ આધાર રાખીએ છીએ અને તમારા નામના લીધે જ અમે આ મોટા સૈન્ય સામે આવ્યા છીએ; હે ઈશ્વર, તમે અમારા પ્રભુ છો; માણસો તમને હરાવી શકશે નહિ.”
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 12] તેથી ઈશ્વરે આસા અને યહૂદિયાના સૈન્યની સામે કૂશીઓને હરાવ્યા અને તેઓ નાસી ગયા.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 13] આસા અને તેના સૈનિકોએ ગેરાર સુધી તેમનો પીછો કર્યો. ઈથિયોપિયાના કૂશી લોકોમાંથી એટલા બધા માણસો માર્યા ગયા કે તેઓમાંથી કોઈ બચ્યો નહિ, તેઓ સંપૂર્ણ રીતે ઈશ્વર અને તેમની સેના દ્વારા નષ્ટ થયા. સૈનિકોએ લૂંટ ચલાવીને પુષ્કળ પ્રમાણમાં સંપત્તિ મેળવી.
[IRV | GU | OT | 2 Chronicles | Chapter 14 | Verse 14] યહૂદિયાના સૈનિકોએ ગેરારની આસપાસના બધાં નગરોનો નાશ કર્યો, ત્યાંના રહેવાસીઓને ઈશ્વરનો ભય લાગ્યો. તેઓએ બધાં ગામો લૂંટ્યાં અને તેઓ પાસે પુષ્કળ લૂંટ હતી.
