[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 1] This is the word that the LORD spoke through Jeremiah the prophet concerning Babylon and the land of the Chaldeans:
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 2] “Announce and declare to the nations; lift up a banner and proclaim it; hold nothing back when you say, ‘Babylon is captured; Bel is put to shame; Marduk is shattered, her images are disgraced, her idols are broken in pieces.’
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 3] For a nation from the north will come against her; it will make her land a desolation. No one will live in it; both man and beast will flee.”
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 4] “In those days and at that time, declares the LORD, the children of Israel and the children of Judah will come together, weeping as they come, and will seek the LORD their God.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 5] They will ask the way to Zion and turn their faces toward it. They will come and join themselves to the LORD in an everlasting covenant that will never be forgotten.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 6] My people are lost sheep; their shepherds have led them astray, causing them to roam the mountains. They have wandered from mountain to hill; they have forgotten their resting place.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 7] All who found them devoured them, and their enemies said, ‘We are not guilty, for they have sinned against the LORD, their true pasture, the LORD, the hope of their fathers.’
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 8] Flee from the midst of Babylon; depart from the land of the Chaldeans; be like the he-goats that lead the flock.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 9] For behold, I stir up and bring against Babylon an assembly of great nations from the land of the north. They will line up against her; from the north she will be captured. Their arrows will be like skilled warriors who do not return empty-handed.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 10] Chaldea will be plundered; all who plunder her will have their fill,” declares the LORD.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 11] “Because you rejoice, because you sing in triumph— you who plunder My inheritance— because you frolic like a heifer treading grain and neigh like stallions,
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 12] your mother will be greatly ashamed; she who bore you will be disgraced. Behold, she will be the least of the nations, a wilderness, a dry land, and a desert.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 13] Because of the wrath of the LORD, she will not be inhabited; she will become completely desolate. All who pass through Babylon will be horrified and will hiss at all her wounds.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 14] Line up in formation around Babylon, all you who draw the bow! Shoot at her! Spare no arrows! For she has sinned against the LORD.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 15] Raise a war cry against her on every side! She has thrown up her hands in surrender; her towers have fallen; her walls are torn down. Since this is the vengeance of the LORD, take out your vengeance upon her; as she has done, do the same to her.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 16] Cut off the sower from Babylon, and the one who wields the sickle at harvest time. In the face of the oppressor’s sword, each will turn to his own people, each will flee to his own land.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 17] Israel is a scattered flock, chased away by lions. The first to devour him was the king of Assyria; the last to crush his bones was Nebuchadnezzar king of Babylon.”
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 18] Therefore this is what the LORD of Hosts, the God of Israel, says: “I will punish the king of Babylon and his land as I punished the king of Assyria.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 19] I will return Israel to his pasture, and he will graze on Carmel and Bashan; his soul will be satisfied on the hills of Ephraim and Gilead.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 20] In those days and at that time, declares the LORD, a search will be made for Israel’s guilt, but there will be none, and for Judah’s sins, but they will not be found; for I will forgive the remnant I preserve.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 21] Go up against the land of Merathaim, and against the residents of Pekod. Kill them and devote them to destruction. Do all that I have commanded you,” declares the LORD.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 22] “The noise of battle is in the land— the noise of great destruction.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 23] How the hammer of the whole earth lies broken and shattered! What a horror Babylon has become among the nations!
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 24] I laid a snare for you, O Babylon, and you were caught before you knew it. You were found and captured because you challenged the LORD.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 25] The LORD has opened His armory and brought out His weapons of wrath, for this is the work of the Lord GOD of Hosts in the land of the Chaldeans.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 26] Come against her from the farthest border. Break open her granaries; pile her up like mounds of grain. Devote her to destruction; leave her no survivors.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 27] Kill all her young bulls; let them go down to the slaughter. Woe to them, for their day has come— the time of their punishment.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 28] Listen to the fugitives and refugees from the land of Babylon, declaring in Zion the vengeance of the LORD our God, the vengeance for His temple.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 29] Summon the archers against Babylon, all who string the bow. Encamp all around her; let no one escape. Repay her according to her deeds; do to her as she has done. For she has defied the LORD, the Holy One of Israel.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 30] Therefore, her young men will fall in the streets, and all her warriors will be silenced in that day,” declares the LORD.
[BSB | EN | OT | Jeremiah | Chapter 50 | Verse 31] “Behold, I am against you, O arrogant one,” declares the Lord GOD of Hosts, “for your day has come, the time when I will punish you.
