[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 1] When Jeremiah had finished telling all the people all the words of the LORD their God—everything that the LORD had sent him to say—
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 2] Azariah son of Hoshaiah, Johanan son of Kareah, and all the arrogant men said to Jeremiah, “You are lying! The LORD our God has not sent you to say, ‘You must not go to Egypt to reside there.’
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 3] Rather, Baruch son of Neriah is inciting you against us to deliver us into the hands of the Chaldeans, so that they may put us to death or exile us to Babylon!”
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 4] So Johanan son of Kareah and all the commanders of the forces disobeyed the command of the LORD to stay in the land of Judah.
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 5] Instead, Johanan son of Kareah and all the commanders of the forces took the whole remnant of Judah, those who had returned to the land of Judah from all the nations to which they had been scattered,
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 6] the men, the women, the children, the king’s daughters, and everyone whom Nebuzaradan captain of the guard had allowed to remain with Gedaliah son of Ahikam, the son of Shaphan, as well as Jeremiah the prophet and Baruch son of Neriah.
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 7] So they entered the land of Egypt because they did not obey the voice of the LORD, and they went as far as Tahpanhes.
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 8] Then the word of the LORD came to Jeremiah at Tahpanhes:
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 9] “In the sight of the Jews, pick up some large stones and bury them in the clay of the brick pavement at the entrance to Pharaoh’s palace at Tahpanhes.
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 10] Then tell them that this is what the LORD of Hosts, the God of Israel, says: ‘I will send for My servant Nebuchadnezzar king of Babylon, and I will set his throne over these stones that I have embedded, and he will spread his royal pavilion over them.
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 11] He will come and strike down the land of Egypt, bringing death to those destined for death, captivity to those destined for captivity, and the sword to those destined for the sword.
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 12] I will kindle a fire in the temples of the gods of Egypt, and Nebuchadnezzar will burn those temples and take their gods as captives. So he will wrap himself with the land of Egypt as a shepherd wraps himself in his garment, and he will depart from there unscathed.
[BSB | EN | OT | Jeremiah | Chapter 43 | Verse 13] He will demolish the sacred pillars of the temple of the sun in the land of Egypt, and he will burn down the temples of the gods of Egypt.’”
