[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 1] This is the word of the LORD about the nations—the word that came to Jeremiah the prophet
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 2] concerning Egypt and the army of Pharaoh Neco king of Egypt, which was defeated at Carchemish on the Euphrates River by Nebuchadnezzar king of Babylon in the fourth year of Jehoiakim the son of Josiah king of Judah:
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 3] “Deploy your shields, small and large; advance for battle!
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 4] Harness the horses; mount the steeds; take your positions with helmets on! Polish your spears; put on armor!
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 5] Why am I seeing this? They are terrified, they are retreating; their warriors are defeated, they flee in haste without looking back; terror is on every side!” declares the LORD.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 6] “The swift cannot flee, and the warrior cannot escape! In the north by the River Euphrates they stumble and fall.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 7] Who is this, rising like the Nile, like rivers whose waters churn?
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 8] Egypt rises like the Nile, and its waters churn like rivers, boasting, ‘I will rise and cover the earth; I will destroy the cities and their people.’
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 9] Advance, O horses! Race furiously, O chariots! Let the warriors come forth— Cush and Put carrying their shields, men of Lydia drawing the bow.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 10] For that day belongs to the Lord GOD of Hosts, a day of vengeance against His foes. The sword will devour until it is satisfied, until it is quenched with their blood. For the Lord GOD of Hosts will hold a sacrifice in the land of the north by the River Euphrates.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 11] Go up to Gilead for balm, O Virgin Daughter of Egypt! In vain you try many remedies, but for you there is no healing.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 12] The nations have heard of your shame, and your outcry fills the earth, because warrior stumbles over warrior and both of them have fallen together.”
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 13] This is the word that the LORD spoke to Jeremiah the prophet about the coming of Nebuchadnezzar king of Babylon to strike the land of Egypt:
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 14] “Announce it in Egypt, and proclaim it in Migdol; proclaim it in Memphis and Tahpanhes: ‘Take your positions and prepare yourself, for the sword devours those around you.’
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 15] Why have your warriors been laid low? They cannot stand, for the LORD has thrust them down.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 16] They continue to stumble; indeed, they have fallen over one another. They say, ‘Get up! Let us return to our people and to the land of our birth, away from the sword of the oppressor.’
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 17] There they will cry out: ‘Pharaoh king of Egypt was all noise; he has let the appointed time pass him by.’
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 18] As surely as I live, declares the King, whose name is the LORD of Hosts, there will come one who is like Tabor among the mountains and like Carmel by the sea.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 19] Pack your bags for exile, O daughter dwelling in Egypt! For Memphis will be laid waste, destroyed and uninhabited.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 20] Egypt is a beautiful heifer, but a gadfly from the north is coming against her.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 21] Even the mercenaries among her are like fattened calves. They too will turn back; together they will flee, they will not stand their ground, for the day of calamity is coming upon them— the time of their punishment.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 22] Egypt will hiss like a fleeing serpent, for the enemy will advance in force; with axes they will come against her like woodsmen cutting down trees.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 23] They will chop down her forest, declares the LORD, dense though it may be, for they are more numerous than locusts; they cannot be counted.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 24] The Daughter of Egypt will be put to shame; she will be delivered into the hands of the people of the north.”
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 25] The LORD of Hosts, the God of Israel, says: “Behold, I am about to punish Amon god of Thebes, along with Pharaoh, Egypt with her gods and kings, and those who trust in Pharaoh.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 26] I will deliver them into the hands of those who seek their lives—of Nebuchadnezzar king of Babylon and his officers. But after this, Egypt will be inhabited as in days of old, declares the LORD.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 27] But you, O Jacob My servant, do not be afraid, and do not be dismayed, O Israel. For I will surely save you out of a distant place, your descendants from the land of their captivity! Jacob will return to quiet and ease, with no one to make him afraid.
[BSB | EN | OT | Jeremiah | Chapter 46 | Verse 28] And you, My servant Jacob, do not be afraid, declares the LORD, for I am with you. Though I will completely destroy all the nations to which I have banished you, I will not completely destroy you. Yet I will discipline you justly, and will by no means leave you unpunished.”
