[ASV | EN | NT | Hebrews | Chapter 2 | Verse 1] Therefore we ought to give the more earnest heed to the things that were heard, lest haply we drift away from them.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 2] For if the word spoken through angels proved steadfast, and every transgression and disobedience received a just recompense of reward;
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 3] how shall we escape, if we neglect so great a salvation? which having at the first been spoken through the Lord, was confirmed unto us by them that heard;
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 4] God also bearing witness with them, both by signs and wonders, and by manifold powers, and by gifts of the Holy Spirit, according to his own will.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 5] For not unto angels did he subject the world to come, whereof we speak.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 6] But one hath somewhere testified, saying, What is man, that thou art mindful of him? Or the son of man, that thou visitest him?
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 7] Thou madest him a little lower than the angels; Thou crownedst him with glory and honor:
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 8] Thou didst put all things in subjection under his feet. For in that he subjected all things unto him, he left nothing that is not subject to him. But now we see not yet all things subjected to him.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 9] But we behold him who hath been made a little lower than the angels, even Jesus, because of the suffering of death crowned with glory and honor, that by the grace of God he should taste of death for every man.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 10] For it became him, for whom are all things, and through whom are all things, in bringing many sons unto glory, to make the author of their salvation perfect through sufferings.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 11] For both he that sanctifieth and they that are sanctified are all of one: for which cause he is not ashamed to call them brethren,
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 12] saying, I will declare thy name unto my brethren, In the midst of the congregation will I sing thy praise.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 13] And again, I will put my trust in him. And again, Behold, I and the children whom God hath given me.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 14] Since then the children are sharers in flesh and blood, he also himself in like manner partook of the same; that through death he might bring to nought him that had the power of death, that is, the devil;
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 15] and might deliver all them who through fear of death were all their lifetime subject to bondage.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 16] For verily not to angels doth he give help, but he giveth help to the seed of Abraham.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 17] Wherefore it behooved him in all things to be made like unto his brethren, that he might become a merciful and faithful high priest in things pertaining to God, to make propitiation for the sins of the people.
[ASV | EN | NT | Hebrews | Chapter 2 | Verse 18] For in that he himself hath suffered being tempted, he is able to succor them that are tempted.
