[ASV | EN | NT | Hebrews | Chapter 13 | Verse 1] Let love of the brethren continue.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 2] Forget not to show love unto strangers: for thereby some have entertained angels unawares.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 3] Remember them that are in bonds, as bound with them; them that are ill-treated, as being yourselves also in the body.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 4] Let marriage be had in honor among all, and let the bed be undefiled: but fornicators and adulterers God will judge.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 5] Be ye free from the love of money; content with such things as ye have: for himself hath said, I will in no wise fail thee, neither will I in any wise forsake thee.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 6] So that with good courage we say, The Lord is my helper, And I will not fear What man shall do unto me.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 7] Remember them that had the rule over you, men that spake unto you the word of God; and considering the issue of their life, imitate their faith.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 8] Jesus Christ is the same yesterday and today, yea and forever.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 9] Be not carried away by diverse and strange teachings: for it is good that the heart be established by grace; not by meats, wherein they that occupied themselves were not profited.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 10] We have an altar, whereof they have no right to eat that serve the tabernacle.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 11] For the bodies of those beasts whose blood is brought into the holy place by the high priest as an offering for sin, are burned without the camp.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 12] Wherefore Jesus also, that he might sanctify the people through his own blood, suffered without the gate.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 13] Let us therefore go forth unto him without the camp, bearing his reproach.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 14] For we have not here an abiding city, but we seek after the city which is to come.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 15] Through him then let us offer up a sacrifice of praise to God continually, that is, the fruit of lips which make confession to his name.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 16] But to do good and to communicate forget not: for with such sacrifices God is well pleased.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 17] Obey them that have the rule over you, and submit to them: for they watch in behalf of your souls, as they that shall give account; that they may do this with joy, and not with grief: for this were unprofitable for you.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 18] Pray for us: for we are persuaded that we have a good conscience, desiring to live honorably in all things.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 19] And I exhort you the more exceedingly to do this, that I may be restored to you the sooner.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 20] Now the God of peace, who brought again from the dead the great shepherd of the sheep with the blood of an eternal covenant, even our Lord Jesus,
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 21] make you perfect in every good work to do his will, working in you that which is well-pleasing in his sight, through Jesus Christ; to whom be the glory forever and ever. Amen.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 22] But I exhort you, brethren, bear with the word of exhortation: for I have written unto you in few words.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 23] Know ye that our brother Timothy hath been set at liberty; with whom, if he come shortly, I will see you.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 24] Salute all them that have the rule over you, and all the saints. They of Italy salute you.
[ASV | EN | NT | Hebrews | Chapter 13 | Verse 25] Grace be with you all. Amen.
