[ASV | EN | NT | Hebrews | Chapter 5 | Verse 1] For every high priest, being taken from among men, is appointed for men in things pertaining to God, that he may offer both gifts and sacrifices for sins:
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 2] who can bear gently with the ignorant and erring, for that he himself also is compassed with infirmity;
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 3] and by reason hereof is bound, as for the people, so also for himself, to offer for sins.
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 4] And no man taketh the honor unto himself, but when he is called of God, even as was Aaron.
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 5] So Christ also glorified not himself to be made a high priest, but he that spake unto him, Thou art my Son, This day have I begotten thee:
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 6] as he saith also in another place, Thou art a priest forever After the order of Melchizedek.
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 7] Who in the days of his flesh, having offered up prayers and supplications with strong crying and tears unto him that was able to save him from death, and having been heard for his godly fear,
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 8] though he was a Son, yet learned obedience by the things which he suffered;
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 9] and having been made perfect, he became unto all them that obey him the author of eternal salvation;
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 10] named of God a high priest after the order of Melchizedek.
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 11] Of whom we have many things to say, and hard of interpretation, seeing ye are become dull of hearing.
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 12] For when by reason of the time ye ought to be teachers, ye have need again that one teach you which are the rudiments of the first principles of the oracles of God; and are become such as have need of milk, and not of solid food.
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 13] For everyone that partaketh of milk is without experience of the word of righteousness; for he is a babe.
[ASV | EN | NT | Hebrews | Chapter 5 | Verse 14] But solid food is for full-grown men, even those who by reason of use have their senses exercised to discern good and evil.
