[ASV | EN | NT | Hebrews | Chapter 6 | Verse 1] Wherefore leaving the doctrine of the first principles of Christ, let us press on unto perfection; not laying again a foundation of repentance from dead works, and of faith toward God,
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 2] of the teaching of baptisms, and of laying on of hands, and of resurrection of the dead, and of eternal judgment.
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 3] And this let us do, if God permit.
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 4] For as touching those who were once enlightened and tasted of the heavenly gift, and were made partakers of the Holy Spirit,
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 5] and tasted the good word of God, and the powers of the age to come,
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 6] and then fell away, it is impossible to renew them again unto repentance; seeing they crucify to themselves the Son of God afresh, and put him to an open shame.
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 7] For the land which hath drunk the rain that cometh oft upon it, and bringeth forth herbs meet for them for whose sake it is also tilled, receiveth blessing from God:
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 8] but if it beareth thorns and thistles, it is rejected and nigh unto a curse; whose end is to be burned.
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 9] But, beloved, we are persuaded better things of you, and things that accompany salvation, though we thus speak:
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 10] for God is not unrighteous to forget your work and the labor of love which ye showed toward his name, in that ye ministered unto the saints, and still do minister.
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 11] And we desire that each one of you may show the same diligence unto the fullness of hope even to the end:
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 12] that ye be not sluggish, but imitators of them who through faith and patience inherit the promises.
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 13] For when God made promise to Abraham, since he could swear by none greater, he sware by himself,
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 14] saying, Surely blessing I will bless thee, and multiplying I will multiply thee.
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 15] And thus, having patiently endured, he obtained the promise.
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 16] For men indeed swear by the greater: and in every dispute of theirs the oath is final for confirmation.
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 17] Wherein God, being minded to show more abundantly unto the heirs of the promise the immutability of his counsel, interposed with an oath;
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 18] that by two immutable things, in which it is impossible for God to lie, we may have a strong encouragement, who have fled for refuge to lay hold of the hope set before us:
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 19] which we have as an anchor of the soul, a hope both sure and steadfast and entering into that which is within the veil;
[ASV | EN | NT | Hebrews | Chapter 6 | Verse 20] whither as a forerunner Jesus entered for us, having become a high priest forever after the order of Melchizedek.
