[DARBY | EN | NT | Matthew | Chapter 25 | Verse 1] Then shall the kingdom of the heavens be made like to ten virgins that having taken their torches, went forth to meet the bridegroom.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 2] And five of them were prudent and five foolish.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 3] They that were foolish took their torches and did not take oil with them;
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 4] but the prudent took oil in their vessels with their torches.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 5] Now the bridegroom tarrying, they all grew heavy and slept.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 6] But in [the] middle of [the] night there was a cry, Behold, the bridegroom; go forth to meet him.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 7] Then all those virgins arose and trimmed their torches.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 8] And the foolish said to the prudent, Give us of your oil, for our torches are going out.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 9] But the prudent answered saying, [We cannot,] lest it might not suffice for us and for you. Go rather to those that sell, and buy for yourselves.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 10] But as they went away to buy, the bridegroom came, and the [ones that were] ready went in with him to the wedding feast, and the door was shut.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 11] Afterwards come also the rest of the virgins, saying, Lord, Lord, open to us;
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 12] but he answering said, Verily I say unto you, I do not know you.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 13] Watch therefore, for ye know not the day nor the hour.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 14] For [it is] as [if] a man going away out of a country called his own bondmen and delivered to them his substance.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 15] And to one he gave five talents, to another two, and to another one; to each according to his particular ability, and immediately went away out of the country.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 16] And he that had received the five talents went and trafficked with them, and made five other talents.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 17] In like manner also he that [had received] the two, [he also] gained two others.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 18] But he that had received the one went and dug in the earth, and hid the money of his lord.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 19] And after a long time the lord of those bondmen comes and reckons with them.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 20] And he that had received the five talents came to [him] and brought five other talents, saying, [My] lord, thou deliveredst me five talents; behold, I have gained five other talents besides them.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 21] His lord said to him, Well, good and faithful bondman, thou wast faithful over a few things, I will set thee over many things: enter into the joy of thy lord.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 22] And he also that had received the two talents came to [him] and said, [My] lord, thou deliveredst me two talents; behold, I have gained two other talents besides them.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 23] His lord said to him, Well, good and faithful bondman, thou wast faithful over a few things, I will set thee over many things: enter thou into the joy of thy lord.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 24] And he also that had received the one talent coming to [him] said, [My] lord, I knew thee that thou art a hard man, reaping where thou hadst not sowed, and gathering from where thou hadst not scattered,
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 25] and being afraid I went away and hid thy talent in the earth; behold, thou hast that which is thine.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 26] And his lord answering said to him, Wicked and slothful bondman, thou knewest that I reap where I had not sowed, and gather from where I had not scattered;
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 27] thou oughtest then to have put my money to the money-changers, and when I came I should have got what is mine with interest.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 28] Take therefore the talent from him, and give it to him that has the ten talents:
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 29] for to every one that has shall be given, and he shall be in abundance; but from him that has not, that even which he has shall be taken from him.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 30] And cast out the useless bondman into the outer darkness; there shall be the weeping and the gnashing of teeth.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 31] But when the Son of man comes in his glory, and all the angels with him, then shall he sit down upon his throne of glory,
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 32] and all the nations shall be gathered before him; and he shall separate them from one another, as the shepherd separates the sheep from the goats;
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 33] and he will set the sheep on his right hand, and the goats on [his] left.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 34] Then shall the King say to those on his right hand, Come, blessed of my Father, inherit the kingdom prepared for you from [the] world's foundation:
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 35] for I hungered, and ye gave me to eat; I thirsted, and ye gave me to drink; I was a stranger, and ye took me in;
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 36] naked, and ye clothed me; I was ill, and ye visited me; I was in prison, and ye came to me.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 37] Then shall the righteous answer him saying, Lord, when saw we thee hungering, and nourished thee; or thirsting, and gave thee to drink?
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 38] and when saw we thee a stranger, and took thee in; or naked, and clothed thee?
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 39] and when saw we thee ill, or in prison, and came to thee?
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 40] And the King answering shall say to them, Verily, I say to you, Inasmuch as ye have done it to one of the least of these my brethren, ye have done it to me.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 41] Then shall he say also to those on the left, Go from me, cursed, into eternal fire, prepared for the devil and his angels:
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 42] for I hungered, and ye gave me not to eat; I thirsted, and ye gave me not to drink;
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 43] I was a stranger, and ye took me not in; naked, and ye did not clothe me; ill, and in prison, and ye did not visit me.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 44] Then shall they also answer saying, Lord, when saw we thee hungering, or thirsting, or a stranger, or naked, or ill, or in prison, and have not ministered to thee?
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 45] Then shall he answer them saying, Verily I say to you, Inasmuch as ye have not done it to one of these least, neither have ye done it to me.
[DARBY | EN | NT | Matthew | Chapter 25 | Verse 46] And these shall go away into eternal punishment, and the righteous into life eternal.
