[DARBY | EN | NT | Matthew | Chapter 27 | Verse 1] And when it was morning all the chief priests and the elders of the people took counsel against Jesus so that they might put him to death.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 2] And having bound him they led him away, and delivered him up to Pontius Pilate, the governor.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 3] Then Judas, who delivered him up, seeing that he had been condemned, filled with remorse, returned the thirty pieces of silver to the chief priests and the elders,
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 4] saying, I have sinned [in] having delivered up guiltless blood. But they said, What is that to us? see thou [to that].
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 5] And having cast down the pieces of silver in the temple, he left the place, and went away and hanged himself.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 6] And the chief priests took the pieces of silver and said, It is not lawful to cast them into the Corban, since it is [the] price of blood.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 7] And having taken counsel, they bought with them the field of the potter for a burying-ground for strangers.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 8] Wherefore that field has been called Blood-field unto this day.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 9] Then was fulfilled that which was spoken through Jeremias the prophet, saying, And I took the thirty pieces of silver, the price of him that was set a price on, whom [they who were] of the sons of Israel had set a price on,
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 10] and they gave them for the field of the potter, according as [the] Lord commanded me.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 11] But Jesus stood before the governor. And the governor questioned him, saying, Art thou the King of the Jews? And Jesus said to him, Thou sayest.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 12] And when he was accused of the chief priests and the elders, he answered nothing.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 13] Then says Pilate to him, Hearest thou not how many things they witness against thee?
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 14] And he answered him not so much as one word, so that the governor wondered exceedingly.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 15] Now at [the] feast the governor was accustomed to release one prisoner to the crowd, whom they would.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 16] And they had then a notable prisoner, named Barabbas.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 17] They therefore being gathered together, Pilate said to them, Whom will ye that I release to you, Barabbas, or Jesus who is called Christ?
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 18] For he knew that they had delivered him up through envy.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 19] But, as he was sitting on the judgment-seat, his wife sent to him, saying, Have thou nothing to do with that righteous [man]; for I have suffered to-day many things in a dream because of him.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 20] But the chief priests and the elders persuaded the crowds that they should beg for Barabbas, and destroy Jesus.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 21] And the governor answering said to them, Which of the two will ye that I release unto you? And they said, Barabbas.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 22] Pilate says to them, What then shall I do with Jesus, who is called Christ? They all say, Let him be crucified.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 23] And the governor said, What evil then has he done? But they cried more than ever, saying, Let him be crucified.
[DARBY | EN | NT | Matthew | Chapter 27 | Verse 24] And Pilate, seeing that it availed nothing, but that rather a tumult was arising, having taken water, washed his hands before the crowd, saying, I am guiltless of the blood of this righteous one: see ye [to it].
