[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 1] And it shall be, when thou art come in unto the land which Jehovah thy God giveth thee for an inheritance, and possessest it, and dwellest therein,
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 2] that thou shalt take of the first of all the fruit of the ground, which thou shalt bring in from thy land that Jehovah thy God giveth thee; and thou shalt put it in a basket, and shalt go unto the place which Jehovah thy God shall choose, to cause his name to dwell there.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 3] And thou shalt come unto the priest that shall be in those days, and say unto him, I profess this day unto Jehovah thy God, that I am come unto the land which Jehovah sware unto our fathers to give us.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 4] And the priest shall take the basket out of thy hand, and set it down before the altar of Jehovah thy God.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 5] And thou shalt answer and say before Jehovah thy God, A Syrian ready to perish was my father; and he went down into Egypt, and sojourned there, few in number; and he became there a nation, great, mighty, and populous.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 6] And the Egyptians dealt ill with us, and afflicted us, and laid upon us hard bondage:
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 7] and we cried unto Jehovah, the God of our fathers, and Jehovah heard our voice, and saw our affliction, and our toil, and our oppression;
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 8] and Jehovah brought us forth out of Egypt with a mighty hand, and with an outstretched arm, and with great terribleness, and with signs, and with wonders;
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 9] and he hath brought us into this place, and hath given us this land, a land flowing with milk and honey.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 10] And now, behold, I have brought the first of the fruit of the ground, which thou, O Jehovah, hast given me. And thou shalt set it down before Jehovah thy God, and worship before Jehovah thy God:
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 11] and thou shalt rejoice in all the good which Jehovah thy God hath given unto thee, and unto thy house, thou, and the Levite, and the sojourner that is in the midst of thee.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 12] When thou hast made an end of tithing all the tithe of thine increase in the third year, which is the year of tithing, then thou shalt give it unto the Levite, to the sojourner, to the fatherless, and to the widow, that they may eat within thy gates, and be filled.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 13] And thou shalt say before Jehovah thy God, I have put away the hallowed things out of my house, and also have given them unto the Levite, and unto the sojourner, to the fatherless, and to the widow, according to all thy commandment which thou hast commanded me: I have not transgressed any of thy commandments, neither have I forgotten them:
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 14] I have not eaten thereof in my mourning, neither have I put away thereof, being unclean, nor given thereof for the dead: I have hearkened to the voice of Jehovah my God; I have done according to all that thou hast commanded me.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 15] Look down from thy holy habitation, from heaven, and bless thy people Israel, and the ground which thou hast given us, as thou swarest unto our fathers, a land flowing with milk and honey.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 16] This day Jehovah thy God commandeth thee to do these statutes and ordinances: thou shalt therefore keep and do them with all thy heart, and with all thy soul.
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 17] Thou hast avouched Jehovah this day to be thy God, and that thou wouldest walk in his ways, and keep his statutes, and his commandments, and his ordinances, and hearken unto his voice:
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 18] and Jehovah hath avouched thee this day to be a people for his own possession, as he hath promised thee, and that thou shouldest keep all his commandments;
[ASV | EN | OT | Deuteronomy | Chapter 26 | Verse 19] and to make thee high above all nations that he hath made, in praise, and in name, and in honor; and that thou mayest be a holy people unto Jehovah thy God, as he hath spoken.
