[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 1] And this is the blessing, wherewith Moses the man of God blessed the children of Israel before his death.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 2] And he said, Jehovah came from Sinai, And rose from Seir unto them; He shined forth from mount Paran, And he came from the ten thousands of holy ones: At his right hand was a fiery law for them.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 3] Yea, he loveth the people; All his saints are in thy hand: And they sat down at thy feet; Everyone shall receive of thy words.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 4] Moses commanded us a law, An inheritance for the assembly of Jacob.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 5] And he was king in Jeshurun, When the heads of the people were gathered, All the tribes of Israel together.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 6] Let Reuben live, and not die; Nor let his men be few.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 7] And this is the blessing of Judah: and he said, Hear, Jehovah, the voice of Judah, And bring him in unto his people. With his hands he contended for himself; And thou shalt be a help against his adversaries.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 8] And of Levi he said, Thy Thummim and thy Urim are with thy godly one, Whom thou didst prove at Massah, With whom thou didst strive at the waters of Meribah;
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 9] Who said of his father, and of his mother, I have not seen him; Neither did he acknowledge his brethren, Nor knew he his own children: For they have observed thy word, And keep thy covenant.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 10] They shall teach Jacob thine ordinances, And Israel thy law: They shall put incense before thee, And whole burnt offering upon thine altar.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 11] Bless, Jehovah, his substance, And accept the work of his hands: Smite through the loins of them that rise up against him, And of them that hate him, that they rise not again.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 12] Of Benjamin he said, The beloved of Jehovah shall dwell in safety by him; He covereth him all the day long, And he dwelleth between his shoulders.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 13] And of Joseph he said, Blessed of Jehovah be his land, For the precious things of heaven, for the dew, And for the deep that coucheth beneath,
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 14] And for the precious things of the fruits of the sun, And for the precious things of the growth of the moons,
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 15] And for the chief things of the ancient mountains, And for the precious things of the everlasting hills,
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 16] And for the precious things of the earth and the fullness thereof, And the good will of him that dwelt in the bush. Let the blessing come upon the head of Joseph, And upon the crown of the head of him that was separate from his brethren.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 17] The firstling of his herd, majesty is his; And his horns are the horns of the wild ox: With them he shall push the peoples all of them, even the ends of the earth: And they are the ten thousands of Ephraim, And they are the thousands of Manasseh.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 18] And of Zebulun he said, Rejoice, Zebulun, in thy going out; And, Issachar, in thy tents.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 19] They shall call the peoples unto the mountain; There shall they offer sacrifices of righteousness: For they shall suck the abundance of the seas, And the hidden treasures of the sand.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 20] And of Gad he said, Blessed be he that enlargeth Gad: He dwelleth as a lioness, And teareth the arm, yea, the crown of the head.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 21] And he provided the first part for himself, For there was the lawgiver’s portion reserved; And he came with the heads of the people; He executed the righteousness of Jehovah, And his ordinances with Israel.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 22] And of Dan he said, Dan is a lion’s whelp, That leapeth forth from Bashan.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 23] And of Naphtali he said, O Naphtali, satisfied with favor, And full with the blessing of Jehovah, Possess thou the west and the south.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 24] And of Asher he said, Blessed be Asher with children; Let him be acceptable unto his brethren, And let him dip his foot in oil.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 25] Thy bars shall be iron and brass; And as thy days, so shall thy strength be.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 26] There is none like unto God, O Jeshurun, Who rideth upon the heavens for thy help, And in his excellency on the skies.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 27] The eternal God is thy dwelling place, And underneath are the everlasting arms. And he thrust out the enemy from before thee, And said, Destroy.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 28] And Israel dwelleth in safety, The fountain of Jacob alone, In a land of grain and new wine; Yea, his heavens drop down dew.
[ASV | EN | OT | Deuteronomy | Chapter 33 | Verse 29] Happy art thou, O Israel: Who is like unto thee, a people saved by Jehovah, The shield of thy help, And the sword of thy excellency! And thine enemies shall submit themselves unto thee; And thou shalt tread upon their high places.
