[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 1] He that is wounded in the stones, or hath his privy member cut off, shall not enter into the assembly of Jehovah.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 2] A bastard shall not enter into the assembly of Jehovah; even to the tenth generation shall none of his enter into the assembly of Jehovah.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 3] An Ammonite or a Moabite shall not enter into the assembly of Jehovah; even to the tenth generation shall none belonging to them enter into the assembly of Jehovah forever:
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 4] because they met you not with bread and with water in the way, when ye came forth out of Egypt, and because they hired against thee Balaam the son of Beor from Pethor of Mesopotamia, to curse thee.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 5] Nevertheless Jehovah thy God would not hearken unto Balaam; but Jehovah thy God turned the curse into a blessing unto thee, because Jehovah thy God loved thee.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 6] Thou shalt not seek their peace nor their prosperity all thy days forever.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 7] Thou shalt not abhor an Edomite; for he is thy brother: thou shalt not abhor an Egyptian; because thou wast a sojourner in his land.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 8] The children of the third generation that are born unto them shall enter into the assembly of Jehovah.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 9] When thou goest forth in camp against thine enemies, then thou shalt keep thee from every evil thing.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 10] If there be among you any man, that is not clean by reason of that which chanceth him by night, then shall he go abroad out of the camp, he shall not come within the camp:
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 11] but it shall be, when evening cometh on, he shall bathe himself in water; and when the sun is down, he shall come within the camp.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 12] Thou shalt have a place also without the camp, whither thou shalt go forth abroad:
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 13] and thou shalt have a paddle among thy weapons; and it shall be, when thou sittest down abroad, thou shalt dig therewith, and shalt turn back and cover that which cometh from thee:
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 14] for Jehovah thy God walketh in the midst of thy camp, to deliver thee, and to give up thine enemies before thee; therefore shall thy camp be holy, that he may not see an unclean thing in thee, and turn away from thee.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 15] Thou shalt not deliver unto his master a servant that is escaped from his master unto thee:
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 16] he shall dwell with thee, in the midst of thee, in the place which he shall choose within one of thy gates, where it pleaseth him best: thou shalt not oppress him.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 17] There shall be no prostitute of the daughters of Israel, neither shall there be a sodomite of the sons of Israel.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 18] Thou shalt not bring the hire of a harlot, or the wages of a dog, into the house of Jehovah thy God for any vow: for even both these are an abomination unto Jehovah thy God.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 19] Thou shalt not lend upon interest to thy brother; interest of money, interest of victuals, interest of anything that is lent upon interest.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 20] Unto a foreigner thou mayest lend upon interest; but unto thy brother thou shalt not lend upon interest, that Jehovah thy God may bless thee in all that thou puttest thy hand unto, in the land whither thou goest in to possess it.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 21] When thou shalt vow a vow unto Jehovah thy God, thou shalt not be slack to pay it: for Jehovah thy God will surely require it of thee; and it would be sin in thee.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 22] But if thou shalt forbear to vow, it shall be no sin in thee.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 23] That which is gone out of thy lips thou shalt observe and do; according as thou hast vowed unto Jehovah thy God, a freewill offering, which thou hast promised with thy mouth.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 24] When thou comest into thy neighbor’s vineyard, then thou mayest eat of grapes thy fill at thine own pleasure; but thou shalt not put any in thy vessel.
[ASV | EN | OT | Deuteronomy | Chapter 23 | Verse 25] When thou comest into thy neighbor’s standing grain, then thou mayest pluck the ears with thy hand; but thou shalt not move a sickle unto thy neighbor’s standing grain.
