[BBE | EN | OT | Zechariah | Chapter 6 | Verse 1] And again lifting up my eyes I saw four war-carriages coming out from between the two mountains; and the mountains were mountains of brass.
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 2] In the first war-carriage were red horses; and in the second, black horses;
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 3] And in the third, white horses; and in the fourth, horses of mixed colour.
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 4] And I made answer and said to the angel who was talking to me, What are these, my lord?
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 5] And the angel, answering, said to me, These go out to the four winds of heaven from their place before the Lord of all the earth.
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 6] The carriage in which are the black horses goes in the direction of the north country; the white go to the west; and those of mixed colour go in the direction of the south country.
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 7] And the red ones go to the east; and they made request that they might go up and down through the earth: and he said, Go up and down through the earth. So they went up and down through the earth.
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 8] Then crying out to me, he said, See, those who are going to the north country have given rest to the spirit of the Lord in the north country.
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 9] And the word of the Lord came to me, saying,
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 10] Take the offerings of those who went away as prisoners, from Heldai, Tobijah, and Jedaiah, and from the family of Josiah, the son of Zephaniah, who have come from Babylon;
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 11] And take silver and gold and make a crown and put it on the head of Zerubbabel;
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 12] And say to him, These are the words of the Lord of armies: See, the man whose name is the Branch, under whom there will be fertile growth.
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 13] And he will be the builder of the Temple of the Lord; and the glory will be his, and he will take his place as ruler on the seat of power; and Joshua will be a priest at his right hand, and between them there will be a design of peace.
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 14] And the crown will be for grace to Heldai and Tobijah and Jedaiah and the son of Zephaniah, to keep their memory living in the house of the Lord.
[BBE | EN | OT | Zechariah | Chapter 6 | Verse 15] And those who are far away will come and be builders in the Temple of the Lord, and it will be clear to you that the Lord of armies has sent me to you.
