[BBE | EN | OT | Zechariah | Chapter 7 | Verse 1] And it came about in the fourth year of King Darius, that the word of the Lord came to Zechariah on the fourth day of the ninth month, the month Chislev.
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 2] Now they of Beth-el had sent Sharezer and Regem-melech to make a request for grace from the Lord,
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 3] And to say to the priests of the house of the Lord of armies and to the prophets, Am I to go on weeping in the fifth month, separating myself as I have done in past years?
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 4] Then the word of the Lord of armies came to me, saying
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 5] Say to all the people of the land and to the priests, When you went without food and gave yourselves to grief in the fifth and the seventh months for these seventy years, did you ever do it because of me?
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 6] And when you are feasting and drinking, are you not doing it only for yourselves?
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 7] Are not these the words which the Lord said to you by the earlier prophets, when Jerusalem was full of people and wealth, and the towns round about her and the South and the Lowland were peopled?
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 8] And the word of the Lord came to Zechariah, saying,
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 9] This is what the Lord of armies has said: Let your judging be upright and done in good faith, let every man have mercy and pity for his brother:
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 10] Do not be hard on the widow, or the child without a father, on the man from a strange country, or on the poor; let there be no evil thought in your heart against your brother.
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 11] But they would not give attention, turning their backs and stopping their ears from hearing;
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 12] And they made their hearts like the hardest stone, so that they might not give ear to the law and the words which the Lord of armies had said by the earlier prophets: and there came great wrath from the Lord of armies.
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 13] And it came about that as they would not give ear to his voice, so I would not give ear to their voice, says the Lord of armies:
[BBE | EN | OT | Zechariah | Chapter 7 | Verse 14] But with a storm-wind I sent them in flight among all the nations of whom they had no knowledge. So the land was waste after them, so that no man went through or came back: for they had made waste the desired land.
