[GNV | EN | OT | Leviticus | Chapter 26 | Verse 1] Ye shall make you none idoles nor grauen image, neither reare you vp any pillar, neither shall ye set any image of stone in your land to bow downe to it: for I am the Lord your God.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 2] Ye shall keepe my Sabbaths, and reuerence my Sanctuarie: I am the Lord.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 3] If ye walke in mine ordinances, and keepe my commandements, and doe them,
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 4] I will then sende you raine in due season, and the land shall yelde her increase, and the trees of the fielde shall giue her fruite.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 5] And your threshing shall reache vnto the vintage, and the vintage shall reache vnto sowing time, and you shall eate your bread in plenteousnesse, and dwell in your land safely.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 6] And I will sende peace in the land, and ye shall sleepe and none shall make you afraid: also I will rid euill beastes out of the lande, and the sworde shall not go through your lande.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 7] Also ye shall chase your enemies, and they shall fall before you vpon the sworde.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 8] And fiue of you shall chase an hundreth, and an hundreth of you shall put ten thousande to flight, and your enemies shall fall before you vpon the sworde.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 9] For I will haue respect vnto you, and make you encrease, and multiplie you, and establish my couenant with you.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 10] Ye shall eate also olde store, and cary out olde because of the newe.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 11] And I will set my Tabernacle among you, and my soule shall not lothe you.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 12] Also I will walke among you, and I wil be your God, and ye shalbe my people.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 13] I am the Lord your God which haue brought you out of the lande of Egypt, that yee should not be their bondmen, and I haue broken ye bonds of your yoke, and made you goe vpright.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 14] But if ye will not obey me, nor do all these commandements,
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 15] And if ye shall despise mine ordinances, either if your soule abhorre my lawes, so that yee will not do all my commandements, but breake my couenant,
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 16] Then wil I also do this vnto you, I wil appoint ouer you fearefulnes, a consumption, and the burning ague to consume the eyes, and make the heart heauie, and you shall sowe your seede in vaine: for your enemies shall eate it:
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 17] And I will set my face against you, and ye shall fal before your enemies, and they that hate you, shall raigne ouer you, and yee shall flee when none pursueth you.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 18] And if ye wil not for these things obey me, then wil I punish you seuen times more, according to your sinnes,
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 19] And I wil breake the pride of your power, and I will make your heauen as yron, and your earth as brasse:
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 20] And your strength shalbe spent in vaine: neither shall your lande giue her increase, neither shall the trees of the land giue their fruite.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 21] And if ye walke stubburnly against me, and will not obey mee, I will then bring seuen times more plagues vpon you, according to your sinnes.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 22] I will also sende wilde beastes vpon you, which shall spoyle you, and destroy your cattell, and make you fewe in number: so your hye waies shalbe desolate.
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 23] Yet if by these ye will not be reformed by me, but walke stubburnly against me,
[GNV | EN | OT | Leviticus | Chapter 26 | Verse 24] Then wil I also walke stubburnly against you, and I will smite you yet seuen times for your sinnes:
