[GNV | EN | OT | Leviticus | Chapter 19 | Verse 1] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 2] Speake vnto all the Congregation of the children of Israel, and say vnto them, Ye shalbe holy, for I the Lord your God am holy.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 3] Yee shall feare euery man his mother and his father, and shall keepe my Sabbaths: for I am the Lord your God.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 4] Ye shall not turne vnto idoles, nor make you molten gods: I am the Lord your God.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 5] And when yee shall offer a peace offering vnto the Lord, ye shall offer it freely.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 6] It shall be eaten the day yee offer it, or on the morowe: and that which remaineth vntill the third day, shalbe burnt in the fire.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 7] For if it be eaten the third day, it shall be vncleane, it shall not be accepted.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 8] Therefore he that eateth it, shall beare his iniquitie, because he hath defiled the halowed thing of the Lord, and that person shalbe cut off from his people.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 9] When yee reape the haruest of your land, ye shall not reape euery corner of your field, neither shalt thou gather the glainings of thy haruest.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 10] Thou shalt not gather the grapes of thy vineyarde cleane, neyther gather euery grape of thy vineyarde, but thou shalt leaue them for the poore and for the straunger: I am the Lord your God.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 11] Ye shall not steale, neither deale falsely, neither lie one to another.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 12] Also yee shall not sweare by my name falsely, neither shalt thou defile the name of thy God: I am the Lord.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 13] Thou shalt not do thy neighbour wrong, neither rob him. The workemans hire shall not abide with thee vntil the morning.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 14] Thou shalt not curse the deafe, neither put a stumbling blocke before the blinde, but shalt feare thy God: I am the Lord.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 15] Ye shall not doe vniustly in iudgement. Thou shalt not fauour the person of the poore, nor honour the person of the mightie, but thou shalt iudge thy neighbour iustly.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 16] Thou shalt not walke about with tales among thy people. Thou shalt not stand against the blood of thy neighbour: I am the Lord.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 17] Thou shalt not hate thy brother in thine heart, but thou shalt plainely rebuke thy neighbour, and suffer him not to sinne.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 18] Thou shalt not auenge, nor be mindful of wrong against ye childre of thy people, but shalt loue thy neighbour as thy selfe: I am the Lord.
