[GNV | EN | OT | Leviticus | Chapter 11 | Verse 1] After, the Lord spake vnto Moses and to Aaron, saying vnto them,
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 2] Speake vnto the children of Israel, and say, These are the beastes which yee shall eate, among all the beasts that are on the earth.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 3] Whatsoeuer parteth the hoofe, and is clouen footed, and cheweth the cudde, among the beastes, that shall ye eate.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 4] But of them that chewe the cud, or deuide the hoofe onely, of them yee shall not eate: as the camel, because he cheweth the cud, and deuideth not ye hoofe, he shall be vncleane vnto you.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 5] Likewise the conie, because he cheweth the cud and deuideth not the hoofe, he shall bee vncleane to you.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 6] Also the hare, because he cheweth the cud, and deuideth not the hoofe, he shalbe vncleane to you.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 7] And the swine, because he parteth ye hoofe and is clouen footed, but cheweth not the cud, he shalbe vncleane to you.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 8] Of their flesh shall yee not eate, and their carkeise shall yee not touch: for they shall bee vncleane to you.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 9] These shall ye eate, of all that are in the waters: whatsoeuer hath finnes and skales in ye waters, in the seas, or in the riuers, them shall ye eate.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 10] But all that haue not finnes nor skales in the seas, or in the riuers, of all that moueth in the waters, and of al liuing things that are in the waters, they shalbe an abomination vnto you.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 11] They, I say, shalbe an abomination to you: ye shall not eate of their flesh, but shall abhorre their carkeis.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 12] Whatsoeuer hath not fins nor skales in the waters, that shalbe abomination vnto you.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 13] These shall ye haue also in abomination among the foules, they shall not be eaten: for they are an abomination, the eagle, and the goshauke, and the osprey:
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 14] Also the vultur, and the kite after his kinde,
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 15] And all rauens after their kinde:
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 16] The ostrich also, and the night crowe, and the seameaw, and the hauke after his kinde:
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 17] The litle owle also, and the connorant, and the great owle.
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 18] Also the redshanke and the pelicane, and the swanne:
[GNV | EN | OT | Leviticus | Chapter 11 | Verse 19] The storke also, the heron after his kinde, and the lapwing, and the backe:
